date,value
2018-01-02,4184000
2018-01-07,4512500
2018-01-10,3937500
2018-01-12,0
2018-01-15,4517300
2018-01-17,4439900
2018-01-20,4581200
2018-01-22,0
2018-01-27,4673100
2018-01-30,0
2018-02-01,1004400
2018-02-06,4880600
2018-02-11,4732900
2018-02-16,4983500
2018-02-19,0
2018-02-21,4555900
2018-02-24,1647700
2018-02-26,0
2018-03-01,0
2018-03-11,2127300
2018-03-16,1301600
2018-03-21,5848100
2018-03-26,5850200
2018-03-28,5812200
2018-03-31,871000
2018-04-02,0
2018-04-05,4059900
2018-04-17,0
2018-04-25,5814500
2018-04-27,5650000
2018-05-02,5684600
2018-05-05,5691100
2018-05-07,4588500
2018-05-10,4911200
2018-05-12,5697100
2018-05-15,154600
2018-05-17,5651400
2018-05-20,58700
2018-05-22,0
2018-05-25,11300
2018-06-01,5767300
2018-06-14,188700
2018-06-16,5733900
2018-06-19,0
2018-06-21,4013600
2018-06-24,262400
2018-06-26,5665800
2018-06-29,2194000
2018-07-01,23000
2018-07-04,2900
2018-07-06,5555300
2018-07-09,4473300
2018-07-11,5590000
2018-07-14,383000
2018-07-16,5468300
2018-07-19,148600
2018-07-21,5433800
2018-07-24,4008800
2018-07-26,5335200
2018-07-29,4431400
2018-07-31,5217400
2018-08-03,5367300
2018-08-05,4961300
2018-08-08,5343800
2018-08-10,5118100
2018-08-13,5415300
2018-08-15,5329200
2018-08-18,5365700
2018-08-20,5229000
2018-08-23,5440000
2018-08-25,5115600
2018-08-28,5315200
2018-08-30,5225700
2018-09-02,5046800
2018-09-07,91300
2018-09-09,225100
2018-09-12,926000
2018-09-17,3138100
2018-09-19,4830600
2018-09-22,4619400
2018-09-24,4617900
2018-09-27,3844400
2018-09-29,4735000
2018-10-02,4509800
2018-10-04,4325800
2018-10-07,4074600
2018-10-09,460200
2018-10-12,1173200
2018-10-14,989400
2018-10-17,4006200
2018-10-19,2232800
2018-10-22,2856300
2018-10-24,3380700
2018-10-27,0
2018-10-29,4097700
2018-11-01,4261700
2018-11-03,0
2018-11-06,1363000
2018-11-13,4800
2018-11-16,3719200
2018-11-21,4276000
2018-11-23,2495500
2018-11-26,0
2018-11-28,5152900
2018-12-01,5467100
2018-12-06,5450500
2018-12-08,4558700
2018-12-13,3907300
2018-12-21,5174500
2018-12-23,5255300
2018-12-26,821400
2018-12-28,4239100
2019-01-02,4904000
2019-01-05,4808200
2019-01-07,4909400
2019-01-10,4771400
2019-01-12,4698300
2019-01-15,0
2019-01-17,47000
2019-01-20,4771100
2019-01-25,4584100
2019-01-27,3387700
2019-02-01,2336500
2019-02-04,4534500
2019-02-06,4432700
2019-02-09,4544800
2019-02-11,4635500
2019-02-14,4592200
2019-02-16,0
2019-02-19,631700
2019-02-21,761200
2019-02-24,4714200
2019-02-26,509300
2019-03-01,3044200
2019-03-03,4519200
2019-03-06,2323900
2019-03-08,4725600
2019-03-11,4969600
2019-03-13,4717500
2019-03-16,4696400
2019-03-18,4790200
2019-03-21,4928200
2019-03-23,4594500
2019-03-26,0
2019-03-28,4708100
2019-04-02,0
2019-04-05,3153000
2019-04-10,2234300
2019-04-12,4991700
2019-04-15,2986700
2019-04-22,0
2019-04-25,5333400
2019-04-27,5179900
2019-04-30,5336900
2019-05-02,5030000
2019-05-05,142900
2019-05-07,4593200
2019-05-10,54500
2019-05-12,5077100
2019-05-15,4170700
2019-05-22,4910800
2019-05-25,2423000
2019-05-27,4691600
2019-05-30,2737700
2019-06-01,4957400
2019-06-04,1281400
2019-06-06,4885400
2019-06-09,147300
2019-06-11,4906700
2019-06-14,96600
2019-06-16,0
2019-06-19,0
2019-06-21,4838300
2019-06-24,6200
2019-06-26,39800
2019-06-29,211200
2019-07-01,4694800
2019-07-04,118600
2019-07-06,4923900
2019-07-09,0
2019-07-11,4805500
2019-07-14,198500
2019-07-16,4711700
2019-07-19,4255800
2019-07-21,4378200
2019-07-24,3485200
2019-07-26,9600
2019-07-29,3394500
2019-07-31,3903300
2019-08-03,3206700
2019-08-05,3862100
2019-08-08,3839900
2019-08-10,3684200
2019-08-13,3699200
2019-08-15,3452700
2019-08-18,3515800
2019-08-20,3594400
2019-08-23,3536100
2019-08-25,3288200
2019-08-28,3369800
2019-08-30,3448800
2019-09-02,3310400
2019-09-04,2556000
2019-09-07,3316000
2019-09-09,3277500
2019-09-12,3195600
2019-09-14,30400
2019-09-17,0
2019-09-19,1213900
2019-09-24,2988500
2019-09-27,2775900
2019-09-29,2989600
2019-10-02,2941300
2019-10-04,1160000
2019-10-07,41900
2019-10-09,2944900
2019-10-12,440500
2019-10-14,640100
2019-10-17,7500
2019-10-24,3056700
2019-10-27,327800
2019-10-29,61000
2019-11-01,639500
2019-11-03,215400
2019-11-06,104600
2019-11-08,2143900
2019-11-13,44800
2019-11-16,3231600
2019-11-18,3326600
2019-11-23,2300
2019-12-03,2898000
2019-12-06,3794300
2019-12-08,3868000
2019-12-23,4347900
2019-12-28,4584000
2020-01-02,0
2020-01-05,4694800
2020-01-07,4623200
2020-01-10,4742100
2020-01-12,4725800
2020-01-20,2657100
2020-01-25,0
2020-02-01,0
2020-02-04,5081800
2020-02-06,0
2020-02-11,5145400
2020-02-14,5019500
2020-02-16,5068700
2020-02-19,5032400
2020-02-21,5020800
2020-02-24,5140100
2020-02-26,1239600
2020-03-02,0
2020-03-07,4956300
2020-03-10,5112200
2020-03-15,518100
2020-03-27,4970500
2020-04-19,5708800
2020-04-21,600
2020-04-24,0
2020-04-26,93600
2020-04-29,4722300
2020-05-01,1377900
2020-05-04,4964200
2020-05-06,5186100
2020-05-09,11200
2020-05-11,1867700
2020-05-16,0
2020-05-19,3940700
2020-05-21,5192700
2020-05-24,1692500
2020-05-26,5277100
2020-05-29,5024900
2020-05-31,105600
2020-06-03,714000
2020-06-05,5198000
2020-06-08,404600
2020-06-10,5002600
2020-06-13,59800
2020-06-15,366800
2020-06-18,47600
2020-06-20,5154500
2020-06-23,4385600
2020-06-25,0
2020-06-28,4169800
2020-06-30,5005000
2020-07-03,666200
2020-07-05,4799700
2020-07-08,586900
2020-07-10,5070600
2020-07-13,809900
2020-07-15,4894700
2020-07-18,1948100
2020-07-20,4785200
2020-07-23,4819600
2020-07-25,0
2020-07-28,4080600
2020-07-30,7600
2020-08-02,4289100
2020-08-04,4350800
2020-08-07,3801300
2020-08-09,4407100
2020-08-12,47400
2020-08-14,4202200
2020-08-17,2871100
2020-08-19,3824600
2020-08-22,4072800
2020-08-24,3893600
2020-08-27,3673200
2020-08-29,3778200
2020-09-01,0
2020-09-03,3458100
2020-09-06,3482300
2020-09-08,3365300
2020-09-11,0
2020-09-13,0
2020-09-18,2586700
2020-09-21,3050200
2020-09-23,0
2020-09-26,3347200
2020-09-28,2982200
2020-10-01,703400
2020-10-03,2994400
2020-10-06,0
2020-10-08,2927400
2020-10-11,3238900
2020-10-13,3082300
2020-10-16,2918300
2020-10-18,0
2020-10-21,115200
2020-10-23,573700
2020-10-26,0
2020-10-31,2619200
2020-11-02,0
2020-11-07,463000
2020-11-10,3824900
2020-11-15,3645600
2020-11-17,0
2020-11-20,3705100
2020-11-22,4738000
2020-12-02,5299500
2020-12-05,5175400
2020-12-15,4890600
2020-12-17,3773500
2020-12-20,5342400
2020-12-22,5198100
2020-12-27,5169900
2020-12-30,5100600
