date,value
2018-01-02,nan
2018-01-04,nan
2018-01-12,nan
2018-01-17,nan
2018-01-19,nan
2018-01-22,nan
2018-01-24,3.1243495052832236e-05
2018-01-27,nan
2018-01-29,26.9646247142668
2018-02-08,5.715577563286077
2018-02-11,nan
2018-02-13,26.125034041687684
2018-02-16,nan
2018-02-18,18.01698862330772
2018-02-21,nan
2018-02-26,nan
2018-03-28,nan
2018-04-02,nan
2018-04-04,nan
2018-04-14,95.52607280304571
2018-04-17,nan
2018-04-19,73.81468785865987
2018-04-22,nan
2018-04-24,0.021545435695129383
2018-04-27,nan
2018-04-29,0.007328991331915235
2018-05-02,nan
2018-05-04,1.025779794198408
2018-05-07,nan
2018-06-01,nan
2018-06-03,0.08360794569035107
2018-06-08,nan
2018-06-13,105.53717412440345
2018-06-16,nan
2018-06-21,nan
2018-06-23,99.91200303631224
2018-06-26,nan
2018-06-28,83.43582709230824
2018-07-01,nan
2018-07-03,39.23945459131445
2018-07-06,nan
2018-07-08,101.48522463290732
2018-07-11,nan
2018-07-13,97.48812574261974
2018-07-16,nan
2018-07-18,100.27865705167788
2018-07-21,nan
2018-07-23,98.1345494834078
2018-07-26,nan
2018-07-28,96.00720995347942
2018-07-31,nan
2018-08-02,97.46391484272597
2018-08-05,nan
2018-08-07,93.67920095022811
2018-08-10,nan
2018-08-12,97.42356816389166
2018-08-15,nan
2018-08-17,90.9097603204951
2018-08-20,nan
2018-08-22,86.67800817475452
2018-08-25,nan
2018-08-27,89.28598614659361
2018-08-30,nan
2018-09-01,87.42177519654611
2018-09-04,nan
2018-09-06,86.06252730808896
2018-09-09,nan
2018-09-11,0.3958837628004892
2018-09-16,72.76375929000083
2018-09-19,nan
2018-09-21,76.92089322219627
2018-09-24,nan
2018-09-26,21.707505543990354
2018-09-29,nan
2018-10-01,73.4840185997708
2018-10-04,nan
2018-10-06,70.0994033049019
2018-10-09,nan
2018-10-16,14.898300031888494
2018-10-19,nan
2018-10-24,nan
2018-10-29,nan
