date,value
2018-01-02,5239500
2018-01-12,5270900
2018-01-17,5110900
2018-01-19,5009200
2018-01-22,5128700
2018-01-24,4838900
2018-01-27,4792000
2018-01-29,5131600
2018-02-08,5167900
2018-02-11,1200
2018-02-13,4776400
2018-02-16,5069400
2018-02-18,0
2018-02-21,5055400
2018-02-26,0
2018-03-15,91700
2018-03-20,1470000
2018-03-28,6996200
2018-04-02,5682800
2018-04-04,3525000
2018-04-14,5242900
2018-04-17,7106800
2018-04-19,6987900
2018-04-22,4970300
2018-04-24,5821800
2018-04-27,181500
2018-04-29,0
2018-05-02,3491400
2018-05-04,6910200
2018-05-07,7007300
2018-05-12,357600
2018-05-14,6842600
2018-05-19,5314600
2018-05-22,5802200
2018-05-24,5216600
2018-06-03,6783000
2018-06-13,6761700
2018-06-16,1619400
2018-06-21,3680800
2018-06-23,3351500
2018-06-26,2910800
2018-06-28,417900
2018-07-01,16600
2018-07-03,6665300
2018-07-06,2117400
2018-07-08,6370900
2018-07-11,5185000
2018-07-13,6653100
2018-07-16,4249300
2018-07-18,6667000
2018-07-21,5237300
2018-07-23,6698100
2018-07-26,5742400
2018-07-28,6819400
2018-07-31,6162400
2018-08-02,6556100
2018-08-05,6774600
2018-08-07,6467800
2018-08-10,6671100
2018-08-12,6746300
2018-08-15,0
2018-08-17,6450900
2018-08-20,6830700
2018-08-22,6550100
2018-08-25,6529800
2018-08-27,4869300
2018-08-30,6731500
2018-09-01,6316600
2018-09-04,5082300
2018-09-09,1130800
2018-09-11,0
2018-09-14,5279900
2018-09-16,6551900
2018-09-19,6493000
2018-09-21,6453300
2018-09-24,6630800
2018-09-26,6480100
2018-09-29,6470600
2018-10-01,1782800
2018-10-04,6526000
2018-10-06,6552100
2018-10-09,6708900
2018-10-14,0
2018-10-16,0
2018-10-19,6753900
2018-10-21,0
2018-10-24,6667800
2018-10-29,6341700
2018-11-03,237300
2018-11-13,6718000
2018-11-15,6683200
2018-11-28,0
2018-11-30,3500
2018-12-03,5737900
2018-12-05,4986600
2018-12-08,0
2018-12-10,6675100
2018-12-13,611300
2018-12-15,6618100
2018-12-20,800
2018-12-23,6474500
2018-12-28,6714900
2018-12-30,6607300
2019-01-02,6685900
2019-01-04,4236800
2019-01-07,6452200
2019-01-09,6564900
2019-01-12,6507800
2019-01-14,6459900
2019-01-27,6476700
2019-01-29,1096700
2019-02-01,1270200
2019-02-03,6691600
2019-02-06,6729200
2019-02-08,6679600
2019-02-11,202900
2019-02-13,6723500
2019-02-16,0
2019-02-21,6756900
2019-02-26,6740500
2019-02-28,6500300
2019-03-03,6854600
2019-03-10,6743500
2019-03-13,5837100
2019-03-15,6685000
2019-03-18,6801900
2019-03-20,6361100
2019-03-23,0
2019-03-25,6212300
2019-03-28,200
2019-03-30,6177200
2019-04-04,6250700
2019-04-12,0
2019-04-14,6262300
2019-04-22,292900
2019-04-27,0
2019-04-29,5857200
2019-05-02,3020000
2019-05-04,606600
2019-05-07,5191700
2019-05-12,2605100
2019-05-14,6051900
2019-05-19,5717400
2019-05-22,1000
2019-05-24,2471800
2019-05-27,4879400
2019-05-29,5580400
2019-06-01,479700
2019-06-03,5195200
2019-06-06,383200
2019-06-08,5124700
2019-06-11,1331900
2019-06-13,1512400
2019-06-18,5086900
2019-06-21,0
2019-06-23,4906100
2019-06-26,0
2019-06-28,4872300
2019-07-01,4300
2019-07-03,5036600
2019-07-06,0
2019-07-08,4948700
2019-07-11,0
2019-07-13,5072000
2019-07-16,29500
2019-07-18,4636200
2019-07-21,4152000
2019-07-23,5092500
2019-07-26,3565800
2019-07-28,4845100
2019-07-31,0
2019-08-02,4847600
2019-08-05,4889000
2019-08-10,4897300
2019-08-12,4698200
2019-08-15,4848400
2019-08-17,4587300
2019-08-20,4774800
2019-08-22,4513700
2019-08-25,637800
2019-08-27,4483800
2019-08-30,4584700
2019-09-01,4338100
2019-09-04,200
2019-09-06,4458500
2019-09-09,4488600
2019-09-11,4097900
2019-09-16,4263200
2019-09-19,4501400
2019-09-24,4231400
2019-09-26,4185800
2019-09-29,4367600
2019-10-01,745500
2019-10-04,4304300
2019-10-06,4272700
2019-10-09,4223100
2019-10-16,4175900
2019-10-21,4300200
2019-10-24,3991000
2019-10-26,4363400
2019-11-08,3752600
2019-11-13,0
2019-11-18,1808600
2019-11-23,7600
2019-11-30,0
2019-12-03,2363300
2019-12-05,1663500
2019-12-08,4296900
2019-12-10,4191100
2019-12-15,4028300
2019-12-23,5341000
2019-12-25,0
2019-12-28,5071400
2019-12-30,5235800
2020-01-02,5108900
2020-01-04,2950200
2020-01-07,5179100
2020-01-09,5172700
2020-01-12,5315900
2020-01-14,0
2020-01-17,10800
2020-01-24,455600
2020-02-03,5061900
2020-02-06,4794000
2020-02-11,5239800
2020-02-16,5009000
2020-02-18,4312500
2020-02-21,5152500
2020-02-23,4392300
2020-02-26,5098400
2020-02-28,0
2020-03-02,400
2020-03-07,97100
2020-03-14,0
2020-03-17,4912300
2020-03-19,0
