date,value
2019-01-03,2815334.2087774784
2019-01-18,3896644.941772988
2019-02-14,4600427.942377332
2019-02-17,5666860.515245111
2019-02-24,5510572.660108543
2019-02-27,6752810.855016631
2019-03-21,8064678.259476045
2019-03-24,8599699.881639859
2019-03-29,8812197.009405853
2019-03-31,9259381.944272265
2019-04-15,9281185.409637764
2019-04-18,10346052.318017377
2019-04-20,9839162.67067958
2019-05-23,12251237.706939328
2019-06-02,11434033.777433787
2019-06-04,10903535.29178175
2019-06-07,11555248.589950277
2019-06-17,11886892.605383772
2019-06-27,11616052.100709675
2019-06-29,10257059.771996045
2019-07-04,11334856.255026426
2019-07-09,10606535.616415218
2019-07-17,11126881.934479406
2019-07-24,9205953.387717448
2019-08-01,10516630.264464563
2019-08-03,9162512.634062938
2019-08-08,8387428.167830211
2019-08-21,9115218.695841726
2019-08-23,8513382.05791117
2019-08-26,8522955.319741108
2019-08-28,6803377.28100531
2019-08-31,8771465.462133078
2019-09-07,5808554.729620438
2019-09-12,5907108.03712785
2019-09-15,6711079.634998068
2019-09-17,6052878.2796855075
2019-09-20,5131610.588960321
2019-11-16,4424769.70216307
2019-12-04,6269185.840247212
2019-12-29,6338584.748625643
2020-01-05,6321629.351676205
2020-01-15,6768487.355947249
2020-01-20,7152737.069888994
2020-01-25,8678655.089855501
2020-02-07,9192122.206321424
2020-02-09,9184222.49669423
2020-03-13,11360694.548634738
2020-03-18,11248902.64239502
2020-03-28,11352079.108147027
2020-03-30,11639974.924767397
2020-04-02,11071404.408824224
2020-04-04,10745138.724161375
2020-04-07,11341313.570464902
2020-04-09,10431198.55433431
2020-04-12,11229600.003725283
2020-04-14,10466586.838674618
2020-04-17,11653032.228942182
2020-04-22,11071404.408824224
2020-04-27,11375778.007094903
2020-05-07,11655209.028905481
2020-05-17,11869341.95642296
2020-05-19,10907772.18327103
2020-05-27,11821132.425363436
2020-05-29,10692550.885369275
2020-06-01,11399497.134351503
2020-06-23,11030934.954228705
2020-07-01,11494575.773932468
2020-07-06,12291256.548944827
2020-07-13,11188894.567116555
2020-07-23,9524410.918767935
2020-07-31,10568862.695100538
2020-08-05,11287548.621981284
2020-08-07,9087676.850123094
2020-08-20,9316909.075916711
2020-09-04,7736084.307707507
2020-09-09,7745289.732964364
2020-09-11,7609507.560158151
2020-09-14,6756293.235852715
2020-09-16,7469266.112290728
2020-10-14,6321629.351676205
2020-10-19,6032914.907561437
2020-10-31,5767691.371985802
2020-11-18,6733670.900464798
2020-11-25,6469763.210634994
2021-02-11,10354346.6891125
2021-02-21,11062879.482297873
2021-02-23,10802052.164445512
2021-02-28,10644263.394604823
2021-03-08,10358494.894993505
2021-03-23,10562589.210672416
2021-03-28,10665246.96196905
2021-03-30,11371467.611568226
2021-04-02,11722772.355255842
2021-04-04,11257485.948590169
2021-04-24,11180332.71340344
2021-04-27,11377933.45562526
2021-05-29,11869341.95642296
2021-06-01,11908845.842713408
2021-06-13,11257485.948590169
2021-06-16,11146112.13461003
2021-06-18,11642150.725958217
2021-07-18,10686247.443532912
2021-07-21,10644263.394604823
2021-07-23,10341906.152902072
2021-08-12,9007214.979163986
2021-09-01,6873377.266358862
2021-09-04,6794647.915715535
2021-09-06,6756293.235852715
2021-09-21,5933503.467766241
2021-09-24,5767691.371985802
2021-10-09,5461002.805911535
2021-10-14,5443457.599258811
2021-10-24,5537833.932311013
2021-10-29,5189312.249905328
2021-11-23,6264120.15579327
2021-12-20,5847894.591195722
2022-01-12,6548653.708259411
2022-01-14,5996385.545320226
2022-01-24,5945066.61383019
2022-02-08,5731829.366170341
2022-02-13,6044556.926977044
2022-02-26,6304692.5509270625
2022-02-28,6122962.52448906
2022-03-03,6077870.447967199
2022-03-05,6399778.014852395
2022-03-08,6552092.605370739
2022-03-10,5988096.087135956
2022-03-20,6552092.605370739
2022-03-23,6109587.685849086
2022-03-25,6447539.050281194
2022-03-28,6622752.760594876
2022-04-14,6998348.649775653
2022-04-17,7243880.887431346
2022-04-27,7099343.931292123
2022-05-04,6205144.438246486
2022-05-07,7295918.289790909
2022-05-09,6291156.505669835
2022-06-11,6418523.940867336
2022-06-13,6282702.52615008
2022-06-16,6117945.556933418
2022-06-18,6430464.850611134
2022-07-03,5300775.552875297
2022-07-06,5808554.729620438
2022-07-08,7451131.34432826
2022-07-11,5579634.1032322245
2022-07-13,5787291.044800504
2022-07-16,5608648.020204996
2022-07-18,4818233.849577342
2022-07-21,5030883.351755238
2022-07-26,4912620.182945831
2022-08-07,2776503.3584761955
2022-08-10,3898035.1430333205
2022-08-12,2764414.0246159756
2022-08-22,2645898.038582082
2022-08-25,3068041.389329948
