date,value
2019-01-03,462200
2019-01-10,448000
2019-01-25,301700
2019-02-04,493400
2019-02-12,482800
2019-02-14,441800
2019-02-17,390100
2019-02-19,422800
2019-02-22,421600
2019-02-24,390200
2019-02-27,370200
2019-03-16,523200
2019-03-21,374700
2019-03-24,429700
2019-03-26,422900
2019-03-29,500700
2019-03-31,370300
2019-04-15,268200
2019-04-18,315000
2019-04-20,450000
2019-04-30,439100
2019-05-13,506200
2019-05-15,443900
2019-05-23,480400
2019-05-30,294700
2019-06-02,468800
2019-06-04,468700
2019-06-07,427800
2019-06-12,508800
2019-06-17,587200
2019-06-24,484300
2019-06-27,528200
2019-06-29,472900
2019-07-02,559400
2019-07-04,545600
2019-07-07,590700
2019-07-09,537400
2019-07-14,547500
2019-07-17,588700
2019-07-19,467700
2019-08-03,519500
2019-08-08,483500
2019-08-21,558100
2019-08-23,516000
2019-08-26,541700
2019-08-28,505300
2019-08-31,516200
2019-09-07,489400
2019-09-15,542900
2019-09-17,493400
2019-09-20,513800
2019-11-16,460900
2019-11-21,524100
2019-12-06,496000
2019-12-19,480900
2020-01-15,462900
2020-01-20,455600
2020-02-07,467100
2020-02-22,414400
2020-02-24,357900
2020-03-13,527700
2020-03-18,356900
2020-03-20,250400
2020-03-23,468800
2020-03-28,532000
2020-04-02,488100
2020-04-04,492400
2020-04-09,429800
2020-04-12,498800
2020-04-14,424200
2020-04-17,460100
2020-04-22,429100
2020-04-24,345600
2020-05-07,430900
2020-05-09,267900
2020-05-17,536600
2020-05-19,455000
2020-05-27,548200
2020-05-29,463000
2020-06-01,537200
2020-06-03,450600
2020-06-23,500300
2020-06-28,558400
2020-07-08,517500
2020-07-13,532600
2020-07-18,519800
2020-07-31,526800
2020-08-05,547700
2020-08-07,519400
2020-08-10,542900
2020-08-15,507900
2020-08-20,529300
2020-08-27,518800
2020-09-04,527900
2020-09-09,398900
2020-09-16,441900
2020-10-31,262900
2020-11-05,303500
2020-11-15,279400
2020-11-18,343000
2020-11-23,424800
2020-11-28,397800
2020-12-10,405400
2021-02-21,476300
2021-02-23,492600
2021-02-28,501500
2021-03-20,299100
2021-03-23,370700
2021-03-25,304600
2021-03-28,536800
2021-03-30,545200
2021-04-02,482400
2021-04-04,470000
2021-04-09,308400
2021-04-14,406500
2021-04-17,429000
2021-04-22,444500
2021-04-24,455600
2021-05-29,518700
2021-06-01,484500
2021-06-03,476600
2021-06-11,547400
2021-06-13,543200
2021-06-16,528700
2021-07-18,553700
2021-07-21,534600
2021-08-10,543400
2021-08-25,531300
2021-09-01,435100
2021-09-06,338200
2021-09-24,448300
2021-10-01,436300
2021-10-11,421100
2021-10-14,423300
2021-10-16,429200
2021-10-19,435900
2021-10-24,399900
2021-10-29,436200
2021-11-30,604200
2022-01-22,527000
2022-02-08,494600
2022-02-13,361100
2022-02-18,527200
2022-02-23,470000
2022-02-26,518400
2022-02-28,538400
2022-03-03,502400
2022-03-08,470100
2022-03-10,399900
2022-03-20,503000
2022-03-23,548200
2022-03-25,533600
2022-03-28,552300
2022-04-14,489300
2022-04-17,531800
2022-05-14,448600
2022-05-27,531100
2022-06-11,580700
2022-06-13,528200
2022-06-16,554400
2022-06-18,525200
2022-07-03,538500
2022-07-06,539400
2022-07-08,541000
2022-07-11,560800
2022-07-13,552300
2022-07-16,569300
2022-07-18,552300
2022-07-21,558200
2022-07-28,502500
2022-07-31,543300
2022-08-02,549500
2022-08-07,557600
2022-08-10,552400
2022-08-12,553800
2022-08-17,581600
2022-08-22,562200
2022-08-25,566300
2022-09-01,553000
