date,value
2019-01-03,991800
2019-02-15,998000
2019-02-17,995500
2019-02-20,1063000
2019-02-22,1002800
2019-02-25,1017000
2019-02-27,999700
2019-03-19,1072500
2019-03-22,1097900
2019-03-24,1051900
2019-03-29,1084300
2019-04-11,1086500
2019-05-01,1091400
2019-05-13,1167800
2019-05-16,1185900
2019-05-23,1151400
2019-06-02,1186700
2019-06-27,1191100
2019-07-02,1167600
2019-07-05,1206600
2019-07-10,1183500
2019-07-15,1182700
2019-07-17,1129500
2019-07-25,1107300
2019-08-04,1080400
2019-08-14,1002100
2019-08-21,876400
2019-08-24,983800
2019-08-26,926200
2019-08-31,819400
2019-09-03,888700
2019-09-10,847900
2019-09-13,766300
2019-09-15,880300
2019-09-18,885000
2019-09-20,873900
2019-10-13,844700
2019-12-04,982600
2019-12-14,1017200
2019-12-29,996700
2020-01-06,1027800
2020-01-16,979800
2020-01-21,982000
2020-01-23,914000
2020-02-07,972100
2020-02-15,1035000
2020-02-22,1042100
2020-03-28,1132900
2020-03-31,1135500
2020-04-02,1088400
2020-04-05,1109000
2020-04-07,1113600
2020-04-10,1186600
2020-04-15,1192100
2020-04-20,1161400
2020-04-22,1185400
2020-05-07,1194400
2020-05-10,1180500
2020-05-12,1156100
2020-05-17,1204000
2020-05-20,1245200
2020-05-27,1230000
2020-05-30,1245800
2020-06-24,1214700
2020-07-04,1216900
2020-07-09,1250500
2020-07-19,1131700
2020-07-24,1150900
2020-07-29,1120400
2020-07-31,1044400
2020-08-05,1049100
2020-08-08,1064700
2020-08-20,945600
2020-08-25,912600
2020-09-04,820200
2020-09-09,688400
2020-09-12,801500
2020-09-14,774100
2020-09-17,810100
2020-09-22,842400
2020-11-06,995500
2020-11-23,1105500
2020-11-28,1033300
2020-12-18,1076900
2021-02-21,1078500
2021-02-24,1124400
2021-03-01,1078000
2021-03-06,1120300
2021-03-08,1143800
2021-03-23,1138500
2021-03-28,1174600
2021-03-31,1186100
2021-04-02,1286400
2021-04-27,1237600
2021-06-01,1211600
2021-06-14,1228100
2021-06-16,1214300
2021-07-19,1161300
2021-07-21,1177200
2021-08-10,1116700
2021-09-02,1081200
2021-09-07,1056600
2021-09-22,986400
2021-09-24,993000
2021-10-14,1009000
2021-10-19,997700
2021-10-22,1009300
2021-10-24,1018300
2021-11-11,983600
2021-12-18,1008900
2022-01-10,1061600
2022-01-15,1044400
2022-01-25,981200
2022-02-09,922700
2022-02-26,1027300
2022-03-06,1061600
2022-03-08,1049200
2022-03-23,1049200
2022-03-26,1032800
2022-03-28,1090000
2022-04-15,1074900
2022-04-17,1112000
2022-04-27,1118800
2022-05-07,1163700
2022-05-15,1179900
2022-06-11,1149100
2022-06-16,1198600
2022-06-19,1224800
2022-06-21,1084600
2022-06-29,1151000
2022-07-04,1166800
2022-07-06,1130200
2022-07-11,1168000
2022-07-14,1190100
2022-07-16,1147600
2022-07-19,1170100
2022-07-24,1121600
2022-07-31,1113200
2022-08-03,1092200
2022-08-08,1080400
2022-08-10,1070400
2022-08-13,1030400
