date,value
2019-01-03,10533525.611244123
2019-01-16,10533525.611244123
2019-02-15,10792950.30190287
2019-02-17,10888036.001210904
2019-02-20,10919223.562311133
2019-02-22,11000817.008246837
2019-02-25,10739495.924542816
2019-02-27,10948709.510671508
2019-03-04,10784321.826379327
2019-03-19,11947496.728592478
2019-03-22,12413663.517684419
2019-03-24,12028317.586537143
2019-03-27,12109344.762471605
2019-03-29,11811468.690727873
2019-04-01,11811468.690727873
2019-04-06,11965439.072068416
2019-04-11,12145422.978486048
2019-04-13,12439152.464686707
2019-04-21,12262957.828220073
2019-05-01,12288329.14048576
2019-05-13,13746220.206848219
2019-05-16,13550024.704962691
2019-05-23,13698960.274537189
2019-05-28,13702738.79907375
2019-05-31,13746220.206848219
2019-06-02,13748111.886869192
2019-06-05,13748111.886869192
2019-06-27,14224118.285415672
2019-06-30,14224118.285415672
2019-07-02,14059679.63036047
2019-07-05,14157108.146418052
2019-07-07,14157108.146418052
2019-07-10,14164760.378054267
2019-07-15,14185812.093780773
2019-07-17,13863690.775798982
2019-07-20,14212622.317804815
2019-07-22,13710297.032770168
2019-07-25,13748111.886869192
2019-08-01,13242816.350725982
2019-08-04,12649274.681409148
2019-08-09,12649274.681409148
2019-08-14,12096726.9978951
2019-08-21,10710224.951579338
2019-08-24,10395351.69192276
2019-08-26,10305316.261573529
2019-08-29,10305316.261573529
2019-08-31,9002076.046296114
2019-09-03,8841495.93986153
2019-09-10,8841495.93986153
2019-09-13,8038172.563685467
2019-09-15,7604344.834428942
2019-09-18,8033542.31690656
2019-09-20,7762152.260522407
2019-09-30,8556801.703804165
2019-10-03,9437807.14554419
2019-10-13,8134090.465694699
2019-12-04,10376640.690814102
2019-12-14,11141974.983029235
2019-12-29,11082640.437427415
2020-01-06,11155953.495207395
2020-01-16,11210182.934276033
2020-01-18,11210182.934276033
2020-01-21,10555766.014120622
2020-01-23,10161540.428952824
2020-01-26,10161540.428952824
2020-02-07,10330767.86957289
2020-02-10,10198679.5534328
2020-02-15,11405175.261594541
2020-02-22,10955651.759328064
2020-03-08,13493628.652179593
2020-03-13,14116959.645460758
2020-03-18,14116959.645460758
2020-03-23,14497216.027358482
2020-03-26,14204960.29638482
2020-03-28,13442948.451126747
2020-03-31,13446700.061419386
2020-04-02,13075363.194941767
2020-04-05,13084644.953525014
2020-04-07,12785187.954647413
2020-04-10,12842288.064706365
2020-04-12,12956777.29712101
2020-04-15,13268937.147385966
2020-04-20,13583905.105648302
2020-04-22,13772712.702352755
2020-04-25,14076854.36762827
2020-04-27,14074945.671127921
2020-05-07,14329662.014979033
