date,value
2019-02-21,6996782.826650921
2019-02-24,7028370.774199375
2019-02-26,6996782.826650921
2019-03-11,7157472.513419326
2019-03-26,7258811.234269889
2019-03-28,7293078.35429109
2019-03-31,7293078.35429109
2019-04-12,7367510.00226505
2019-04-17,7359482.060787969
2019-04-20,7636401.204221091
2019-04-22,7636401.204221091
2019-04-27,7636401.204221091
2019-04-30,7627115.16704037
2019-05-05,7627115.16704037
2019-05-12,6996782.826650921
2019-05-15,6996782.826650921
2019-05-22,7318242.100835167
2019-06-26,7571478.931100778
2019-06-29,7571478.931100778
2019-07-04,7934379.11883382
2019-07-06,7558748.294221555
2019-07-09,7612033.475603234
2019-07-11,7612033.475603234
2019-07-14,7549494.182378993
2019-07-16,7574952.175102139
2019-07-21,7456011.6562494105
2019-07-24,7509052.367745926
2019-08-23,7032887.249093741
2019-08-25,7032887.249093741
2019-08-30,7390463.215057263
2019-09-04,7564534.052839379
2019-09-07,7564534.052839379
2019-09-14,7549494.182378993
2019-09-19,5958215.456995189
2019-09-24,5958215.456995189
2019-10-22,7667769.661569616
2019-12-03,7064529.9213822605
2019-12-08,7064529.9213822605
2020-01-20,7193853.644870109
2020-01-22,7157472.513419326
2020-02-04,7157472.513419326
2020-02-06,7120019.596364152
2020-02-11,6713546.306499698
2020-02-29,7831113.690340771
2020-03-02,7831113.690340771
2020-03-12,7831113.690340771
2020-03-25,7207512.578596641
2020-03-27,7207512.578596641
2020-04-01,7226877.667230496
2020-04-04,7193853.644870109
2020-04-09,7407693.899551289
2020-04-11,7757465.3836046485
2020-04-14,7392759.85871385
2020-04-16,7649175.717684705
2020-04-21,7785494.240040448
2020-04-26,7892079.105096917
2020-05-06,8018027.042148985
2020-05-11,7188164.998561925
2020-05-14,7188164.998561925
2020-05-19,7580742.107227781
2020-05-21,7580742.107227781
2020-05-24,7845168.495396477
2020-05-26,7675909.29215042
2020-05-29,7602757.433415764
2020-05-31,7518289.759662203
2020-07-18,8096048.823347306
2020-07-20,8096048.823347306
2020-07-30,8096048.823347306
2020-08-04,7532153.017585787
2020-08-07,7532153.017585787
2020-08-09,7532153.017585787
2020-08-14,7532153.017585787
2020-09-08,7326254.867716394
2020-09-13,7326254.867716394
2020-09-16,6583902.235886314
2020-09-26,6652496.467168231
2020-11-05,6492450.1086462755
2020-11-12,6491350.904592439
2020-11-15,6491350.904592439
2021-01-01,7571478.931100778
2021-01-06,7649175.717684705
2021-01-09,7583058.497251856
2021-02-28,7952026.589924658
2021-03-02,7952026.589924658
2021-03-07,7952026.589924658
2021-04-01,7711991.171585954
2021-04-04,7786662.84780097
2021-04-14,8263581.918037725
2021-04-19,8263581.918037725
2021-04-21,8263581.918037725
2021-04-24,8277893.350197801
2021-04-26,8079477.4901304925
2021-05-01,8079477.4901304925
2021-06-13,8277893.350197801
2021-06-15,8044006.022325808
2021-06-23,8268351.468629762
2021-07-18,7616672.925109086
2021-07-20,7468683.781686478
2021-07-28,7571478.931100778
2021-08-12,7564534.052839379
2021-08-14,7689869.710046862
2021-09-03,7390463.215057263
2021-09-06,7672420.522878836
2021-09-13,7672420.522878836
2021-09-16,7663119.750207448
2021-10-08,7151793.575734365
2021-10-11,7157472.513419326
2021-10-13,7157472.513419326
2021-10-31,5501910.698934014
2021-11-05,5665944.174277078
2021-11-07,5700628.51323249
2021-11-20,5568581.828652272
2021-11-22,6920269.048738284
2021-11-25,6920269.048738284
2021-11-27,6920269.048738284
2021-12-02,6878755.742617137
2021-12-15,6470477.942317631
2021-12-17,6752493.89521584
2022-01-14,7239417.34133359
2022-01-21,7672420.522878836
2022-01-26,7702674.263376786
2022-02-05,7654984.691699547
2022-03-07,7988539.851495077
2022-03-10,7988539.851495077
2022-03-12,7988539.851495077
2022-03-15,7977933.423736959
2022-03-17,8013306.632979012
2022-03-22,7808877.616069222
2022-03-25,7785494.240040448
2022-03-27,7658470.788980421
2022-04-01,7555277.554824931
2022-04-21,7716651.048032785
2022-04-26,7616672.925109086
2022-05-01,7757465.3836046485
2022-05-06,7624794.252434048
2022-05-19,7947319.306487391
2022-05-21,7952026.589924658
2022-05-24,7952026.589924658
2022-05-29,7952026.589924658
2022-05-31,7645691.046277304
2022-06-13,7810047.404766248
2022-06-15,8322072.737722193
2022-06-25,8300570.169379463
2022-07-08,7601598.196027335
2022-07-10,7530997.417569194
2022-07-13,7590009.097325355
2022-07-15,7838140.031815693
2022-07-18,7780820.399799119
2022-07-23,7996792.576052309
2022-07-28,7435291.091125991
2022-08-02,7330834.917461242
2022-08-04,7330834.917461242
2022-08-07,7398502.5192662915
2022-08-09,7323965.2043985175
2022-08-12,7426088.187035739
