date,value
2019-01-01,218300
2019-01-06,184100
2019-01-11,152100
2019-01-16,199300
2019-01-26,64600
2019-02-08,132500
2019-02-13,189700
2019-02-15,202300
2019-02-18,231900
2019-02-20,197100
2019-02-23,218200
2019-02-25,223100
2019-02-28,237700
2019-03-05,263400
2019-03-10,315300
2019-03-15,297000
2019-03-22,361100
2019-03-27,353400
2019-03-30,286400
2019-04-16,217900
2019-04-29,347600
2019-05-01,331400
2019-05-06,325300
2019-05-14,331600
2019-05-16,297400
2019-05-31,309100
2019-06-18,379500
2019-06-25,356500
2019-06-28,359900
2019-06-30,362800
2019-07-05,362300
2019-07-13,369300
2019-07-20,354500
2019-07-23,351700
2019-07-25,329400
2019-07-28,342400
2019-08-02,345800
2019-08-09,303600
2019-08-14,294000
2019-08-17,287800
2019-08-22,242500
2019-08-24,257600
2019-08-29,305800
2019-09-03,225700
2019-09-08,219600
2019-09-11,358000
2019-09-13,282100
2019-09-26,167800
2019-09-28,166700
2019-10-03,180900
2019-10-08,133500
2019-10-11,147300
2019-10-26,321800
2019-11-17,317900
2019-11-25,373000
2019-12-15,365900
2019-12-25,368900
2019-12-27,376700
2019-12-30,358000
2020-01-01,339800
2020-01-04,291500
2020-01-06,357500
2020-01-09,335300
2020-01-16,377000
2020-01-24,357300
2020-02-05,375700
2020-02-10,360500
2020-02-15,377500
2020-02-18,373800
2020-02-20,365900
2020-02-23,369300
2020-03-11,352900
2020-03-14,329400
2020-03-19,351000
2020-04-03,265000
2020-04-05,192800
2020-05-03,327100
2020-05-05,359400
2020-05-08,328900
2020-05-18,347600
2020-05-20,330600
2020-05-30,353600
2020-06-02,369600
2020-06-22,370100
2020-06-24,361700
2020-07-04,356200
2020-07-07,356400
2020-07-19,344200
2020-07-22,343000
2020-07-24,328900
2020-07-27,332100
2020-08-03,279100
2020-08-06,265000
2020-08-21,207200
2020-08-23,161600
2020-08-26,237500
2020-08-31,226000
2020-09-02,198600
2020-09-05,274100
2020-09-12,187100
2020-09-20,273700
2020-09-30,152500
2020-10-17,211500
2020-10-30,207000
2020-11-09,188800
2020-11-11,177800
2020-11-21,152700
2020-11-24,175100
2020-12-16,193000
2020-12-26,179000
2021-01-03,130100
2021-01-13,144500
2021-01-18,157300
2021-02-19,305400
2021-02-24,267800
2021-02-27,225300
2021-03-01,298900
2021-03-04,287800
2021-03-16,322300
2021-03-24,271100
2021-03-26,210700
2021-03-29,245400
2021-03-31,203800
2021-04-05,305400
2021-04-08,304800
2021-04-15,234600
2021-04-18,207900
2021-04-23,236800
2021-05-08,239600
2021-06-07,367600
2021-06-09,346800
2021-06-14,346800
2021-06-29,369200
2021-07-02,380000
2021-07-09,357800
2021-07-19,348300
2021-07-22,351400
2021-08-06,336600
2021-08-11,321600
2021-08-13,304000
2021-08-18,277900
2021-08-23,210700
2021-08-26,207500
2021-08-31,188500
2021-09-17,176000
2021-09-30,154900
2021-10-02,147100
2021-10-07,160200
2021-10-12,134400
2021-10-17,171000
2021-10-22,147100
2021-10-25,186800
2021-10-27,118700
2021-11-19,242500
2021-12-14,235700
2021-12-19,357200
2022-01-15,367600
2022-01-18,346200
2022-01-23,341300
2022-01-25,340200
2022-01-28,328800
2022-01-30,325500
2022-02-02,320800
2022-02-09,314300
2022-02-22,305600
2022-03-01,282400
2022-03-09,270100
2022-03-19,329300
2022-04-05,279800
2022-04-15,352700
2022-04-18,348500
2022-05-10,330600
2022-05-28,332000
2022-06-09,347600
2022-06-19,363300
2022-06-29,362200
2022-07-07,358800
2022-07-09,346300
2022-07-12,350900
2022-07-14,322600
2022-07-17,319700
2022-07-24,286500
2022-07-27,305100
2022-08-08,320600
2022-08-11,338000
