date,value
2019-02-19,474800
2019-02-24,499500
2019-02-26,499500
2019-03-01,499500
2019-03-03,491800
2019-03-08,516100
2019-05-02,521700
2019-05-05,521700
2019-05-07,521700
2019-05-10,544700
2019-05-12,544700
2019-05-15,499400
2019-05-30,472500
2019-06-04,456800
2019-06-14,456800
2019-06-19,487800
2019-06-24,487800
2019-06-26,487800
2019-06-29,493500
2019-07-01,493500
2019-07-04,501700
2019-07-06,485400
2019-07-09,492200
2019-07-14,494500
2019-07-16,484300
2019-07-19,525000
2019-07-21,523700
2019-07-24,525400
2019-07-26,526900
2019-07-29,526900
2019-07-31,540500
2019-08-03,588300
2019-08-05,571000
2019-08-08,603300
2019-08-10,613000
2019-08-15,613000
2019-08-18,613000
2019-08-23,599700
2019-08-25,599700
2019-08-30,599700
2019-09-02,599700
2019-09-12,732700
2019-09-14,732700
2019-09-17,732700
2019-09-19,732700
2019-09-22,731500
2019-09-27,721100
2019-09-29,722600
2019-10-02,722600
2019-10-04,722600
2019-10-07,722900
2019-10-17,609500
2019-10-27,588000
2019-11-21,592300
2019-11-23,592300
2019-11-26,592300
2019-11-28,592300
2019-12-03,592300
2019-12-06,602400
2020-02-24,629100
2020-03-07,636700
2020-03-10,636700
2020-04-04,474400
2020-04-06,474400
2020-04-09,471700
2020-04-11,471700
2020-04-14,361800
2020-04-16,361800
2020-04-24,470700
2020-04-29,480300
2020-05-04,492400
2020-05-06,492400
2020-05-09,492200
2020-05-14,492200
2020-05-19,471500
2020-05-21,506300
2020-05-24,500200
2020-05-26,546600
2020-05-29,546600
2020-05-31,546600
2020-06-03,546600
2020-06-05,547900
2020-07-08,595900
2020-07-10,595900
2020-07-13,595900
2020-07-18,595900
2020-07-20,595900
2020-07-23,601900
2020-07-25,599800
2020-07-28,604400
2020-07-30,604400
2020-08-02,604400
2020-08-04,604400
2020-08-07,604900
2020-08-09,610400
2020-08-12,609500
2020-08-14,612500
2020-08-19,612500
2020-08-22,612500
2020-08-24,611600
2020-08-27,619200
2020-09-01,619100
2020-09-03,619100
2020-09-06,619100
2020-09-08,619100
2020-09-11,619100
2020-11-05,609700
2020-11-07,609700
2020-11-10,601300
2020-11-12,601300
2020-11-15,601300
2020-11-17,603000
2020-11-20,603000
2020-11-22,600800
2020-11-25,601300
2021-02-28,631700
2021-03-02,631700
2021-03-05,613000
2021-03-07,631700
2021-03-30,676700
2021-04-01,676700
2021-04-04,676700
2021-04-06,676700
2021-05-09,636700
2021-05-14,636700
2021-05-19,636700
2021-06-13,613100
2021-06-15,613100
2021-06-18,611900
2021-07-18,659600
2021-07-20,659600
2021-07-23,659600
2021-08-12,678800
2021-08-14,678800
2021-08-17,678800
2021-08-19,678800
2021-09-01,697300
2021-09-06,702000
2021-09-11,702000
2021-10-01,724600
2021-10-06,725900
2021-10-08,725900
2021-10-11,707900
2021-10-13,707300
2021-10-16,709600
2021-10-18,709600
2021-10-21,709600
2021-10-23,705000
2021-10-26,705000
2021-10-31,696800
2021-11-02,696800
2021-11-05,697300
2021-11-07,697300
2021-11-12,658000
2021-11-15,658000
2022-01-24,635200
2022-01-26,635200
2022-01-29,634600
2022-01-31,634600
2022-02-05,619200
2022-02-08,619200
2022-02-23,612100
2022-02-25,612100
2022-02-28,620700
2022-03-02,620700
2022-03-05,627300
2022-03-07,640800
2022-03-10,640800
2022-03-25,700900
2022-04-01,700900
2022-04-04,700900
2022-04-14,630100
2022-04-16,630100
2022-04-19,714400
2022-04-29,720500
2022-05-09,433100
2022-05-11,433100
2022-05-14,424900
2022-05-19,428200
2022-05-21,425300
2022-06-18,615600
2022-06-20,615600
2022-06-23,646900
2022-06-25,646900
2022-07-03,619600
2022-07-05,618500
2022-07-08,618200
2022-07-10,618200
2022-07-13,620100
2022-07-15,620900
2022-07-18,632500
2022-07-20,636500
2022-07-25,639800
2022-07-28,636500
2022-07-30,619200
2022-08-02,633000
2022-08-04,633000
2022-08-07,633000
2022-08-09,634200
2022-08-12,692300
2022-08-22,668800
2022-08-24,656700
2022-08-27,669700
2022-08-29,669700
2022-09-01,672500
