date,value
2019-01-01,1546778.7385133668
2019-01-03,1419945.1909851795
2019-01-06,1376485.4564680173
2019-01-11,1376485.4564680173
2019-01-16,1376485.4564680173
2019-02-05,1783085.830624484
2019-02-12,1699084.892215456
2019-02-15,1465469.124171245
2019-02-17,1465469.124171245
2019-02-20,1330465.3138130442
2019-02-22,1265494.7304883832
2019-02-25,1265494.7304883832
2019-02-27,1048227.193461024
2019-03-12,1041241.6801009687
2019-03-22,1549999.572295223
2019-03-24,1201707.1000412984
2019-03-27,1262501.5036124052
2019-03-29,1179737.033794571
2019-04-01,1240134.0400282128
2019-04-13,1684120.6555026066
2019-04-18,1350337.9751483654
2019-05-06,1390401.4246199175
2019-05-13,1404367.8751180605
2019-05-16,1404367.8751180605
2019-05-23,1434017.7573392428
2019-05-31,1482872.192201883
2019-06-02,1301612.5755129734
2019-06-17,992817.6139676963
2019-06-25,992817.6139676963
2019-06-27,1052426.5927019434
2019-06-30,1051026.1192691445
2019-07-02,1051026.1192691445
2019-07-05,1271488.8594975814
2019-07-07,1271488.8594975814
2019-07-10,1307667.840146191
2019-07-15,1379573.5239512348
2019-07-17,1307667.840146191
2019-07-20,1307667.840146191
2019-07-22,1243108.0206464478
2019-07-25,1303125.4400362123
2019-08-04,1023158.4406711982
2019-08-09,1280499.2160114117
2019-08-14,1114710.5584305227
2019-08-16,1168079.632088057
2019-08-21,1288025.3838450988
2019-08-24,1235677.8947733573
2019-08-26,1121869.8420305802
2019-08-29,953329.428893975
2019-08-31,887934.198327878
2019-09-03,839675.460371925
2019-09-13,901143.6103202455
2019-09-15,922424.7772933748
2019-09-18,1051026.1192691445
2019-09-20,1038452.2004833652
2019-09-30,1037058.4743356496
2019-10-03,1628022.0604030553
2019-10-13,1460735.7208797971
2019-10-15,1460735.7208797971
2019-10-25,1460735.7208797971
2019-11-22,1437151.7961858
2019-11-24,1437151.7961858
2019-12-02,1437151.7961858
2019-12-04,1437151.7961858
2019-12-29,1178277.573052098
2020-01-06,1315251.1832180924
2020-01-11,1315251.1832180924
2020-01-16,1362620.1118872298
2020-01-18,1362620.1118872298
2020-01-21,1362620.1118872298
2020-02-07,1198769.3045679436
2020-02-12,1198769.3045679436
2020-02-15,1201707.1000412984
2020-02-20,990075.7395780606
2020-02-22,987336.6046757882
2020-03-13,915755.1504046314
2020-03-18,915755.1504046314
2020-03-21,1745945.1248787816
2020-03-23,1745945.1248787816
2020-03-26,1745945.1248787816
2020-03-28,970959.4429536312
2020-03-31,977771.2364717841
2020-04-02,987336.6046757882
2020-04-05,1163718.8934852933
2020-04-07,935816.3811251331
2020-04-10,1039846.602489078
2020-04-12,1039846.602489078
2020-04-15,1295567.4671151158
2020-05-07,1001059.6530550832
2020-05-17,1001059.6530550832
2020-05-20,1492396.0120727196
2020-05-22,1492396.0120727196
2020-05-25,1647743.158924442
2020-05-27,1353404.743373672
2020-05-30,1471788.926537974
2020-06-01,1471788.926537974
2020-06-21,1715767.8178028604
2020-06-24,1724131.3362778283
2020-06-26,1709087.584013302
2020-06-29,1709087.584013302
2020-07-01,1709087.584013302
2020-07-04,1444997.6969780263
2020-07-09,1551610.8963395637
2020-07-11,1470208.055285079
2020-07-14,1341152.756470798
2020-07-19,1367236.2598015592
2020-07-21,1203176.9713883225
2020-07-24,1310699.2769605028
2020-07-29,1247573.8129681202
2020-07-31,1160815.008117405
2020-08-05,1002435.7174770001
2020-08-08,1206118.6602016229
2020-08-10,1206118.6602016229
2020-08-15,1087656.6261852277
2020-08-20,1160815.008117405
2020-08-25,991446.3344685348
2020-09-04,935816.3811251331
2020-09-07,939847.4406206672
2020-09-09,939847.4406206672
2020-09-12,1117572.285459593
2020-09-14,860424.553639372
2020-09-17,1001059.6530550832
2020-11-06,1200237.8776943272
2020-11-08,1200237.8776943272
2020-11-11,1200237.8776943272
2020-11-18,1213484.2243457711
2020-11-21,1235677.8947733573
2020-11-23,1228263.8687868903
2020-11-28,1228263.8687868903
2021-02-11,996935.5574916005
2021-02-14,1046828.7415847324
2021-02-19,1222344.2580084947
2021-02-21,1021772.1656706905
2021-02-24,1136237.9932558227
2021-02-26,1175360.6094674636
2021-03-01,1086239.392848431
2021-03-06,1077750.0180902272
2021-03-21,1538737.2456764788
2021-03-23,1537130.764217086
2021-03-26,1537130.764217086
2021-03-28,1262501.5036124052
2021-03-31,1318288.9523762288
2021-04-02,1410591.354015228
2021-04-05,1603491.5166334936
2021-04-07,1463890.7086265374
2021-04-15,1642804.8469990501
2021-04-17,1654335.8974437052
2021-04-22,1657635.8305740345
2021-05-27,1301612.5755129734
2021-05-30,1301612.5755129734
2021-06-01,1307667.840146191
2021-06-09,1240134.0400282128
2021-06-11,1240134.0400282128
2021-06-14,1338096.050876099
2021-06-16,1327417.433962612
2021-06-26,1165171.8185062918
2021-07-01,1217911.3315197516
2021-07-11,1456007.8503795606
2021-07-19,1412148.7760838526
2021-07-21,1258016.465067724
2021-07-29,1235677.8947733573
2021-08-20,1432451.6646936173
2021-08-25,1432451.6646936173
2021-08-28,1432451.6646936173
2021-08-30,1432451.6646936173
2021-09-02,1178277.573052098
2021-09-22,1001059.6530550832
2021-09-24,1014850.979354012
2021-09-27,1014850.979354012
2021-10-02,1014850.979354012
2021-10-07,1695755.3757711968
2021-10-09,1163718.8934852933
2021-10-12,1210536.0554227685
2021-10-14,1137678.4376863383
2021-10-17,1209062.9423748788
2021-10-19,1157913.7438304797
2021-10-22,1228263.8687868903
2021-10-24,1184119.3291317942
2021-10-27,1213484.2243457711
2021-11-06,1204647.4915151112
2021-12-16,1398154.3403845078
2021-12-18,1452859.012946057
2021-12-21,1350337.9751483654
2021-12-23,1347273.7201980995
2022-01-12,1184119.3291317942
2022-01-15,1330465.3138130442
2022-01-17,1330465.3138130442
2022-01-22,1330465.3138130442
2022-01-25,1368776.2283389866
2022-01-27,1319808.7858428224
2022-01-30,1265494.7304883832
2022-02-09,1307667.840146191
2022-02-11,1241620.708768593
2022-02-19,1432451.6646936173
2022-02-26,1434017.7573392428
2022-03-06,1275991.1654991622
2022-03-08,1152119.0857926402
2022-03-23,1292548.7256080962
2022-03-26,1362620.1118872298
2022-04-10,1492396.0120727196
2022-04-15,1484457.9660926631
2022-04-17,1484457.9660926631
2022-04-22,1476535.220377765
2022-04-27,1558062.23613736
2022-04-30,1489218.9591006313
2022-05-02,1489218.9591006313
2022-05-07,1489218.9591006313
2022-05-17,1367236.2598015592
2022-05-27,1367236.2598015592
2022-05-30,1382664.0898034167
2022-06-01,1358009.6046406336
2022-06-04,1404367.8751180605
2022-06-06,1404367.8751180605
2022-06-11,1371858.0430881788
2022-06-14,1364158.201379655
2022-06-19,1289532.5280913122
2022-06-21,1289532.5280913122
2022-06-29,1265494.7304883832
2022-07-01,1449712.6382257792
2022-07-04,1294057.778465884
2022-07-06,1330465.3138130442
2022-07-11,1330465.3138130442
2022-07-14,1327417.433962612
2022-07-16,1322850.3495392066
2022-07-19,1452859.012946057
2022-07-21,1319808.7858428224
2022-07-24,1368776.2283389866
2022-07-26,1328941.0583318127
2022-07-31,1216434.9822475181
2022-08-03,1319808.7858428224
2022-08-08,1271488.8594975814
2022-08-10,1153566.7659141778
2022-08-13,1194367.48272139
2022-08-25,1093332.229363027
2022-08-28,1228263.8687868903
2022-08-30,1120436.661350423
