date,value
2018-01-01,7973977.463290837
2018-01-04,8331146.069799428
2018-01-09,8054852.839128916
2018-01-11,14383182.627711438
2018-01-14,12670143.693507323
2018-01-16,13065562.537153382
2018-01-21,13213171.49419767
2018-01-24,13540884.011665972
2018-01-29,7008974.19102837
2018-01-31,7705804.250806868
2018-02-05,533105.5012817867
2018-02-08,607767.3669069939
2018-02-13,27997.095707085482
2018-02-15,11567775.976968776
2018-02-20,13264853.335931124
2018-02-28,13382572.975587847
2018-03-07,140261.6631315185
2018-03-10,140261.6631315185
2018-03-12,12041784.343832692
2018-03-17,12041784.343832692
2018-03-20,12354573.328470152
2018-03-22,13095974.243998514
2018-03-27,14223906.522280984
2018-03-30,14223906.522280984
2018-04-01,14291402.791996751
2018-04-04,14691400.826291632
2018-04-09,14569783.632511748
2018-04-11,14569783.632511748
2018-04-14,288070.2501895861
2018-04-16,15851663.741612155
2018-04-19,15851663.741612155
2018-04-21,15846661.664293004
2018-04-24,15901714.730095977
2018-04-29,160014.48718925373
2018-05-04,36065.36269966605
2018-05-06,12301866.447009698
2018-05-09,12144217.171795612
2018-05-11,12062246.740177736
2018-05-14,12080445.687462771
2018-05-16,15659480.95670822
2018-05-19,15272632.887211574
2018-05-21,15604721.62110788
2018-05-24,15604721.62110788
2018-05-26,15146895.487597605
2018-05-29,15604721.62110788
2018-05-31,15082933.443191506
2018-06-03,15627115.096271902
2018-06-05,15627115.096271902
2018-06-08,14918542.995188095
2018-06-10,14962645.967812624
2018-06-13,1823248.530414621
2018-06-15,14896508.508702619
2018-06-18,12825480.023956172
2018-06-20,14238360.643500244
2018-06-23,2464.6810433402197
2018-06-25,14433990.747544196
2018-06-28,14433990.747544196
2018-06-30,14460629.406060187
2018-07-03,13309544.142841123
2018-07-05,14247999.563111706
2018-07-08,13377857.241159262
2018-07-10,13962214.75124876
2018-07-13,13964607.897609435
2018-07-15,13401441.698006094
2018-07-18,13699841.9924042
2018-07-20,12660890.740535865
2018-07-23,12995475.674406854
2018-07-25,13035175.45196146
2018-07-28,13253101.296394296
2018-07-30,13264853.335931124
2018-08-02,14228723.994849833
2018-08-04,13267204.17893512
2018-08-07,14029276.793823427
2018-08-09,13399082.601623466
2018-08-12,13564568.06582889
2018-08-14,12951155.244155657
2018-08-17,13888098.070878228
2018-08-19,13892875.647193594
2018-08-22,13883321.066615198
2018-08-24,13823656.804648424
