date,value
2018-01-04,0
2018-01-04,0
2018-01-05,970900
2018-01-05,970900
2018-01-05,1008200
2018-01-05,1008200
2018-01-06,0
2018-01-06,0
2018-01-10,0
2018-01-10,0
2018-01-11,1012000
2018-01-11,1012000
2018-01-11,1012000
2018-01-11,1012000
2018-01-12,0
2018-01-12,0
2018-01-12,0
2018-01-12,0
2018-01-16,0
2018-01-16,0
2018-01-16,0
2018-01-16,0
2018-01-17,931600
2018-01-17,931600
2018-01-17,928300
2018-01-17,928300
2018-01-17,931600
2018-01-17,931600
2018-01-17,928300
2018-01-17,928300
2018-01-17,931600
2018-01-17,931600
2018-01-17,928300
2018-01-17,928300
2018-01-17,931600
2018-01-17,931600
2018-01-17,928300
2018-01-17,928300
2018-01-18,0
2018-01-18,0
2018-01-18,0
2018-01-18,0
2018-01-22,0
2018-01-22,0
2018-01-22,0
2018-01-22,0
2018-01-23,889800
2018-01-23,889800
2018-01-23,889800
2018-01-23,889800
2018-01-24,0
2018-01-24,0
2018-01-24,0
2018-01-24,0
2018-01-28,0
2018-01-28,0
2018-01-28,0
2018-01-28,0
2018-01-29,1048600
2018-01-29,1048600
2018-01-29,1053700
2018-01-29,1053700
2018-01-29,1048600
2018-01-29,1048600
2018-01-29,1053700
2018-01-29,1053700
2018-01-29,1048600
2018-01-29,1048600
2018-01-29,1053700
2018-01-29,1053700
2018-01-29,1048600
2018-01-29,1048600
2018-01-29,1053700
2018-01-29,1053700
2018-01-30,0
2018-01-30,0
2018-01-30,0
2018-01-30,0
2018-02-03,0
2018-02-03,0
2018-02-03,0
2018-02-03,0
2018-02-04,1025700
2018-02-04,1025700
2018-02-04,1025700
2018-02-04,1025700
2018-02-05,0
2018-02-05,0
2018-02-05,0
2018-02-05,0
2018-02-09,0
2018-02-09,0
2018-02-09,0
2018-02-09,0
2018-02-10,982800
2018-02-10,982800
2018-02-10,911600
2018-02-10,911600
2018-02-10,982800
2018-02-10,982800
2018-02-10,911600
2018-02-10,911600
2018-02-10,982800
2018-02-10,982800
2018-02-10,911600
2018-02-10,911600
2018-02-10,982800
2018-02-10,982800
2018-02-10,911600
2018-02-10,911600
2018-02-11,0
2018-02-11,0
2018-02-11,0
2018-02-11,0
2018-02-15,0
2018-02-15,0
2018-02-15,0
2018-02-15,0
2018-02-16,884400
2018-02-16,884400
2018-02-16,884400
2018-02-16,884400
2018-02-17,0
2018-02-17,0
2018-02-17,0
2018-02-17,0
2018-02-21,0
2018-02-21,0
2018-02-21,0
2018-02-21,0
2018-02-22,1011400
2018-02-22,1011400
2018-02-22,1011400
2018-02-22,1011400
2018-02-23,0
2018-02-23,0
2018-02-23,0
2018-02-23,0
2018-02-27,0
2018-02-27,0
2018-02-27,0
2018-02-27,0
2018-02-28,929700
2018-02-28,929700
2018-02-28,929700
2018-02-28,929700
2018-03-01,0
2018-03-01,0
2018-03-01,0
2018-03-01,0
2018-03-05,0
2018-03-05,0
2018-03-05,0
2018-03-05,0
2018-03-06,1066600
2018-03-06,1066600
2018-03-06,1006600
2018-03-06,1006600
2018-03-06,1066600
2018-03-06,1066600
2018-03-06,1006600
2018-03-06,1006600
2018-03-06,1066600
2018-03-06,1066600
2018-03-06,1006600
2018-03-06,1006600
2018-03-06,1066600
2018-03-06,1066600
2018-03-06,1006600
2018-03-06,1006600
2018-03-07,0
2018-03-07,0
2018-03-07,0
2018-03-07,0
2018-03-11,0
2018-03-11,0
2018-03-11,0
2018-03-11,0
2018-03-12,1066700
2018-03-12,1066700
2018-03-12,1066700
2018-03-12,1066700
2018-03-13,0
2018-03-13,0
2018-03-13,0
2018-03-13,0
2018-03-17,0
2018-03-17,0
2018-03-17,0
2018-03-17,0
2018-03-18,1144400
2018-03-18,1144400
2018-03-18,1040200
2018-03-18,1040200
2018-03-18,1144400
2018-03-18,1144400
2018-03-18,1040200
2018-03-18,1040200
2018-03-18,1144400
2018-03-18,1144400
