date,value
2018-01-04,3612000
2018-01-04,3612000
2018-01-04,3897800
2018-01-04,3897800
2018-01-05,3917900
2018-01-05,3917900
2018-01-11,0
2018-01-11,0
2018-01-11,4086800
2018-01-11,4086800
2018-01-16,3995300
2018-01-16,3995300
2018-01-16,3986600
2018-01-16,3986600
2018-01-16,3995300
2018-01-16,3995300
2018-01-16,3986600
2018-01-16,3986600
2018-01-16,3995300
2018-01-16,3995300
2018-01-16,3986600
2018-01-16,3986600
2018-01-16,3995300
2018-01-16,3995300
2018-01-16,3986600
2018-01-16,3986600
2018-01-17,4061300
2018-01-17,4061300
2018-01-17,4061300
2018-01-17,4061300
2018-01-23,4051100
2018-01-23,4051100
2018-01-23,0
2018-01-23,0
2018-01-23,4051100
2018-01-23,4051100
2018-01-23,0
2018-01-23,0
2018-01-23,4051100
2018-01-23,4051100
2018-01-23,0
2018-01-23,0
2018-01-23,4051100
2018-01-23,4051100
2018-01-23,0
2018-01-23,0
2018-01-28,3546700
2018-01-28,3546700
2018-01-28,3824500
2018-01-28,3824500
2018-01-28,3546700
2018-01-28,3546700
2018-01-28,3824500
2018-01-28,3824500
2018-01-28,3546700
2018-01-28,3546700
2018-01-28,3824500
2018-01-28,3824500
2018-01-28,3546700
2018-01-28,3546700
2018-01-28,3824500
2018-01-28,3824500
2018-01-29,3356800
2018-01-29,3356800
2018-01-29,3356800
2018-01-29,3356800
2018-02-04,4055300
2018-02-04,4055300
2018-02-04,0
2018-02-04,0
2018-02-04,4055300
2018-02-04,4055300
2018-02-04,0
2018-02-04,0
2018-02-04,4055300
2018-02-04,4055300
2018-02-04,0
2018-02-04,0
2018-02-04,4055300
2018-02-04,4055300
2018-02-04,0
2018-02-04,0
2018-02-09,3879700
2018-02-09,3879700
2018-02-09,2859700
2018-02-09,2859700
2018-02-09,3879700
2018-02-09,3879700
2018-02-09,2859700
2018-02-09,2859700
2018-02-09,3879700
2018-02-09,3879700
2018-02-09,2859700
2018-02-09,2859700
2018-02-09,3879700
2018-02-09,3879700
2018-02-09,2859700
2018-02-09,2859700
2018-02-10,3961800
2018-02-10,3961800
2018-02-10,3961800
2018-02-10,3961800
2018-02-16,0
2018-02-16,0
2018-02-16,3972900
2018-02-16,3972900
2018-02-16,0
2018-02-16,0
2018-02-16,3972900
2018-02-16,3972900
2018-02-16,0
2018-02-16,0
2018-02-16,3972900
2018-02-16,3972900
2018-02-16,0
2018-02-16,0
2018-02-16,3972900
2018-02-16,3972900
2018-02-21,3762900
2018-02-21,3762900
2018-02-21,3726800
2018-02-21,3726800
2018-02-21,3762900
2018-02-21,3762900
2018-02-21,3726800
2018-02-21,3726800
2018-02-21,3762900
2018-02-21,3762900
2018-02-21,3726800
2018-02-21,3726800
2018-02-21,3762900
2018-02-21,3762900
2018-02-21,3726800
2018-02-21,3726800
2018-02-22,3911300
2018-02-22,3911300
2018-02-22,3911300
2018-02-22,3911300
2018-02-28,3967000
2018-02-28,3967000
2018-02-28,0
2018-02-28,0
2018-02-28,3967000
2018-02-28,3967000
2018-02-28,0
2018-02-28,0
2018-02-28,3967000
2018-02-28,3967000
2018-02-28,0
2018-02-28,0
2018-02-28,3967000
2018-02-28,3967000
2018-02-28,0
2018-02-28,0
2018-03-05,4370000
2018-03-05,4370000
2018-03-05,4291000
2018-03-05,4291000
2018-03-05,4370000
2018-03-05,4370000
2018-03-05,4291000
2018-03-05,4291000
2018-03-05,4370000
2018-03-05,4370000
2018-03-05,4291000
2018-03-05,4291000
2018-03-05,4370000
2018-03-05,4370000
2018-03-05,4291000
2018-03-05,4291000
2018-03-06,4394300
2018-03-06,4394300
2018-03-06,4394300
2018-03-06,4394300
2018-03-12,0
2018-03-12,0
2018-03-12,4694900
2018-03-12,4694900
2018-03-12,0
2018-03-12,0
2018-03-12,4694900
2018-03-12,4694900
2018-03-12,0
2018-03-12,0
2018-03-12,4694900
2018-03-12,4694900
2018-03-12,0
2018-03-12,0
2018-03-12,4694900
2018-03-12,4694900
2018-03-17,4783700
2018-03-17,4783700
2018-03-17,4647500
2018-03-17,4647500
2018-03-17,4783700
2018-03-17,4783700
2018-03-17,4647500
2018-03-17,4647500
2018-03-17,4783700
2018-03-17,4783700
2018-03-17,4647500
2018-03-17,4647500
2018-03-17,4783700
2018-03-17,4783700
2018-03-17,4647500
2018-03-17,4647500
2018-03-18,4728600
2018-03-18,4728600
2018-03-18,4728600
2018-03-18,4728600
2018-03-23,4703300
2018-03-23,4703300
2018-03-23,4703300
2018-03-23,4703300
2018-03-24,0
2018-03-24,0
2018-03-24,0
2018-03-24,0
2018-03-29,5092200
2018-03-29,5092200
2018-03-29,5092200
2018-03-29,5092200
2018-03-30,5187600
2018-03-30,5187600
2018-03-30,5187600
2018-03-30,5187600
2018-04-04,4778300
2018-04-04,4778300
2018-04-04,4778300
2018-04-04,4778300
2018-04-05,5218000
2018-04-05,5218000
2018-04-05,5218000
2018-04-05,5218000
2018-04-10,5257000
2018-04-10,5257000
2018-04-10,5071500
2018-04-10,5071500
2018-04-10,5257000
2018-04-10,5257000
2018-04-10,5071500
2018-04-10,5071500
2018-04-10,5257000
2018-04-10,5257000
2018-04-10,5071500
2018-04-10,5071500
2018-04-10,5257000
2018-04-10,5257000
2018-04-10,5071500
2018-04-10,5071500
2018-04-11,5381200
2018-04-11,5381200
2018-04-11,5381200
2018-04-11,5381200
2018-04-16,5407900
2018-04-16,5407900
2018-04-16,5407900
2018-04-16,5407900
2018-04-17,0
2018-04-17,0
2018-04-17,5485300
2018-04-17,5485300
2018-04-17,0
2018-04-17,0
2018-04-17,5485300
2018-04-17,5485300
2018-04-17,0
2018-04-17,0
2018-04-17,5485300
2018-04-17,5485300
2018-04-17,0
2018-04-17,0
2018-04-17,5485300
