date,value
2018-01-04,0
2018-01-04,0
2018-01-05,618200
2018-01-05,618200
2018-01-05,0
2018-01-05,0
2018-01-10,0
2018-01-10,0
2018-01-10,676100
2018-01-10,676100
2018-01-11,650000
2018-01-11,650000
2018-01-11,650000
2018-01-11,650000
2018-01-16,0
2018-01-16,0
2018-01-16,0
2018-01-16,0
2018-01-17,588400
2018-01-17,588400
2018-01-17,0
2018-01-17,0
2018-01-17,588400
2018-01-17,588400
2018-01-17,0
2018-01-17,0
2018-01-17,588400
2018-01-17,588400
2018-01-17,0
2018-01-17,0
2018-01-17,588400
2018-01-17,588400
2018-01-17,0
2018-01-17,0
2018-01-22,645900
2018-01-22,645900
2018-01-22,645900
2018-01-22,645900
2018-01-23,622300
2018-01-23,622300
2018-01-23,622300
2018-01-23,622300
2018-01-28,0
2018-01-28,0
2018-01-28,0
2018-01-28,0
2018-01-29,0
2018-01-29,0
2018-01-29,698500
2018-01-29,698500
2018-01-29,0
2018-01-29,0
2018-01-29,698500
2018-01-29,698500
2018-01-29,0
2018-01-29,0
2018-01-29,698500
2018-01-29,698500
2018-01-29,0
2018-01-29,0
2018-01-29,698500
2018-01-29,698500
2018-02-03,651900
2018-02-03,651900
2018-02-03,0
2018-02-03,0
2018-02-03,651900
2018-02-03,651900
2018-02-03,0
2018-02-03,0
2018-02-03,651900
2018-02-03,651900
2018-02-03,0
2018-02-03,0
2018-02-03,651900
2018-02-03,651900
2018-02-03,0
2018-02-03,0
2018-02-04,666800
2018-02-04,666800
2018-02-04,666800
2018-02-04,666800
2018-02-09,0
2018-02-09,0
2018-02-09,0
2018-02-09,0
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-15,0
2018-02-15,0
2018-02-15,592000
2018-02-15,592000
2018-02-15,0
2018-02-15,0
2018-02-15,592000
2018-02-15,592000
2018-02-15,0
2018-02-15,0
2018-02-15,592000
2018-02-15,592000
2018-02-15,0
2018-02-15,0
2018-02-15,592000
2018-02-15,592000
2018-02-16,572600
2018-02-16,572600
2018-02-16,572600
2018-02-16,572600
2018-02-21,0
2018-02-21,0
2018-02-21,0
2018-02-21,0
2018-02-22,588900
2018-02-22,588900
2018-02-22,0
2018-02-22,0
2018-02-22,588900
2018-02-22,588900
2018-02-22,0
2018-02-22,0
2018-02-22,588900
2018-02-22,588900
2018-02-22,0
2018-02-22,0
2018-02-22,588900
2018-02-22,588900
2018-02-22,0
2018-02-22,0
2018-02-27,0
2018-02-27,0
2018-02-27,621900
2018-02-27,621900
2018-02-27,0
2018-02-27,0
2018-02-27,621900
2018-02-27,621900
2018-02-27,0
2018-02-27,0
2018-02-27,621900
2018-02-27,621900
2018-02-27,0
2018-02-27,0
2018-02-27,621900
2018-02-27,621900
2018-02-28,608800
2018-02-28,608800
2018-02-28,608800
2018-02-28,608800
2018-03-05,0
2018-03-05,0
2018-03-05,0
2018-03-05,0
2018-03-06,652100
2018-03-06,652100
2018-03-06,0
2018-03-06,0
2018-03-06,652100
2018-03-06,652100
2018-03-06,0
2018-03-06,0
2018-03-06,652100
2018-03-06,652100
2018-03-06,0
2018-03-06,0
2018-03-06,652100
2018-03-06,652100
2018-03-06,0
2018-03-06,0
2018-03-11,758100
2018-03-11,758100
2018-03-11,0
2018-03-11,0
2018-03-11,758100
2018-03-11,758100
2018-03-11,0
2018-03-11,0
2018-03-11,758100
2018-03-11,758100
2018-03-11,0
2018-03-11,0
2018-03-11,758100
2018-03-11,758100
2018-03-11,0
2018-03-11,0
2018-03-12,666300
2018-03-12,666300
2018-03-12,666300
2018-03-12,666300
2018-03-17,0
2018-03-17,0
2018-03-17,0
2018-03-17,0
2018-03-18,724200
2018-03-18,724200
2018-03-18,0
2018-03-18,0
2018-03-18,724200
2018-03-18,724200
2018-03-18,0
2018-03-18,0
2018-03-18,724200
2018-03-18,724200
2018-03-18,0
2018-03-18,0
2018-03-18,724200
