date,value
2019-01-16,4763990.930932714
2019-01-18,4836418.514942474
2019-01-23,4967576.973146421
2019-01-26,4988780.398263986
2019-01-31,4983473.883273002
2019-02-15,4909578.262804203
2019-02-17,4909578.262804203
2019-02-20,4888600.550854792
2019-02-22,4978171.141657564
2019-02-25,4978171.141657564
2019-02-27,5058109.085371237
2019-03-02,5058109.085371237
2019-03-04,5068831.847391846
2019-03-07,5068831.847391846
2019-03-12,4836418.514942474
2019-04-13,6036856.598203768
2019-04-28,4738300.668150338
2019-05-01,4743431.295597597
2019-05-06,3697351.5805878313
2019-05-13,4646582.449273336
2019-05-16,4656714.249900037
2019-05-23,4810467.663824452
2019-05-28,4810467.663824452
2019-05-31,4930616.045985175
2019-06-02,5122673.574042449
2019-06-12,5459405.235624106
2019-06-15,5459405.235624106
2019-06-17,4258057.214117973
2019-06-22,4258057.214117973
2019-06-25,4258057.214117973
2019-06-27,4852033.841158027
2019-06-30,4852033.841158027
2019-07-05,5527342.114927522
2019-07-07,5527342.114927522
2019-07-10,5498966.839459148
2019-07-12,5601575.399093164
2019-07-15,5757875.0272649415
2019-07-20,5757875.0272649415
2019-07-22,5757875.0272649415
2019-07-25,5641821.715022697
2019-08-01,5676471.976591612
2019-08-04,5544414.156157467
2019-08-06,5544414.156157467
2019-08-09,5403219.278965812
2019-08-14,5253450.169506619
2019-08-16,5042053.381214445
2019-08-21,4972872.172065944
2019-08-24,5117272.28533042
2019-08-26,5117272.28533042
2019-08-29,5026031.771262968
2019-08-31,4930616.045985175
2019-09-03,4909578.262804203
2019-09-05,4909578.262804203
2019-09-08,4447027.903110483
2019-09-13,4032941.97850927
2019-09-15,3950619.087088723
2019-09-18,3882880.704652904
2019-09-20,3164721.0502161626
2019-09-30,2753224.5651388234
2019-10-03,3291707.691044231
2019-10-05,2527758.899141443
2019-10-08,2527758.899141443
2019-10-10,2507591.9136482696
2019-10-13,2454339.556165488
2019-10-15,2454339.556165488
2019-10-25,2803482.6900225393
2019-10-30,2803482.6900225393
2019-11-04,3564280.5086458125
2019-11-09,3192214.460927009
2019-11-12,3543121.8642204986
2019-11-17,2969172.6360286777
2019-11-19,3430314.2134011546
2019-11-24,2379121.321939545
2019-11-27,3615405.405993759
2019-11-29,4102413.7622575206
2019-12-02,3727852.342484371
2019-12-07,4521175.310699135
2019-12-09,4229469.9442033665
2019-12-14,3959710.0963070826
2019-12-17,4272399.144627266
2019-12-19,4320438.669847347
2019-12-22,4576072.018620027
