date,value
2018-01-03,0
2018-01-03,0
2018-01-04,4019900
2018-01-04,4019900
2018-01-05,3719500
2018-01-05,3719500
2018-01-09,0
2018-01-09,0
2018-01-10,4063100
2018-01-10,4063100
2018-01-11,3640900
2018-01-11,3640900
2018-01-11,3640900
2018-01-11,3640900
2018-01-15,0
2018-01-15,0
2018-01-15,0
2018-01-15,0
2018-01-16,4053600
2018-01-16,4053600
2018-01-16,4053600
2018-01-16,4053600
2018-01-17,3828800
2018-01-17,3828800
2018-01-17,3828800
2018-01-17,3828800
2018-01-21,0
2018-01-21,0
2018-01-21,0
2018-01-21,0
2018-01-22,4093100
2018-01-22,4093100
2018-01-22,4107000
2018-01-22,4107000
2018-01-22,4093100
2018-01-22,4093100
2018-01-22,4107000
2018-01-22,4107000
2018-01-22,4093100
2018-01-22,4093100
2018-01-22,4107000
2018-01-22,4107000
2018-01-22,4093100
2018-01-22,4093100
2018-01-22,4107000
2018-01-22,4107000
2018-01-23,3753300
2018-01-23,3753300
2018-01-23,3753300
2018-01-23,3753300
2018-01-27,0
2018-01-27,0
2018-01-27,0
2018-01-27,0
2018-01-28,4077400
2018-01-28,4077400
2018-01-28,4077400
2018-01-28,4077400
2018-01-29,4377700
2018-01-29,4377700
2018-01-29,4377700
2018-01-29,4377700
2018-02-02,0
2018-02-02,0
2018-02-02,0
2018-02-02,0
2018-02-03,4140100
2018-02-03,4140100
2018-02-03,3795600
2018-02-03,3795600
2018-02-03,4140100
2018-02-03,4140100
2018-02-03,3795600
2018-02-03,3795600
2018-02-03,4140100
2018-02-03,4140100
2018-02-03,3795600
2018-02-03,3795600
2018-02-03,4140100
2018-02-03,4140100
2018-02-03,3795600
2018-02-03,3795600
2018-02-04,3727100
2018-02-04,3727100
2018-02-04,3727100
2018-02-04,3727100
2018-02-08,0
2018-02-08,0
2018-02-08,0
2018-02-08,0
2018-02-09,4038800
2018-02-09,4038800
2018-02-09,4038800
2018-02-09,4038800
2018-02-10,3468500
2018-02-10,3468500
2018-02-10,3468500
2018-02-10,3468500
2018-02-14,0
2018-02-14,0
2018-02-14,0
2018-02-14,0
2018-02-15,3894700
2018-02-15,3894700
2018-02-15,4026500
2018-02-15,4026500
2018-02-15,3894700
2018-02-15,3894700
2018-02-15,4026500
2018-02-15,4026500
2018-02-15,3894700
2018-02-15,3894700
2018-02-15,4026500
2018-02-15,4026500
2018-02-15,3894700
2018-02-15,3894700
2018-02-15,4026500
2018-02-15,4026500
2018-02-16,3942300
2018-02-16,3942300
2018-02-16,3942300
2018-02-16,3942300
2018-02-20,0
2018-02-20,0
2018-02-20,0
2018-02-20,0
2018-02-21,4086600
2018-02-21,4086600
2018-02-21,4086600
2018-02-21,4086600
2018-02-22,3749900
2018-02-22,3749900
2018-02-22,3749900
2018-02-22,3749900
2018-02-26,0
2018-02-26,0
2018-02-26,0
2018-02-26,0
2018-02-27,4050100
2018-02-27,4049800
2018-02-27,4028700
2018-02-27,4028700
2018-02-27,4050100
2018-02-27,4049800
2018-02-27,4028700
2018-02-27,4028700
2018-02-27,4050100
2018-02-27,4049800
2018-02-27,4028700
2018-02-27,4028700
2018-02-27,4050100
2018-02-27,4049800
2018-02-27,4028700
2018-02-27,4028700
2018-02-28,3727800
2018-02-28,3727800
2018-02-28,3727800
2018-02-28,3727800
2018-03-04,0
2018-03-04,0
2018-03-04,0
2018-03-04,0
2018-03-05,4565900
2018-03-05,4565900
2018-03-05,4565900
2018-03-05,4565900
2018-03-06,4432400
2018-03-06,4432400
2018-03-06,4432400
2018-03-06,4432400
2018-03-10,0
2018-03-10,0
2018-03-10,0
2018-03-10,0
2018-03-11,4794200
2018-03-11,4794200
2018-03-11,4794200
2018-03-11,4794200
2018-03-12,4476800
2018-03-12,4476800
2018-03-12,4476800
2018-03-12,4476800
2018-03-16,0
2018-03-16,0
2018-03-16,0
2018-03-16,0
2018-03-17,4923500
2018-03-17,4923500
2018-03-17,4923500
2018-03-17,4923500
2018-03-18,5037700
2018-03-18,5037700
2018-03-18,5037700
2018-03-18,5037700
2018-03-22,0
2018-03-22,0
2018-03-22,0
2018-03-22,0
2018-03-23,5278400
2018-03-23,5278400
2018-03-23,5193900
2018-03-23,5193900
2018-03-23,5278400
2018-03-23,5278400
2018-03-23,5193900
2018-03-23,5193900
2018-03-23,5278400
2018-03-23,5278400
2018-03-23,5193900
2018-03-23,5193900
2018-03-23,5278400
2018-03-23,5278400
2018-03-23,5193900
2018-03-23,5193900
2018-03-24,4936100
2018-03-24,4936100
2018-03-24,4936100
2018-03-24,4936100
2018-03-28,0
2018-03-28,0
2018-03-28,0
2018-03-28,0
2018-03-29,5280400
