date,value
2018-01-02,14467900
2018-01-04,0
2018-01-07,8286800
2018-01-12,8952700
2018-01-17,14819500
2018-01-19,0
2018-01-22,15120500
2018-01-24,0
2018-01-27,14913200
2018-02-01,0
2018-02-06,14034300
2018-02-08,0
2018-02-11,14619100
2018-02-13,0
2018-02-16,14725800
2018-02-18,0
2018-02-21,14733200
2018-02-26,12229800
2018-03-20,0
2018-03-25,0
2018-03-28,21023700
2018-04-02,12756800
2018-04-04,0
2018-04-07,0
2018-04-14,0
2018-04-17,21972900
2018-04-19,0
2018-04-22,2655700
2018-04-24,0
2018-04-27,10776800
2018-04-29,0
2018-05-02,6825300
2018-05-04,0
2018-05-07,0
2018-05-09,0
2018-05-12,950900
2018-05-14,0
2018-05-19,0
2018-05-22,3665700
2018-05-29,0
2018-06-01,4560500
2018-06-03,0
2018-06-06,0
2018-06-08,0
2018-06-11,0
2018-06-13,0
2018-06-16,164900
2018-06-21,9148800
2018-06-23,0
2018-06-26,17634600
2018-06-28,0
2018-07-01,6498200
2018-07-03,0
2018-07-06,16850300
2018-07-08,0
2018-07-11,1175800
2018-07-13,0
2018-07-16,3603300
2018-07-18,0
2018-07-21,5796900
2018-07-23,0
2018-07-26,20827800
2018-07-28,0
2018-07-31,18713000
2018-08-02,0
2018-08-05,18507000
2018-08-07,0
2018-08-10,20539400
2018-08-12,0
2018-08-15,17351600
2018-08-17,0
2018-08-20,20383600
2018-08-22,0
2018-08-25,20346900
2018-08-27,0
2018-08-30,20022600
2018-09-01,0
2018-09-04,9654100
2018-09-06,0
2018-09-09,0
2018-09-11,0
2018-09-16,0
2018-09-19,19565000
2018-09-21,0
2018-09-24,19748500
2018-09-26,0
2018-09-29,19101500
2018-10-01,0
2018-10-04,19269500
2018-10-06,0
2018-10-09,16837500
2018-10-14,4153600
2018-10-16,0
2018-10-19,526100
2018-10-24,19055200
2018-10-29,19036900
2018-11-03,17917800
2018-11-05,0
2018-11-10,0
2018-11-13,253600
2018-11-15,0
2018-11-20,0
2018-11-23,0
2018-11-28,19340400
2018-11-30,0
2018-12-03,10609500
2018-12-05,0
2018-12-08,20260900
2018-12-10,0
2018-12-13,800
2018-12-15,0
2018-12-18,0
2018-12-20,0
2018-12-23,20194400
2018-12-28,5299800
2018-12-30,0
2019-01-02,20346300
2019-01-04,0
2019-01-07,20394200
2019-01-09,0
2019-01-12,17373000
2019-01-14,0
2019-01-17,19541800
2019-01-22,13888700
2019-01-24,0
2019-01-27,371000
2019-01-29,0
2019-02-03,0
2019-02-06,20499500
2019-02-08,0
2019-02-11,11119600
2019-02-13,0
2019-02-16,1714800
2019-02-21,0
2019-02-26,20468900
2019-02-28,0
2019-03-03,20447600
2019-03-10,0
2019-03-13,20601200
2019-03-15,0
2019-03-18,19790200
2019-03-20,0
2019-03-23,10382100
2019-03-25,0
2019-03-28,19876800
2019-03-30,0
2019-04-02,14785300
2019-04-04,0
2019-04-12,19025700
2019-04-14,0
2019-04-19,0
2019-04-22,16146100
2019-04-27,20586900
2019-04-29,0
2019-05-02,0
2019-05-07,17879300
2019-05-09,0
2019-05-12,20252300
2019-05-14,0
2019-05-19,0
2019-05-22,17458200
2019-05-24,0
2019-05-27,17617400
2019-05-29,0
2019-06-01,204500
2019-06-06,6756400
2019-06-08,0
2019-06-11,17834000
2019-06-16,127800
2019-06-18,0
2019-06-21,528800
2019-06-23,0
2019-06-26,17022300
2019-06-28,0
2019-07-01,8345600
2019-07-03,0
2019-07-06,10009600
2019-07-08,0
2019-07-11,15001800
2019-07-13,0
2019-07-16,17560200
2019-07-18,0
2019-07-21,16375400
2019-07-23,0
2019-07-26,0
2019-07-28,0
2019-07-31,5596700
2019-08-02,0
2019-08-05,3271700
2019-08-07,0
2019-08-10,16939000
2019-08-12,0
2019-08-15,12635300
2019-08-17,0
2019-08-20,16681100
2019-08-22,0
2019-08-25,255600
2019-08-27,0
2019-08-30,16247500
2019-09-01,0
2019-09-04,16175900
2019-09-06,0
2019-09-09,15900800
2019-09-11,0
2019-09-14,12397900
2019-09-16,0
2019-09-19,15215700
2019-09-24,15335600
2019-09-26,0
2019-09-29,15223300
2019-10-01,0
2019-10-04,15615400
2019-10-06,0
2019-10-09,14802700
2019-10-16,0
2019-10-21,0
2019-10-24,14952700
2019-10-26,0
2019-10-29,10047700
2019-11-03,0
2019-11-05,0
2019-11-08,12207700
2019-11-15,0
2019-11-18,6319000
2019-11-23,3815900
2019-11-28,15077800
2019-11-30,0
2019-12-03,957300
2019-12-05,0
2019-12-08,15022000
2019-12-10,0
2019-12-15,0
2019-12-18,0
2019-12-23,2821400
2019-12-25,0
2019-12-28,12943400
2019-12-30,0
2020-01-02,10525200
2020-01-04,0
2020-01-07,15258200
2020-01-09,0
2020-01-12,15171800
2020-01-14,0
2020-01-19,0
2020-01-27,16107100
2020-01-29,0
2020-02-01,608500
2020-02-03,0
2020-02-06,4209700
2020-02-11,3502200
2020-02-16,16109000
2020-02-21,15108000
2020-02-23,0
2020-02-26,70700
2020-02-28,0
2020-03-04,0
2020-03-07,15973300
2020-03-09,0
2020-03-12,5615000
2020-03-14,0
2020-03-22,3406400
2020-03-27,0
2020-03-29,0
2020-04-01,5400
2020-04-03,0
2020-04-08,0
2020-04-11,874900
2020-04-26,0
2020-05-01,16226600
2020-05-03,0
2020-05-06,16010000
2020-05-08,0
2020-05-11,282700
2020-05-13,0
2020-05-16,5288300
2020-05-18,0
2020-05-21,3928400
2020-05-23,0
2020-05-26,15729100
2020-05-28,0
2020-06-05,0
2020-06-07,0
2020-06-10,12932200
2020-06-12,0
2020-06-15,9233400
2020-06-17,0
2020-06-20,259500
2020-06-22,0
2020-06-25,14128300
2020-06-27,0
2020-06-30,5825500
2020-07-02,0
2020-07-05,3761400
2020-07-07,0
2020-07-10,13714100
2020-07-12,0
2020-07-15,13718200
2020-07-17,0
2020-07-20,13185900
2020-07-22,0
2020-07-25,13294600
2020-07-27,0
2020-07-30,12964300
2020-08-01,0
2020-08-04,7863300
2020-08-06,0
2020-08-09,12881200
2020-08-11,0
2020-08-14,12365700
2020-08-16,0
2020-08-19,12807500
2020-08-21,0
2020-08-24,12615800
2020-08-26,0
2020-08-29,12385200
2020-08-31,0
2020-09-03,12192300
2020-09-05,0
2020-09-08,65300
2020-09-10,0
2020-09-13,6373400
2020-09-15,0
2020-09-18,10166300
2020-09-20,0
2020-09-23,11176300
2020-09-25,0
2020-09-28,11348000
2020-10-03,11334600
2020-10-08,4096500
2020-10-10,0
2020-10-13,11152800
2020-10-15,0
2020-10-18,5352000
2020-10-23,0
2020-10-25,0
2020-10-28,10894600
2020-10-30,0
2020-11-02,11029000
2020-11-07,606800
2020-11-12,0
2020-11-17,10936200
2020-11-19,0
2020-11-22,11076600
2020-11-24,0
2020-12-02,6011400
2020-12-09,0
2020-12-17,7439900
2020-12-22,9834500
2020-12-24,0
2020-12-27,11524300
