date,value
2018-01-02,7534386.747069921
2018-01-04,7534386.747069921
2018-01-07,7534386.747069921
2018-01-12,8247705.152681233
2018-01-17,8277780.45348677
2018-01-19,8277780.45348677
2018-01-22,8248456.310703184
2018-01-24,8289074.019373751
2018-01-27,8090041.244862541
2018-02-01,8299622.225502536
2018-02-06,8166798.688645752
2018-02-08,4341564.443086273
2018-02-11,7870181.142474061
2018-02-13,7870181.142474061
2018-02-16,8076667.720605301
2018-02-18,8058855.044358008
2018-02-21,7827041.708732492
2018-02-26,7997417.481463816
2018-03-20,nan
2018-03-25,nan
2018-03-28,7751312.744258397
2018-04-02,8123527.631590023
2018-04-04,8123527.631590023
2018-04-07,8128743.376835988
2018-04-14,22214.317823218516
2018-04-17,8483870.284912957
2018-04-19,8483870.284912957
2018-04-22,8483870.284912957
2018-04-24,8483870.284912957
2018-04-27,8690396.80645823
2018-04-29,7734618.972216256
2018-05-02,7843112.544074219
2018-05-04,7843112.544074219
2018-05-07,8354741.637045094
2018-05-09,7426821.853575697
2018-05-12,7426821.853575697
2018-05-14,7373000.870572213
2018-05-19,nan
2018-05-22,679484.966911793
2018-05-29,679484.966911793
2018-06-01,679484.966911793
2018-06-03,nan
2018-06-06,nan
2018-06-08,nan
2018-06-11,nan
2018-06-13,nan
2018-06-16,5543782.72015457
2018-06-21,7563738.152153601
2018-06-23,7563738.152153601
2018-06-26,8035878.610686482
2018-06-28,8035878.610686482
2018-07-01,8035878.610686482
2018-07-03,4534689.513726014
2018-07-06,7364522.2506504
2018-07-08,6645767.411634026
2018-07-11,6649776.1747388365
2018-07-13,6892706.860925717
2018-07-16,3752133.3776040724
2018-07-18,3907624.5316264182
2018-07-21,3674703.5130514326
2018-07-23,7293370.418887901
2018-07-26,6989832.4946272755
2018-07-28,8451867.866265176
2018-07-31,7794953.733708005
2018-08-02,8620998.398028957
2018-08-05,7890699.15655487
2018-08-07,8038100.579587521
2018-08-10,8014416.775705823
2018-08-12,8522818.681895506
2018-08-15,8322250.057476396
2018-08-17,8684215.821991509
2018-08-20,8501423.254622582
2018-08-22,8683443.366854288
2018-08-25,8491499.590054147
2018-08-27,8745357.717137229
2018-08-30,8469384.864583103
2018-09-01,8696580.17924009
2018-09-04,8332065.842282062
2018-09-06,8457197.04168825
2018-09-09,8457197.04168825
2018-09-11,6171017.850790134
2018-09-16,nan
2018-09-19,nan
2018-09-21,nan
2018-09-24,8389576.201669453
2018-09-26,8389576.201669453
2018-09-29,8571065.194047112
2018-10-01,8571065.194047112
2018-10-04,8381996.774414609
2018-10-06,8537353.641471587
2018-10-09,8426009.24608955
2018-10-14,8590251.6316882
2018-10-16,4628573.6655411925
2018-10-19,7525093.143364186
2018-10-24,8654888.75670563
2018-10-29,8463289.76169832
2018-11-03,7902436.7625934705
2018-11-05,8218438.963767915
2018-11-10,6562549.970118084
2018-11-13,6618409.327792064
2018-11-15,14308.00028478046
2018-11-20,14308.00028478046
2018-11-23,14308.00028478046
2018-11-28,6764578.060840227
2018-11-30,6764578.060840227
2018-12-03,6764578.060840227
2018-12-05,6764578.060840227
2018-12-08,8094501.756538281
2018-12-10,8094501.756538281
2018-12-13,8431329.562155902
2018-12-15,8431329.562155902
2018-12-18,8431329.562155902
2018-12-20,8150370.83333717
2018-12-23,8152609.937668616
2018-12-28,8135452.006462394
2018-12-30,8135452.006462394
2019-01-02,8197462.177781321
2019-01-04,8197462.177781321
2019-01-07,8552668.130500272
2019-01-09,8552668.130500272
2019-01-12,8275522.743699125
2019-01-14,8531997.091533951
2019-01-17,8531997.091533951
2019-01-22,8352472.551460535
2019-01-24,8046991.791346537
2019-01-27,8046991.791346537
2019-01-29,8046991.791346537
2019-02-03,34.70601753233931
2019-02-06,7884833.906424399
2019-02-08,7884833.906424399
2019-02-11,8237192.840967436
2019-02-13,8237192.840967436
2019-02-16,8229688.504415845
2019-02-21,8164557.468757664
2019-02-26,8092271.333800125
2019-02-28,8117569.005950573
2019-03-03,8358524.190177531
2019-03-10,8329800.103461114
2019-03-13,8574133.458486475
2019-03-15,8531997.091533951
2019-03-18,8571065.194047112
2019-03-20,8571065.194047112
2019-03-23,8518995.927907903
2019-03-25,8834778.281732075
2019-03-28,8520524.91774055
2019-03-30,8952156.603382863
2019-04-02,8952156.603382863
2019-04-04,8631003.94317949
2019-04-12,1451823.5477865492
2019-04-14,1451823.5477865492
2019-04-19,1451823.5477865492
2019-04-22,8637934.551258825
2019-04-27,8933319.528404253
2019-04-29,8933319.528404253
2019-05-02,8691169.597441977
2019-05-07,8429049.203382947
2019-05-09,271824.9717496322
2019-05-12,7455234.091111094
2019-05-14,7678873.343654725
2019-05-19,7600334.944890457
2019-05-22,8289074.019373751
2019-05-24,7277921.745091708
2019-05-27,7855543.17859218
2019-05-29,7855543.17859218
2019-06-01,5980147.618881248
2019-06-06,408688.3837527274
2019-06-08,516432.171597754
2019-06-11,359567.14906407346
2019-06-16,3648123.5999582326
2019-06-18,4891586.83965792
2019-06-21,2113550.6789578735
2019-06-23,2113550.6789578735
2019-06-26,7446704.233631324
2019-06-28,7446704.233631324
2019-07-01,7705632.873563257
2019-07-03,8226687.809809282
2019-07-06,8226687.809809282
2019-07-08,7744778.070919457
2019-07-11,8249958.738197569
2019-07-13,8169040.24259806
2019-07-16,8623306.810588859
2019-07-18,8623306.810588859
2019-07-21,8378208.455860859
2019-07-23,8698126.395626942
2019-07-26,8698126.395626942
2019-07-28,8298114.89289307
2019-07-31,8352472.551460535
2019-08-02,504661.74086533574
2019-08-05,7345464.724524548
2019-08-07,7345464.724524548
2019-08-10,7343348.876874452
2019-08-12,8441214.987848803
2019-08-15,7673094.1458019335
2019-08-17,8451867.866265176
2019-08-20,8339620.72191499
2019-08-22,8429049.203382947
2019-08-25,7660099.589550212
2019-08-27,8409300.124903342
2019-08-30,8243198.98468455
2019-09-01,8319985.768676315
2019-09-04,8153356.380004084
2019-09-06,8627924.642614592
2019-09-09,8339620.72191499
2019-09-11,8607154.970523449
2019-09-14,8607154.970523449
2019-09-16,8326024.6157184765
2019-09-19,8331310.558826454
2019-09-24,8142909.564455625
2019-09-26,8142909.564455625
2019-09-29,7951690.917085861
2019-10-01,8243198.98468455
2019-10-04,8133960.94014458
2019-10-06,8474720.034425346
2019-10-09,7917856.750341525
2019-10-16,7497249.703174469
2019-10-21,nan
2019-10-24,7899501.472814229
2019-10-26,7899501.472814229
2019-10-29,8206448.664042819
2019-11-03,8206448.664042819
2019-11-05,8166051.578231866
2019-11-08,8236442.240161471
2019-11-15,7796410.725113421
2019-11-18,7835805.399757239
2019-11-23,1907.0176106481392
2019-11-28,1717764.5034121317
2019-11-30,1690647.4877341827
2019-12-03,8043286.471066347
2019-12-05,8043286.471066347
2019-12-08,7861396.588288532
2019-12-10,7942121.14501785
2019-12-15,7570189.439403845
2019-12-18,7570189.439403845
2019-12-23,nan
2019-12-25,nan
2019-12-28,7178635.372461468
2019-12-30,7178635.372461468
2020-01-02,nan
2020-01-04,nan
2020-01-07,7132740.203943229
2020-01-09,7132740.203943229
2020-01-12,7725916.936755124
2020-01-14,7725916.936755124
2020-01-19,7662264.518312035
2020-01-27,3052851.044627348
2020-01-29,3052851.044627348
2020-02-01,7931822.235132847
2020-02-03,7931822.235132847
2020-02-06,7931822.235132847
2020-02-11,7916387.476753903
2020-02-16,8087068.312177401
2020-02-21,8195964.949907893
2020-02-23,8195964.949907893
2020-02-26,8431329.562155902
2020-02-28,8576435.04819371
2020-03-04,8462528.041386634
2020-03-07,8462528.041386634
2020-03-09,nan
2020-03-12,nan
2020-03-14,nan
2020-03-22,nan
2020-03-27,nan
2020-03-29,nan
2020-04-01,7776753.81760337
2020-04-03,7776753.81760337
2020-04-08,7776753.81760337
2020-04-11,7776753.81760337
2020-04-26,0.4057244687115636
2020-05-01,8277027.846396524
2020-05-03,8277027.846396524
2020-05-06,8298114.89289307
2020-05-08,8298114.89289307
2020-05-11,8298114.89289307
2020-05-13,3589060.2403634316
