date,value
2018-01-03,276866015.5097406
2018-01-04,288831358.46991765
2018-01-05,288831358.46991765
2018-01-09,280962254.06219614
2018-01-10,288344394.23845285
2018-01-10,284863712.23161
2018-01-11,284863712.23161
2018-01-15,293899812.816785
2018-01-16,288400661.1449733
2018-01-17,288400661.1449733
2018-01-21,284758995.52544445
2018-01-22,290792040.1605439
2018-01-22,286746141.55451876
2018-01-22,290792040.1605439
2018-01-22,286746141.55451876
2018-01-23,286746141.55451876
2018-01-27,291170029.1050538
2018-01-28,285789728.7894131
2018-01-29,285789728.7894131
2018-02-02,282682197.76540786
2018-02-03,290455928.5350659
2018-02-03,284878324.9867469
2018-02-03,290455928.5350659
2018-02-03,284878324.9867469
2018-02-04,284878324.9867469
2018-02-08,287686614.8371746
2018-02-09,282383539.69326246
2018-02-10,282383539.69326246
2018-02-14,276800944.20278203
2018-02-15,282514643.6243052
2018-02-15,279108362.38962996
2018-02-15,282514643.6243052
2018-02-15,279108362.38962996
2018-02-16,279108362.38962996
2018-02-20,282213623.34732807
2018-02-21,278035843.2864649
2018-02-22,278035843.2864649
2018-02-26,274627901.36933917
2018-02-27,282080143.9421267
2018-02-27,278598485.5670129
2018-02-27,282080143.9421267
2018-02-27,278598485.5670129
2018-02-28,278598485.5670129
2018-03-04,292317368.04998094
2018-03-05,287752612.4471681
2018-03-06,287752612.4471681
2018-03-10,303804067.7781384
2018-03-11,313805382.45413655
2018-03-12,311441756.1387997
2018-03-16,329381780.05298865
2018-03-17,325524440.9584214
2018-03-18,325524440.9584214
2018-03-22,350387048.5133596
2018-03-23,383281150.2145213
2018-03-23,375811300.3685154
2018-03-23,383281150.2145213
2018-03-23,375811300.3685154
2018-03-24,375811300.3685154
2018-03-28,402147431.18506664
2018-03-29,400322297.76055074
2018-03-30,400322297.76055074
2018-04-03,415780128.84622157
2018-04-04,425551257.8017409
2018-04-04,420321024.30937517
2018-04-04,425551257.8017409
2018-04-04,420321024.30937517
2018-04-05,420321024.30937517
2018-04-09,428022566.71127844
2018-04-10,422941623.1178617
2018-04-11,422941623.1178617
2018-04-15,429810817.6451517
2018-04-16,442897196.1630866
2018-04-16,440031909.1109619
2018-04-16,442897196.1630866
2018-04-16,440031909.1109619
2018-04-17,440031909.1109619
2018-04-21,453981331.5104963
2018-04-22,449390557.62113637
2018-04-23,449390557.62113637
2018-04-27,453412325.3500983
2018-04-28,462120219.4765255
2018-04-28,456688403.90477306
2018-04-28,462120219.4765255
2018-04-28,456688403.90477306
2018-04-29,456688403.90477306
2018-05-03,466723054.515058
2018-05-04,461160979.6598799
2018-05-05,461160979.6598799
2018-05-09,462733934.3548477
2018-05-10,467835478.7385527
2018-05-10,464617659.5319473
2018-05-10,467835478.7385527
2018-05-10,464617659.5319473
2018-05-11,464617659.5319473
2018-05-15,473092403.2045993
2018-05-16,465739908.33467656
2018-05-17,465739908.33467656
2018-05-21,463193688.7758209
2018-05-22,470054458.88553596
2018-05-23,470054458.88553596
2018-05-27,464489465.7106707
2018-05-28,469922791.51252323
2018-05-29,469922791.51252323
2018-06-02,465594105.68050903
2018-06-03,470022272.2793834
2018-06-03,465468728.7790044
2018-06-03,470022272.2793834
