date,value
2018-01-03,15879114.814194161
2018-01-04,16689793.561809476
2018-01-05,16689793.561809476
2018-01-09,16267999.928725649
2018-01-10,17065249.675170038
2018-01-10,16890461.321437187
2018-01-11,16890461.321437187
2018-01-15,17960462.606589746
2018-01-16,17415398.947176177
2018-01-17,17415398.947176177
2018-01-21,17281944.34956756
2018-01-22,17830595.475022268
2018-01-22,17521865.90308849
2018-01-22,17830595.475022268
2018-01-22,17521865.90308849
2018-01-23,17521865.90308849
2018-01-27,18387153.651767693
2018-01-28,17602228.88519741
2018-01-29,17602228.88519741
2018-02-02,17779712.69549062
2018-02-03,18771549.354424674
2018-02-03,17910543.914320935
2018-02-03,18771549.354424674
2018-02-03,17910543.914320935
2018-02-04,17910543.914320935
2018-02-08,18287313.575295493
2018-02-09,17562023.06584794
2018-02-10,17562023.06584794
2018-02-14,17260323.511436094
2018-02-15,17837539.998823304
2018-02-15,17547101.86868705
2018-02-15,17837539.998823304
2018-02-15,17547101.86868705
2018-02-16,17547101.86868705
2018-02-20,18045376.693780493
2018-02-21,17555135.525373217
2018-02-22,17555135.525373217
2018-02-26,17134298.552303724
2018-02-27,17999985.261216722
2018-02-27,17605677.362516083
2018-02-27,17999985.261216722
2018-02-27,17605677.362516083
2018-02-28,17605677.362516083
2018-03-04,19264899.337786853
2018-03-05,19078499.508705575
2018-03-06,19078499.508705575
2018-03-10,24298041.407870773
2018-03-11,26148459.830646902
2018-03-12,25934916.28499412
2018-03-16,28225632.857622635
2018-03-17,27521961.82120492
2018-03-18,27521961.82120492
2018-03-22,29820520.619026426
2018-03-23,31824035.840396892
2018-03-23,30889459.20705427
2018-03-23,31824035.840396892
2018-03-23,30889459.20705427
2018-03-24,30889459.20705427
2018-03-28,32637755.68310298
2018-03-29,32212124.872892767
2018-03-30,32212124.872892767
2018-04-03,32251704.197132714
2018-04-04,33008600.928052686
2018-04-04,32361076.611867778
2018-04-04,33008600.928052686
2018-04-04,32361076.611867778
2018-04-05,32361076.611867778
2018-04-09,32683990.076755747
2018-04-10,32044594.252856772
2018-04-11,32044594.252856772
2018-04-15,32166245.08076394
2018-04-16,32691965.024982605
2018-04-16,32378530.905869067
2018-04-16,32691965.024982605
2018-04-16,32378530.905869067
2018-04-17,32378530.905869067
2018-04-21,33173954.37850436
2018-04-22,32426158.84409091
2018-04-23,32426158.84409091
2018-04-27,32481771.60382881
2018-04-28,33119323.33477627
2018-04-28,32372183.31353764
2018-04-28,33119323.33477627
2018-04-28,32372183.31353764
