date,value
2018-01-05,14564644.568089988
2018-01-05,16817582.790712018
2018-01-10,15098961.63297217
2018-01-10,16363789.010785423
2018-01-11,15081640.131095674
2018-01-17,15481463.693068331
2018-01-17,15116288.802566806
2018-01-22,14550357.170704398
2018-01-22,16133810.687738612
2018-01-23,15368167.952989955
2018-01-29,16312110.59938393
2018-01-29,15230500.61311652
2018-02-03,13689260.731148237
2018-02-03,16176492.793627968
2018-02-04,15072981.50642548
2018-02-10,15462564.59811928
2018-02-10,15148069.991214618
2018-02-15,14905860.562793808
2018-02-15,16203001.300492944
2018-02-16,15142290.177822025
2018-02-22,16176492.793627968
2018-02-22,15090300.17339446
2018-02-27,14709171.066252185
2018-02-27,16236891.283801418
2018-02-28,15308710.30665796
2018-03-06,17168475.46130258
2018-03-06,17879443.511251897
2018-03-11,23928933.289318174
2018-03-11,25586134.660259277
2018-03-12,25500598.574990768
2018-03-17,29897981.074782815
2018-03-18,29943599.422088917
2018-03-18,34665670.4363389
2018-03-23,42417561.99628611
2018-03-23,40562920.77739395
2018-03-24,43136396.18335006
2018-03-29,47328557.61729291
2018-03-30,45873292.37284486
2018-03-30,46673977.10780434
2018-04-04,48895563.20138746
2018-04-04,47044853.12474943
2018-04-05,47636786.13445468
2018-04-10,47813172.60265744
2018-04-11,46025971.28082566
2018-04-11,47544658.13370609
2018-04-16,50204315.43910377
2018-04-16,47420566.11092067
2018-04-17,48976313.75045293
2018-04-22,50517759.90903827
2018-04-23,48655555.14907096
2018-04-23,50122992.356667936
2018-04-28,51048211.74491538
2018-04-28,48976313.75045293
2018-04-29,51465516.386726886
2018-05-04,52148780.95575794
2018-05-05,48750308.00789557
2018-05-05,50711395.644291624
2018-05-10,48074083.28593454
2018-05-10,48031908.76548574
2018-05-11,49457563.87904685
2018-05-16,49789961.15040115
2018-05-17,47871340.664375015
2018-05-17,49317903.714097746
2018-05-22,49885338.294931956
2018-05-23,48701917.00205398
2018-05-28,49611522.70528677
2018-05-29,52407982.42481007
2018-05-29,50045770.25849179
2018-06-03,51970022.55085678
2018-06-03,50181947.84430465
2018-06-04,51943326.559365064
2018-06-09,52754153.65133351
2018-06-10,50450546.42170978
2018-06-10,51524917.68990141
2018-06-15,50257195.595330894
2018-06-15,48411858.99261123
2018-06-16,50395572.551503755
2018-06-22,43917374.0697132
2018-06-22,52027534.89052991
2018-06-27,47905448.556737415
2018-06-27,49777789.091420665
2018-06-28,47855292.2884916
2018-07-04,47843257.01350348
2018-07-04,46843359.60883235
2018-07-09,46725769.651201814
2018-07-09,48124304.806488544
2018-07-10,45782150.65193657
2018-07-16,46262213.83486457
2018-07-16,44256381.7679444
2018-07-21,37114034.83131181
2018-07-21,45833659.18731252
2018-07-22,43479534.133300915
2018-07-28,45106155.99328285
2018-07-28,43559580.91328474
2018-08-02,43760859.099491805
2018-08-02,44999682.46042644
2018-08-03,42603739.243307486
2018-08-09,43911501.88363539
2018-08-09,41968595.22670619
2018-08-14,39121749.95362698
2018-08-14,40083423.06613643
2018-08-15,37781793.43502888
2018-08-21,36012390.313224845
2018-08-21,34499276.59508652
2018-08-26,27194249.03920403
2018-08-26,34254673.220912665
2018-08-27,31360424.581478298
2018-09-02,30385009.50061043
2018-09-02,29083736.534337595
2018-09-07,29334663.67996156
2018-09-07,29987481.913335387
2018-09-08,28025915.88973665
2018-09-14,30828255.607117053
2018-09-14,28472956.06234065
2018-09-19,29455117.159809597
2018-09-19,29915524.24603511
2018-09-20,27869327.511895105
2018-09-26,28367487.125173565
2018-09-26,26057195.43547232
2018-10-01,27001508.536101528
2018-10-01,28087931.948186386
2018-10-02,25871843.70331293
2018-10-08,25937516.142819967
2018-10-08,25373284.71504849
2018-10-13,20993589.76100787
2018-10-13,26972546.026357204
2018-10-14,26160143.838414744
2018-10-20,28902894.202094685
2018-10-20,27993200.955014538
2018-10-25,28628769.551251028
2018-10-25,29425427.15172071
2018-10-26,28094825.033537153
2018-11-01,29331174.374193296
2018-11-01,28873364.037602276
2018-11-06,30966369.56473133
2018-11-06,31684535.991741087
2018-11-07,29992749.04344746
2018-11-13,31244901.074784268
2018-11-13,30017332.47103565
2018-11-18,29491804.83600333
2018-11-18,31623915.56556649
2018-11-19,30084087.855438497
2018-11-25,30474923.20263167
2018-11-25,29633436.32377079
2018-11-30,30020844.85803696
2018-11-30,31273326.35000758
2018-12-01,30305736.826047204
2018-12-06,33196271.133748055
2018-12-07,31773743.77741135
2018-12-07,32183227.39067045
2018-12-12,32986813.290813465
2018-12-12,31871954.88686418
2018-12-13,32217269.11042008
2018-12-19,31205828.358323906
2018-12-19,30718598.395389874
2018-12-24,31186297.22876045
2018-12-24,31936285.294743184
2018-12-25,30711527.563553143
2019-01-05,34236439.14807639
2019-01-06,30506675.52993401
2019-01-06,31397773.53069016
2019-01-11,30651444.237412054
2019-01-11,31117078.601047352
2019-01-12,27006620.487126738
2019-01-12,29563470.668049544
2019-01-17,28939384.520660184
2019-01-17,29976948.444446683
2019-01-18,28298387.78734547
2019-01-18,30948652.81188448
2019-01-23,32721923.576265533
