date,value
2018-01-07,0
2018-01-12,0
2018-01-17,0
2018-01-19,385700
2018-01-22,0
2018-01-24,5138700
2018-01-27,0
2018-01-29,226100
2018-02-08,9014600
2018-02-11,0
2018-02-13,9018900
2018-02-16,0
2018-02-18,0
2018-02-21,0
2018-02-26,0
2018-03-10,7204300
2018-03-13,0
2018-03-20,4019000
2018-03-28,0
2018-04-04,5246500
2018-04-14,12759200
2018-04-17,0
2018-04-19,12806900
2018-04-22,0
2018-04-24,12447300
2018-04-27,0
2018-04-29,8497900
2018-05-04,13370700
2018-05-07,0
2018-05-14,13462300
2018-05-19,6041100
2018-05-22,0
2018-05-24,7600
2018-06-01,0
2018-06-03,580100
2018-06-08,3356000
2018-06-13,13200600
2018-06-16,0
2018-06-21,0
2018-06-23,13648000
2018-06-26,0
2018-06-28,13391600
2018-07-01,0
2018-07-03,13491700
2018-07-06,0
2018-07-08,11674200
2018-07-11,0
2018-07-13,13223500
2018-07-16,0
2018-07-18,12324100
2018-07-21,0
2018-07-23,13058300
2018-07-26,0
2018-07-28,12700600
2018-07-31,0
2018-08-02,12734500
2018-08-05,0
2018-08-07,12844300
2018-08-10,0
2018-08-12,12715700
2018-08-15,0
2018-08-17,12741600
2018-08-20,0
2018-08-22,12397800
2018-08-25,0
2018-08-27,12620500
2018-08-30,0
2018-09-01,12531000
2018-09-04,0
2018-09-06,12081100
2018-09-11,12120700
2018-09-14,0
2018-09-16,11496600
2018-09-19,0
2018-09-21,11956500
2018-09-24,0
2018-09-26,4500
2018-09-29,0
2018-10-01,362800
2018-10-04,0
2018-10-06,11819800
2018-10-09,0
2018-10-14,0
2018-10-16,11524000
2018-10-21,7367300
2018-10-24,0
2018-10-29,0
2018-11-03,0
2018-11-13,0
2018-11-15,9846700
2018-11-28,0
2018-11-30,615400
2018-12-03,0
2018-12-05,12270000
2018-12-10,12360100
2018-12-15,10874500
2018-12-20,11430900
2018-12-23,0
2018-12-28,0
2018-12-30,12297800
2019-01-02,0
2019-01-04,11871900
2019-01-07,0
2019-01-09,12361900
2019-01-12,0
2019-01-14,12484500
2019-01-19,0
2019-01-27,0
2019-02-03,12606100
2019-02-06,0
2019-02-08,12992800
2019-02-13,12901900
2019-02-16,0
2019-02-18,0
2019-02-21,0
2019-02-23,1376100
2019-02-26,0
2019-02-28,13143100
2019-03-03,0
2019-03-10,13079600
2019-03-15,13164000
2019-03-18,0
2019-03-20,12426400
2019-03-23,0
2019-03-25,12769500
2019-03-28,0
2019-03-30,13164800
2019-04-04,13040600
2019-04-12,0
2019-04-14,12913300
2019-04-27,0
2019-04-29,0
2019-05-02,0
2019-05-04,13310100
2019-05-07,0
2019-05-12,0
2019-05-14,13510700
2019-05-19,8108600
2019-05-22,0
2019-05-24,0
2019-05-27,0
2019-05-29,12972400
2019-06-01,0
2019-06-03,0
2019-06-06,0
2019-06-08,0
2019-06-11,0
2019-06-13,1004600
2019-06-18,11786200
2019-06-21,0
2019-06-23,6219600
2019-06-26,0
2019-06-28,11031000
2019-07-01,0
2019-07-03,10332200
2019-07-08,10304100
2019-07-11,0
2019-07-13,10227600
2019-07-16,0
2019-07-18,9902600
2019-07-21,0
2019-07-23,9744600
2019-07-26,0
2019-07-28,9438100
2019-07-31,0
2019-08-02,8923000
2019-08-05,0
2019-08-07,0
2019-08-10,0
2019-08-12,8625000
2019-08-15,0
2019-08-17,8135400
2019-08-20,0
