date,value
2018-01-03,0
2018-01-03,0
2018-01-04,2505100
2018-01-04,2502900
2018-01-04,2349400
2018-01-04,2349100
2018-01-05,0
2018-01-05,0
2018-01-09,0
2018-01-09,0
2018-01-10,2397400
2018-01-10,2397400
2018-01-10,2397400
2018-01-10,2397400
2018-01-11,0
2018-01-11,0
2018-01-11,0
2018-01-11,0
2018-01-15,0
2018-01-15,0
2018-01-15,0
2018-01-15,0
2018-01-16,2294100
2018-01-16,2294100
2018-01-16,2483400
2018-01-16,2483200
2018-01-16,2294100
2018-01-16,2294100
2018-01-16,2483400
2018-01-16,2483200
2018-01-16,2294100
2018-01-16,2294100
2018-01-16,2483400
2018-01-16,2483200
2018-01-16,2294100
2018-01-16,2294100
2018-01-16,2483400
2018-01-16,2483200
2018-01-17,0
2018-01-17,0
2018-01-17,0
2018-01-17,0
2018-01-21,0
2018-01-21,0
2018-01-21,0
2018-01-21,0
2018-01-22,2383500
2018-01-22,2383500
2018-01-22,2383500
2018-01-22,2383500
2018-01-23,0
2018-01-23,0
2018-01-23,0
2018-01-23,0
2018-01-27,0
2018-01-27,0
2018-01-27,0
2018-01-27,0
2018-01-28,1912300
2018-01-28,1912300
2018-01-28,1893000
2018-01-28,1889200
2018-01-28,1912300
2018-01-28,1912300
2018-01-28,1893000
2018-01-28,1889200
2018-01-28,1912300
2018-01-28,1912300
2018-01-28,1893000
2018-01-28,1889200
2018-01-28,1912300
2018-01-28,1912300
2018-01-28,1893000
2018-01-28,1889200
2018-01-29,0
2018-01-29,0
2018-01-29,0
2018-01-29,0
2018-02-02,0
2018-02-02,0
2018-02-02,0
2018-02-02,0
2018-02-03,2276500
2018-02-03,2270400
2018-02-03,2276500
2018-02-03,2270400
2018-02-04,0
2018-02-04,0
2018-02-04,0
2018-02-04,0
2018-02-08,0
2018-02-08,0
2018-02-08,0
2018-02-08,0
2018-02-09,2688800
2018-02-09,2685400
2018-02-09,2138300
2018-02-09,2138000
2018-02-09,2688800
2018-02-09,2685400
2018-02-09,2138300
2018-02-09,2138000
2018-02-09,2688800
2018-02-09,2685400
2018-02-09,2138300
2018-02-09,2138000
2018-02-09,2688800
2018-02-09,2685400
2018-02-09,2138300
2018-02-09,2138000
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-14,0
2018-02-14,0
2018-02-14,0
2018-02-14,0
2018-02-15,2379800
2018-02-15,2379100
2018-02-15,2379800
2018-02-15,2379100
2018-02-16,0
2018-02-16,0
2018-02-16,0
2018-02-16,0
2018-02-20,0
2018-02-20,0
2018-02-20,0
2018-02-20,0
2018-02-21,2664100
2018-02-21,2662900
2018-02-21,2664100
2018-02-21,2662900
2018-02-22,0
2018-02-22,0
2018-02-22,0
2018-02-22,0
2018-02-26,0
2018-02-26,0
2018-02-26,0
2018-02-26,0
2018-02-27,2410300
2018-02-27,2410300
2018-02-27,2410300
2018-02-27,2410300
2018-02-28,0
2018-02-28,0
2018-02-28,0
2018-02-28,0
2018-03-04,0
2018-03-04,0
2018-03-04,0
2018-03-04,0
2018-03-05,3035000
2018-03-05,3035000
2018-03-05,3409500
2018-03-05,3404700
2018-03-05,3035000
2018-03-05,3035000
2018-03-05,3409500
2018-03-05,3404700
2018-03-05,3035000
2018-03-05,3035000
2018-03-05,3409500
2018-03-05,3404700
2018-03-05,3035000
2018-03-05,3035000
2018-03-05,3409500
2018-03-05,3404700
2018-03-06,0
2018-03-06,0
2018-03-06,0
2018-03-06,0
2018-03-10,0
2018-03-10,0
2018-03-10,0
2018-03-10,0
2018-03-11,3347500
2018-03-11,3347500
2018-03-11,3347500
2018-03-11,3347500
2018-03-12,0
2018-03-12,0
2018-03-12,0
2018-03-12,0
2018-03-16,0
2018-03-16,0
2018-03-16,0
2018-03-16,0
2018-03-17,4056900
2018-03-17,4056900
2018-03-17,3804300
2018-03-17,3804300
2018-03-17,4056900
2018-03-17,4056900
2018-03-17,3804300
2018-03-17,3804300
2018-03-17,4056900
2018-03-17,4056900
2018-03-17,3804300
2018-03-17,3804300
2018-03-17,4056900
2018-03-17,4056900
2018-03-17,3804300
2018-03-17,3804300
2018-03-18,0
2018-03-18,0
2018-03-18,0
2018-03-18,0
2018-03-22,0
2018-03-22,0
2018-03-22,0
2018-03-22,0
2018-03-23,4078300
2018-03-23,4078300
2018-03-23,4078300
2018-03-23,4078300
2018-03-24,0
2018-03-24,0
2018-03-24,0
2018-03-24,0
2018-03-28,0
2018-03-28,0
2018-03-28,0
2018-03-28,0
2018-03-29,4070200
2018-03-29,4070100
2018-03-29,4070200
2018-03-29,4070100
2018-03-30,0
2018-03-30,0
2018-03-30,0
