date,value
2018-01-02,13446247.157815835
2018-01-12,34135255.86384272
2018-01-17,34179998.794189095
2018-01-19,34179998.794189095
2018-01-22,29687085.441830963
2018-01-24,29731743.50442773
2018-01-27,29496181.39581796
2018-01-29,30751888.45733299
2018-02-06,30800642.997181367
2018-02-08,5567208.375741714
2018-02-11,29481923.35458896
2018-02-13,29481923.35458896
2018-02-16,29364375.099930696
2018-02-18,29612106.1878636
2018-02-21,27080389.364195656
2018-02-26,27636017.07112781
2018-03-20,nan
2018-03-28,65579646.326215126
2018-04-02,67461301.62547797
2018-04-04,67461301.62547797
2018-04-14,nan
2018-04-17,65957864.67549072
2018-04-19,65957864.67549072
2018-04-24,65957864.67549072
2018-04-27,66830746.96132087
2018-04-29,18285715.755482666
2018-05-02,47870543.09060698
2018-05-04,47870543.09060698
2018-05-07,67730123.14969526
2018-05-12,68873369.12894884
2018-05-14,68623937.82866739
2018-05-19,91887.3074681742
2018-05-22,64066674.42344993
2018-05-24,64066674.42344993
2018-06-01,64066674.42344993
2018-06-03,nan
2018-06-13,nan
2018-06-16,18929626.381545108
2018-06-21,48052567.7575794
2018-06-23,48052567.7575794
2018-06-26,52941642.50847992
2018-06-28,52941642.50847992
2018-07-01,50295232.97546175
2018-07-03,31456592.583008002
2018-07-06,38192417.62560893
2018-07-08,23120802.196688708
2018-07-11,51487420.99233177
2018-07-13,52775427.503257446
2018-07-16,40601390.58201656
2018-07-18,52980022.53776971
2018-07-21,44178074.4563623
2018-07-23,44770283.99064416
2018-07-26,43305329.06519236
2018-07-28,50209205.81618653
2018-07-31,47451453.17430756
2018-08-02,51312060.32844565
2018-08-05,45527671.862674646
2018-08-07,48013249.074901484
2018-08-10,41799853.93063058
2018-08-12,41944702.86279326
2018-08-15,39833121.693413146
2018-08-17,45550066.686773606
2018-08-20,44956731.1563406
2018-08-22,47239243.491239324
2018-08-25,43889922.157488726
2018-08-27,46869091.732495725
2018-08-30,43034942.47513431
2018-09-01,43313348.42601994
2018-09-04,43108996.836285286
2018-09-06,43113000.885201246
2018-09-09,43155050.27274857
2018-09-11,12300087.233321479
2018-09-14,12300087.233321479
2018-09-16,870410.1666122616
2018-09-19,46661786.380357675
2018-09-21,46637174.7496918
2018-09-24,47041718.26465069
2018-09-26,47041718.26465069
2018-09-29,44367803.450855486
2018-10-01,44766233.42703716
2018-10-04,43361474.13748874
2018-10-06,46023178.3843457
2018-10-09,43084974.934223674
2018-10-14,45755849.42041479
2018-10-19,42581463.51550327
2018-10-24,28344632.271898817
2018-10-29,27618546.878559716
2018-11-03,40908377.514729574
2018-11-05,40892617.378832124
2018-11-13,51025118.74718291
2018-11-23,51495876.7344596
2018-11-28,2983631.8487641285
2018-11-30,2983631.8487641285
2018-12-03,2983631.8487641285
2018-12-05,164656.88472940453
2018-12-08,164656.88472940453
2018-12-10,nan
2018-12-13,6839047.45934568
2018-12-15,6839047.45934568
2018-12-20,6839047.45934568
2018-12-23,44410223.7236297
2018-12-28,51857756.94540359
2018-12-30,51857756.94540359
2019-01-02,nan
2019-01-04,nan
2019-01-07,48131234.67991916
2019-01-09,48131234.67991916
2019-01-12,53449799.10416257
2019-01-14,53449799.10416257
2019-01-22,53031209.15544401
2019-01-27,50658721.66707135
2019-01-29,50658721.66707135
2019-02-01,54311480.45182226
2019-02-03,54311480.45182226
2019-02-06,51252943.852511175
2019-02-08,53683021.93419168
2019-02-11,53811534.07355994
2019-02-13,51103134.94070532
2019-02-21,34362885.1958343
2019-02-26,51908609.20904717
2019-02-28,51908609.20904717
2019-03-03,48241020.10861755
2019-03-10,49309692.84451685
2019-03-13,49966056.35251155
2019-03-15,47951187.01352255
2019-03-18,52371215.31305876
2019-03-20,52371215.31305876
2019-03-23,51760332.77698053
2019-03-25,52349967.36155514
2019-03-28,51400774.15474666
2019-03-30,7443933.86513797
2019-04-04,184666.36994200805
2019-04-12,46325771.86815034
2019-04-14,46325771.86815034
2019-04-19,46325771.86815034
2019-04-22,47342221.52631174
2019-04-27,49984908.46090636
2019-04-29,49984908.46090636
2019-05-02,41397862.576088786
2019-05-07,39614443.30323169
2019-05-12,3432578.4289480927
2019-05-14,40393201.36437404
2019-05-19,3606407.6528349645
2019-05-22,45171844.613057256
