date,value
2018-01-02,nan
2018-01-04,nan
2018-01-12,nan
2018-01-17,nan
2018-01-19,nan
2018-01-22,nan
2018-01-24,29.001486161237967
2018-01-27,nan
2018-01-29,25029664.228390925
2018-02-08,5305432.165153916
2018-02-11,nan
2018-02-13,24250321.929114442
2018-02-16,nan
2018-02-18,16724103.540351968
2018-02-21,nan
2018-02-26,nan
2018-03-28,nan
2018-04-02,nan
2018-04-04,nan
2018-04-14,88671196.15619965
2018-04-17,nan
2018-04-19,68517803.29982531
2018-04-22,nan
2018-04-24,19999.351996104368
2018-04-27,nan
2018-04-29,6803.068617289819
2018-05-02,nan
2018-05-04,952170.6344190161
2018-05-07,nan
2018-06-01,nan
2018-06-03,77608.30457053642
2018-06-08,nan
2018-06-13,97963908.6372826
2018-06-16,nan
2018-06-21,nan
2018-06-23,92742395.44901705
2018-06-26,nan
2018-06-28,77448537.06914806
2018-07-01,nan
2018-07-03,36423661.865619965
2018-07-06,nan
2018-07-08,94202723.88810688
2018-07-11,nan
2018-07-13,90492453.70368119
2018-07-16,nan
2018-07-18,93082738.6575668
2018-07-21,nan
2018-07-23,91092490.57987122
2018-07-26,nan
2018-07-28,89117807.27913469
2018-07-31,nan
2018-08-02,90469980.1591231
2018-08-05,nan
2018-08-07,86956854.39032176
2018-08-10,nan
2018-08-12,90432528.72656453
2018-08-15,nan
2018-08-17,84386146.66502547
2018-08-20,nan
2018-08-22,80458061.76015313
2018-08-25,nan
2018-08-27,82878893.26223722
2018-08-30,nan
2018-09-01,81148456.63925353
2018-09-04,nan
2018-09-06,79886747.321518
2018-09-09,nan
2018-09-11,367475.45205498463
2018-09-16,67542288.54743043
2018-09-19,nan
2018-09-21,71401109.78369443
2018-09-24,nan
2018-09-26,20149791.838732325
2018-09-29,nan
2018-10-01,68210862.60963039
2018-10-04,nan
2018-10-06,65069124.67444517
2018-10-09,nan
2018-10-16,13829209.615318557
2018-10-19,nan
2018-10-24,nan
2018-10-29,nan
