date,value
2018-01-02,0
2018-01-04,94700
2018-01-12,0
2018-01-17,0
2018-01-19,0
2018-01-22,0
2018-01-24,4593600
2018-01-27,0
2018-01-29,10400
2018-02-08,10119800
2018-02-11,0
2018-02-13,11085500
2018-02-16,0
2018-02-18,11123300
2018-02-21,0
2018-02-26,0
2018-03-28,0
2018-04-02,0
2018-04-04,0
2018-04-14,13566000
2018-04-17,0
2018-04-19,15840200
2018-04-22,0
2018-04-24,14839600
2018-04-27,0
2018-04-29,2188100
2018-05-02,0
2018-05-04,2109700
2018-05-07,0
2018-06-01,0
2018-06-03,17321400
2018-06-08,3987800
2018-06-13,17162400
2018-06-16,0
2018-06-21,0
2018-06-23,17072600
2018-06-26,0
2018-06-28,14522800
2018-07-01,0
2018-07-03,16999000
2018-07-06,0
2018-07-08,17298000
2018-07-11,0
2018-07-13,16743800
2018-07-16,0
2018-07-18,16540000
2018-07-21,0
2018-07-23,16432000
2018-07-26,0
2018-07-28,16263000
2018-07-31,0
2018-08-02,16532200
2018-08-05,0
2018-08-07,16372300
2018-08-10,0
2018-08-12,16422200
2018-08-15,0
2018-08-17,15948400
2018-08-20,0
2018-08-22,15636600
2018-08-25,0
2018-08-27,15827200
2018-08-30,0
2018-09-01,15744100
2018-09-04,0
2018-09-06,15623100
2018-09-09,0
2018-09-11,12953400
2018-09-16,13242100
2018-09-19,0
2018-09-21,15135600
2018-09-24,0
2018-09-26,9026200
2018-09-29,0
2018-10-01,15155800
2018-10-04,0
2018-10-06,15083500
2018-10-09,0
2018-10-16,1532900
2018-10-19,0
2018-10-24,0
2018-10-29,0
2018-11-03,0
2018-11-05,0
2018-11-13,0
2018-11-15,13314300
2018-11-28,0
2018-11-30,5439400
2018-12-03,0
2018-12-05,16450000
2018-12-08,0
2018-12-10,15833700
2018-12-13,0
2018-12-15,15974000
2018-12-20,8464700
2018-12-23,0
2018-12-28,0
2018-12-30,16315300
2019-01-02,0
2019-01-04,8990000
2019-01-07,0
2019-01-09,16626700
2019-01-12,0
2019-01-14,16453200
2019-01-17,0
2019-01-22,0
2019-01-27,0
2019-01-29,0
2019-02-01,0
2019-02-03,17272400
2019-02-06,0
2019-02-08,17352100
2019-02-13,17568300
2019-02-21,0
2019-02-26,0
2019-02-28,5475500
2019-03-03,0
2019-03-08,0
2019-03-10,17049200
2019-03-13,0
2019-03-15,17490900
2019-03-18,0
2019-03-20,13373000
2019-03-23,0
2019-03-25,17277100
2019-03-28,0
2019-03-30,17340400
2019-04-04,0
2019-04-09,2636200
2019-04-12,0
2019-04-14,17247500
2019-04-19,0
2019-04-22,0
2019-04-27,0
2019-04-29,62300
2019-05-02,0
2019-05-04,3595000
2019-05-07,0
2019-05-12,0
2019-05-14,17405100
2019-05-19,17223600
2019-05-22,0
2019-05-24,6638300
2019-05-27,0
2019-05-29,16889000
2019-06-01,0
2019-06-03,0
2019-06-06,0
2019-06-08,525800
2019-06-11,0
2019-06-13,16037500
2019-06-18,15983000
2019-06-21,0
2019-06-23,15599700
2019-06-26,0
2019-06-28,15205800
2019-07-01,0
2019-07-03,15266100
2019-07-08,14676100
2019-07-11,0
2019-07-13,1639000
2019-07-16,0
2019-07-18,14292000
2019-07-21,0
2019-07-23,163100
2019-07-26,0
2019-07-28,13419100
2019-07-31,0
2019-08-02,13275600
2019-08-05,0
2019-08-07,2421100
2019-08-10,0
2019-08-12,987000
2019-08-15,0
2019-08-17,12428900
2019-08-20,0
2019-08-22,11003200
2019-08-25,0
2019-08-27,11861600
2019-08-30,0
2019-09-01,11530500
2019-09-04,0
2019-09-06,11467600
2019-09-09,0
2019-09-11,2656800
2019-09-16,11488300
2019-09-19,0
2019-09-24,0
2019-09-26,11182500
2019-09-29,0
2019-10-01,11064200
2019-10-04,0
2019-10-06,11559500
2019-10-09,0
2019-10-11,0
2019-10-16,11362900
2019-10-21,11521200
2019-10-24,0
2019-10-26,11127800
2019-10-29,0
2019-11-08,0
2019-11-18,0
2019-11-23,0
2019-11-30,12421100
2019-12-03,0
2019-12-05,12096400
2019-12-08,0
2019-12-10,11778400
2019-12-15,11435300
2019-12-23,0
2019-12-25,31100
2019-12-28,0
2019-12-30,0
2020-01-02,0
2020-01-04,13171400
2020-01-07,0
2020-01-09,13220100
2020-01-12,0
2020-01-14,6583500
2020-01-24,9510100
2020-01-27,0
2020-01-29,0
2020-02-03,13938600
2020-02-06,0
2020-02-11,0
2020-02-16,0
2020-02-18,13470000
2020-02-21,0
2020-02-23,13813600
2020-02-26,0
2020-02-28,9646500
2020-03-02,0
2020-03-04,9543200
2020-03-07,0
2020-03-12,0
2020-03-14,13794000
2020-03-17,0
2020-03-24,502100
2020-03-27,0
2020-03-29,9179900
2020-04-01,0
2020-04-03,5302700
2020-04-08,4155400
2020-04-11,0
2020-04-16,0
2020-04-23,0
2020-05-01,0
2020-05-03,14611000
2020-05-06,0
2020-05-08,14732400
2020-05-18,14025900
2020-05-21,0
2020-05-23,846900
2020-05-26,0
2020-05-28,14254600
2020-05-31,0
2020-06-07,1376700
2020-06-10,0
2020-06-12,0
2020-06-15,0
2020-06-17,13851600
2020-06-20,0
2020-06-22,13875500
2020-06-25,0
2020-06-27,12824000
2020-06-30,0
2020-07-02,13582700
2020-07-05,0
2020-07-07,13450900
2020-07-10,0
2020-07-12,0
2020-07-15,0
2020-07-17,12880200
2020-07-20,0
2020-07-22,12724300
2020-07-25,0
2020-07-27,12552900
2020-07-30,0
2020-08-01,12058400
2020-08-04,0
2020-08-06,11959000
2020-08-09,0
2020-08-11,7045700
2020-08-14,0
2020-08-16,11260800
2020-08-19,0
2020-08-21,11302600
2020-08-24,0
2020-08-26,9203700
2020-08-29,0
2020-08-31,10944600
2020-09-03,0
2020-09-05,10348200
2020-09-08,0
2020-09-10,10392300
2020-09-15,10039500
2020-09-18,0
2020-09-20,9376400
2020-09-23,0
2020-09-25,10047400
2020-09-28,0
2020-10-03,0
2020-10-08,0
2020-10-10,0
2020-10-13,0
2020-10-15,10025100
2020-10-18,0
2020-10-23,0
2020-10-25,6288800
2020-10-28,0
2020-10-30,9907500
2020-11-02,0
2020-11-12,0
2020-11-17,0
2020-11-19,10054500
2020-11-22,0
2020-11-24,0
2020-12-02,0
2020-12-09,2938500
2020-12-22,0
2020-12-24,10521000
2020-12-27,0
2020-12-29,104500
