date,value
2018-01-04,817900
2018-01-04,1019000
2018-01-05,890400
2018-01-11,890400
2018-01-11,983200
2018-01-16,1148700
2018-01-16,1044000
2018-01-17,1066400
2018-01-23,1064200
2018-01-23,1064200
2018-01-28,1094500
2018-01-28,1019300
2018-01-28,1094500
2018-01-28,1019300
2018-01-29,1044200
2018-02-04,1041500
2018-02-04,1041500
2018-02-04,1041500
2018-02-04,1041500
2018-02-09,1132500
2018-02-09,1025500
2018-02-09,1132500
2018-02-09,1025500
2018-02-10,1042100
2018-02-16,1015300
2018-02-16,1039600
2018-02-16,1015300
2018-02-16,1039600
2018-02-21,1067600
2018-02-21,1024400
2018-02-21,1067600
2018-02-21,1024400
2018-02-22,1039800
2018-02-28,1049800
2018-02-28,1049800
2018-02-28,1049800
2018-02-28,1049800
2018-03-05,1502300
2018-03-05,1315400
2018-03-05,1502300
2018-03-05,1315400
2018-03-06,1397500
2018-03-12,1391000
2018-03-12,1518900
2018-03-12,1391000
2018-03-12,1518900
2018-03-17,1892500
2018-03-17,1826900
2018-03-17,1892500
2018-03-17,1826900
2018-03-18,1906000
2018-03-23,2004600
2018-03-24,2004600
2018-03-24,1997700
2018-03-24,2004600
2018-03-24,1997700
2018-03-29,2100500
2018-03-30,2123700
2018-04-04,2055600
2018-04-05,2104400
2018-04-10,2081500
2018-04-10,2106800
2018-04-10,2081500
2018-04-10,2106800
2018-04-11,2093300
2018-04-16,2161700
2018-04-17,2161700
2018-04-17,2138700
2018-04-17,2161700
2018-04-17,2138700
2018-04-22,2140300
2018-04-22,2146100
2018-04-22,2140300
2018-04-22,2146100
2018-04-23,2112500
2018-04-28,2111000
2018-04-29,2101600
2018-04-29,2101600
2018-04-29,2101600
2018-04-29,2101600
2018-05-04,2131900
2018-05-04,2155500
2018-05-04,2131900
2018-05-04,2155500
2018-05-05,2141400
2018-05-11,2146900
2018-05-11,2165500
2018-05-11,2146900
2018-05-11,2165500
2018-05-16,2170800
2018-05-16,2143700
2018-05-16,2170800
2018-05-16,2143700
2018-05-17,2178400
2018-05-22,2187200
2018-05-23,2187200
2018-05-23,2174800
2018-05-23,2187200
2018-05-23,2174800
2018-05-28,2182200
2018-05-28,2193700
2018-05-28,2182200
2018-05-28,2193700
2018-05-29,2174000
2018-06-03,2179500
2018-06-04,2179500
2018-06-04,2164900
2018-06-04,2179500
2018-06-04,2164900
2018-06-09,2159100
2018-06-09,2188400
2018-06-09,2159100
2018-06-09,2188400
2018-06-10,2176500
2018-06-15,2191700
2018-06-16,2175900
2018-06-16,2175900
2018-06-16,2175900
2018-06-16,2175900
2018-06-21,2124400
2018-06-21,2164900
2018-06-21,2124400
2018-06-21,2164900
2018-06-22,2129500
2018-06-22,2168700
2018-06-22,2129500
2018-06-22,2168700
2018-06-27,2149900
2018-06-27,2115600
2018-06-27,2149900
2018-06-27,2115600
2018-06-28,2129500
2018-06-28,2130200
2018-06-28,2130200
2018-06-28,2129500
2018-06-28,2130200
2018-06-28,2130200
2018-06-28,2129500
2018-06-28,2130200
2018-06-28,2130200
2018-07-03,2077300
2018-07-03,2109800
2018-07-03,2077300
2018-07-03,2109800
2018-07-04,2059700
2018-07-04,2095600
2018-07-04,2059700
2018-07-04,2095600
2018-07-09,2079100
2018-07-09,2039100
2018-07-09,2079100
2018-07-09,2039100
2018-07-10,2059700
2018-07-10,2039100
2018-07-10,2063000
2018-07-10,2059700
