date,value
2018-01-02,3907300
2018-01-12,4622700
2018-01-17,9778100
2018-01-19,9690600
2018-01-22,1200
2018-01-24,9446000
2018-01-27,9501700
2018-01-29,10025400
2018-02-08,9968900
2018-02-11,832000
2018-02-13,9717200
2018-02-16,9695900
2018-02-18,4500
2018-02-21,9639100
2018-02-26,0
2018-03-15,974800
2018-03-20,569900
2018-03-28,13401200
2018-04-02,11638900
2018-04-04,0
2018-04-14,2706100
2018-04-17,13792500
2018-04-19,13661900
2018-04-22,0
2018-04-24,0
2018-04-27,10443300
2018-04-29,7493500
2018-05-02,55500
2018-05-04,9151400
2018-05-07,2295200
2018-05-12,500500
2018-05-14,13632500
2018-05-19,4349000
2018-05-22,10852600
2018-05-24,3476400
2018-06-03,7329800
2018-06-13,13261900
2018-06-16,2803100
2018-06-21,5031300
2018-06-23,13485100
2018-06-26,8447500
2018-06-28,2551400
2018-07-01,11500
2018-07-03,12904300
2018-07-06,8574100
2018-07-08,12440900
2018-07-11,6195700
2018-07-13,12401200
2018-07-16,8940700
2018-07-18,12452100
2018-07-21,10262400
2018-07-23,12432500
2018-07-26,10844200
2018-07-28,12444500
2018-07-31,12243300
2018-08-02,12449200
2018-08-05,12454300
2018-08-07,12304600
2018-08-10,12340700
2018-08-12,12379300
2018-08-15,933600
2018-08-17,11770700
2018-08-20,9816600
2018-08-22,11875500
2018-08-25,4470900
2018-08-27,4368400
2018-08-30,12182600
2018-09-01,12054500
2018-09-04,12050000
2018-09-09,8234900
2018-09-11,6965600
2018-09-14,772300
2018-09-16,10676900
2018-09-19,10958300
2018-09-21,11318900
2018-09-24,11602400
2018-09-26,6317900
2018-09-29,10530700
2018-10-01,6305300
2018-10-04,11278000
2018-10-06,11410400
2018-10-09,2010500
2018-10-14,94400
2018-10-16,1700
2018-10-19,0
2018-10-21,0
2018-10-24,11325700
2018-10-29,10592100
2018-11-03,8581600
2018-11-13,11654000
2018-11-15,0
2018-11-28,5158700
2018-11-30,7231900
2018-12-03,10759200
2018-12-05,11568400
2018-12-08,90300
2018-12-10,12019200
2018-12-13,106700
2018-12-15,11532300
2018-12-20,212100
2018-12-23,4672800
2018-12-28,0
2018-12-30,11394700
2019-01-02,3127900
2019-01-04,5551200
2019-01-07,11154200
2019-01-09,11570200
2019-01-12,11156200
2019-01-14,11338700
2019-01-27,9797500
2019-01-29,122000
2019-02-01,1043200
2019-02-03,11479000
2019-02-06,11373700
2019-02-08,11509700
2019-02-11,9149000
