date,value
2018-01-04,88150278.58546269
2018-01-04,87525491.23978207
2018-01-04,105671275.98491299
2018-01-04,104858156.0487379
2018-01-05,107578529.97252499
2018-01-05,106534574.21372473
2018-01-05,nan
2018-01-05,nan
2018-01-10,92491541.16230932
2018-01-10,92354318.26611753
2018-01-11,108458408.13854113
2018-01-11,108221709.17492552
2018-01-11,nan
2018-01-11,nan
2018-01-11,107429179.50687145
2018-01-11,107257434.33295526
2018-01-11,108458408.13854113
2018-01-11,108221709.17492552
2018-01-11,nan
2018-01-11,nan
2018-01-11,107429179.50687145
2018-01-11,107257434.33295526
2018-01-11,108458408.13854113
2018-01-11,108221709.17492552
2018-01-11,nan
2018-01-11,nan
2018-01-11,107429179.50687145
2018-01-11,107257434.33295526
2018-01-11,108458408.13854113
2018-01-11,108221709.17492552
2018-01-11,nan
2018-01-11,nan
2018-01-11,107429179.50687145
2018-01-11,107257434.33295526
2018-01-11,108458408.13854113
2018-01-11,108221709.17492552
2018-01-11,nan
2018-01-11,nan
2018-01-11,107429179.50687145
2018-01-11,107257434.33295526
2018-01-11,108458408.13854113
2018-01-11,108221709.17492552
2018-01-11,nan
2018-01-11,nan
2018-01-11,107429179.50687145
2018-01-11,107257434.33295526
2018-01-17,102228088.2516479
2018-01-17,101955148.49780245
2018-01-17,102228088.2516479
2018-01-17,101955148.49780245
2018-01-22,79720278.9818134
2018-01-22,79676806.21462822
2018-01-22,97945682.82918485
2018-01-22,97504294.91392161
2018-01-22,79720278.9818134
2018-01-22,79676806.21462822
2018-01-22,97945682.82918485
2018-01-22,97504294.91392161
2018-01-22,79720278.9818134
2018-01-22,79676806.21462822
2018-01-22,97945682.82918485
2018-01-22,97504294.91392161
2018-01-22,79720278.9818134
2018-01-22,79676806.21462822
2018-01-22,97945682.82918485
2018-01-22,97504294.91392161
2018-01-23,108476127.44559163
2018-01-23,107907994.86658077
2018-01-23,108476127.44559163
2018-01-23,107907994.86658077
2018-01-29,nan
2018-01-29,nan
2018-01-29,nan
2018-01-29,nan
2018-02-03,77471958.36259015
2018-02-03,76536811.2357541
2018-02-03,105604231.70468636
2018-02-03,105014235.19324076
2018-02-03,77471958.36259015
2018-02-03,76536811.2357541
2018-02-03,105604231.70468636
2018-02-03,105014235.19324076
2018-02-03,77471958.36259015
2018-02-03,76536811.2357541
2018-02-03,105604231.70468636
2018-02-03,105014235.19324076
2018-02-03,77471958.36259015
2018-02-03,76536811.2357541
2018-02-03,105604231.70468636
2018-02-03,105014235.19324076
2018-02-04,110478314.29693161
