date,value
2019-01-01,26533532.389139302
2019-01-03,24012107.52097992
2019-01-16,21044580.92417972
2019-02-05,19903817.22986153
2019-02-12,19001371.314048853
2019-02-15,18783282.31605014
2019-02-20,17372662.094529547
2019-02-22,16771182.238831673
2019-02-25,18045570.71998128
2019-02-27,17716041.34889186
2019-03-22,17277824.38954741
2019-03-24,16895098.521452107
2019-03-27,17611503.773255724
2019-04-13,17885954.581664637
2019-05-06,27839893.6831917
2019-05-13,26267556.6762909
2019-05-23,28889649.612237155
2019-05-31,28736017.531492136
2019-06-02,28852836.60713327
2019-06-17,29321880.555350803
2019-06-22,33574844.69878946
2019-06-27,30615188.03114817
2019-06-30,32561117.35002578
2019-07-05,33083616.88383994
2019-07-10,32604162.555249743
2019-07-12,33126918.717316035
2019-07-15,33405465.7648778
2019-07-22,31072422.734520204
2019-07-25,32785638.422578003
2019-08-04,31776475.97592422
2019-08-14,34041133.00960396
2019-08-16,31895514.12201393
2019-08-21,32656298.324914616
2019-08-24,32470565.32077296
2019-08-29,30517854.7036651
2019-08-31,32384628.17398214
2019-09-03,31119176.145276632
2019-09-13,30887892.575794034
2019-09-15,30690479.417909626
2019-10-08,26731040.23739758
2019-10-25,26372152.048561197
2019-10-30,25067698.01643558
2019-12-29,32296518.01361152
2020-01-11,30781363.819765855
2020-01-18,28193206.80953169
2020-02-05,28697117.192155994
2020-02-15,26948086.0203339
2020-02-20,26390995.701347943
2020-02-22,26140160.70829634
2020-03-08,28803058.690924525
2020-03-11,29334949.855952527
2020-03-13,29848539.494225454
2020-03-18,30008757.131742857
2020-03-28,32154375.72915671
2020-03-31,29302280.68380765
2020-04-05,29719282.77885865
2020-04-07,30883451.133180376
2020-04-10,30385314.113886055
2020-04-25,30568719.04644794
2020-05-07,30226550.032791715
2020-05-22,35143888.68160007
2020-05-27,35819807.070015945
2020-06-14,35540905.305586
2020-06-19,36014816.89545399
2020-06-21,34825153.75993466
2020-06-26,36113647.20092196
2020-07-01,34862322.31480239
2020-07-04,35751764.37878579
2020-07-09,37773260.57509852
2020-07-19,36493432.98406901
2020-07-21,34850705.55046547
2020-07-24,35791645.61236258
2020-07-26,36462711.99128625
2020-07-31,35337518.07678631
2020-08-05,36217292.1822841
2020-08-08,37355152.43311588
2020-08-10,36349364.379364915
2020-08-25,35372553.72820815
2020-09-02,34760144.4338047
2020-09-04,34699819.2682568
2020-09-14,35833890.9012743
2020-09-17,35290824.05219566
2020-11-11,18591849.02179556
2020-11-18,17690786.9845221
2020-11-21,17573710.971462514
2020-11-23,17208162.074587774
2021-03-23,30861247.49904237
2021-03-28,31351103.606520392
2021-04-02,30841269.328943297
2021-04-05,32615493.771141753
2021-04-15,29839769.706640333
2021-05-20,27603147.929783754
2021-05-27,28688475.345677733
2021-06-14,31942726.15713473
2021-06-16,30903439.50366385
2021-06-26,30666112.88058638
2021-07-09,33371171.214948393
2021-07-19,31161499.472434193
2021-07-29,33193051.770899802
2021-08-10,33756021.07786585
2021-08-13,34015804.62580232
2021-08-18,33072225.181226406
2021-08-20,33847894.78430983
2021-08-23,34036527.32511578
2021-08-28,32450204.098119084
2021-09-12,30952320.29918383
2021-09-22,25186945.22788484
2021-09-24,21067676.328284744
2021-10-07,21110042.473885506
2021-10-12,21386196.450516153
2021-10-14,19580657.142189
2021-10-27,19638755.07086198
2021-12-16,24897419.138338737
2021-12-18,24395288.927317593
2021-12-21,21179437.446728863
2022-01-05,24725530.497006413
2022-01-15,25339394.91516158
2022-01-17,25180772.08529364
2022-01-22,24111233.185013052
2022-01-25,21729862.630294714
2022-01-27,22146134.03479347
2022-01-30,21566511.673025478
2022-04-10,31375671.99964945
2022-04-17,31565760.95050935
2022-04-27,33958266.312093176
2022-05-12,30852367.715716675
2022-05-15,31076874.308937766
2022-05-17,29863888.938706446
2022-06-01,30272824.126884222
2022-06-06,31922489.233702086
2022-06-16,32409495.96726245
2022-06-19,31837097.274904586
2022-06-29,32499984.397468258
2022-07-01,32052988.979609378
2022-07-11,31825867.852415234
2022-07-16,33586300.75967864
2022-07-21,31579195.19535621
2022-07-24,32890157.340810258
2022-07-26,33430623.463389516
2022-07-31,32140850.586040195
2022-08-03,32206241.799193114
2022-08-05,32644961.815066904
2022-08-10,33042613.613513052
2022-08-13,32574708.277786594
2022-08-15,33746838.83825889
2022-08-28,33526745.18736939
2022-08-30,32470565.32077296
