date,value
2019-01-01,296900
2019-01-03,299000
2019-01-06,294500
2019-01-11,294600
2019-01-16,289100
2019-01-18,290200
2019-01-23,284800
2019-01-26,275100
2019-01-31,277400
2019-02-02,253800
2019-02-05,253800
2019-02-07,253800
2019-02-10,253800
2019-02-15,272000
2019-02-17,266900
2019-02-20,262800
2019-02-22,262500
2019-02-25,263000
2019-02-27,264100
2019-03-02,262800
2019-03-04,265600
2019-03-07,270000
2019-03-12,210600
2019-03-14,161700
2019-03-17,152800
2019-03-22,151900
2019-03-24,151900
2019-03-27,152700
2019-03-29,131700
2019-04-01,123900
2019-04-13,165000
2019-04-28,272800
2019-05-01,275300
2019-05-06,254200
2019-05-13,268600
2019-05-16,278200
2019-05-23,300600
2019-05-28,300600
2019-05-31,314500
2019-06-02,316400
2019-06-12,316000
2019-06-15,316000
2019-06-17,301700
2019-06-22,309000
2019-06-25,309000
2019-06-27,300500
2019-06-30,300500
2019-07-05,308200
2019-07-07,308200
2019-07-10,298900
2019-07-12,313400
2019-07-15,314900
2019-07-20,314900
2019-07-22,304000
2019-07-25,304300
2019-08-01,294300
2019-08-04,294300
2019-08-06,294300
2019-08-09,259000
2019-08-14,223300
2019-08-16,223300
2019-08-21,223200
2019-08-24,237100
2019-08-26,245100
2019-08-29,245100
2019-08-31,245100
2019-09-03,245100
2019-09-05,245100
2019-09-08,218700
2019-09-13,220900
2019-09-15,220900
2019-09-18,220900
2019-09-20,242200
2019-09-28,239500
2019-09-30,232800
2019-10-03,243000
2019-10-05,235900
2019-10-08,237200
2019-10-10,237200
2019-10-13,238700
2019-10-15,238200
2019-10-25,295300
2019-10-30,295300
2019-11-04,310400
2019-11-09,305000
2019-11-12,310400
2019-11-17,307600
2019-11-19,311700
2019-11-24,311700
2019-11-27,318200
2019-11-29,318300
2019-12-02,318300
2019-12-07,317500
2019-12-09,318200
2019-12-17,332300
2019-12-19,332300
2019-12-22,332300
2020-01-01,262000
2020-01-06,288100
2020-01-08,283700
2020-01-11,287800
2020-01-16,287800
2020-01-18,288000
2020-01-23,283600
2020-01-26,291500
2020-01-28,244000
2020-01-31,247700
2020-02-02,247700
2020-02-05,243600
2020-02-10,242900
2020-02-12,242900
2020-02-15,236800
2020-02-17,240000
2020-02-20,219300
2020-02-22,200700
2020-02-27,200700
2020-03-01,200700
2020-03-08,200800
2020-03-11,205600
2020-03-18,205300
2020-03-21,237000
2020-03-26,242100
2020-03-28,274900
2020-04-05,242000
2020-04-10,216100
2020-04-15,202900
2020-04-25,207100
2020-05-05,296300
2020-05-07,297500
2020-05-17,292600
2020-05-20,293000
2020-05-22,290400
2020-05-25,279800
2020-05-27,294600
2020-05-30,294600
2020-06-21,322400
2020-06-24,325000
2020-06-26,321000
2020-07-01,322100
2020-07-04,318900
2020-07-06,318900
2020-07-09,320000
2020-07-11,316700
2020-07-14,319900
2020-07-16,317200
2020-07-19,320100
2020-07-21,323200
2020-07-24,323200
2020-07-26,321800
2020-07-31,323100
2020-08-03,322600
2020-08-05,318300
2020-08-08,318300
2020-08-10,266100
2020-08-13,255800
2020-08-15,255800
2020-08-20,233700
2020-08-23,233300
2020-08-25,224700
2020-08-30,218400
2020-09-02,218400
2020-09-04,201300
2020-09-07,201500
2020-09-12,207400
2020-09-14,204000
2020-09-17,205600
2020-09-19,205600
2020-09-27,211900
2020-09-29,217700
2020-10-17,316300
2020-10-19,316300
2020-10-24,316300
2020-10-27,316300
2020-10-29,316300
2020-11-01,316200
2020-11-08,321000
2020-11-11,300700
2020-11-13,300700
2020-11-16,300700
2020-11-18,292400
2020-11-21,292400
2020-11-23,291800
2020-11-26,290800
2020-12-03,291800
2020-12-18,260900
2020-12-26,248500
2021-01-12,207300
2021-01-15,207300
2021-01-17,207300
2021-02-11,317500
2021-02-14,318700
2021-02-16,317500
2021-02-19,314200
2021-02-24,185200
2021-03-01,198900
2021-03-13,202300
2021-03-16,234200
2021-03-18,234200
2021-03-21,234200
2021-03-23,202300
2021-03-26,257700
2021-03-28,171500
2021-03-31,151500
2021-04-02,151500
2021-04-05,170200
2021-04-07,194200
2021-04-12,200900
2021-04-15,192700
2021-04-20,178500
2021-04-22,178500
2021-05-20,311100
2021-05-22,311100
2021-05-25,311100
2021-05-27,311100
2021-05-30,311100
2021-06-09,312200
2021-06-14,312400
2021-06-16,320600
2021-06-19,320600
2021-07-09,319900
2021-07-11,323800
2021-07-14,325100
2021-07-16,325100
2021-07-19,322600
2021-07-21,325100
2021-07-24,325000
2021-07-29,325300
2021-08-10,321500
2021-08-13,320400
2021-08-15,315500
2021-08-18,315500
2021-08-20,301000
2021-08-23,301200
2021-08-25,276400
2021-08-28,267400
2021-08-30,263000
2021-09-17,182600
2021-09-19,196500
