date,value
2019-02-15,12635186.50846015
2019-02-25,12837657.603565073
2019-03-22,12846984.056028133
2019-03-27,13321827.701049287
2019-04-01,13495635.5118549
2019-05-01,12611507.283885105
2019-05-06,13419686.973209789
2019-05-31,13874610.391608484
2019-06-30,14028599.177250823
2019-07-05,13899162.52837871
2019-07-10,14139139.16671279
2019-07-15,14510701.4906857
2019-07-20,14183232.080220351
2019-07-25,13775502.431653198
2019-08-04,13107077.794258766
2019-08-09,14134840.208781464
2019-08-14,13627876.532359526
2019-08-24,13667113.673604803
2019-09-03,12852166.52903589
2019-09-13,12895730.607839298
2019-11-22,12953903.022108432
2020-01-06,12554951.427486023
2020-01-16,12636216.422289923
2020-01-21,13484021.7381127
2020-02-15,12416541.903541636
2020-02-20,13064286.882244086
2020-03-21,13687279.10740413
2020-03-26,12702197.139164446
2020-03-31,12657851.970331779
2020-04-05,13197006.726368986
2020-04-10,13298717.964941619
2020-04-15,13719142.231498823
2020-05-20,14310424.13017464
2020-05-25,14096171.916267572
2020-05-30,14180004.003100986
2020-07-04,14053254.308603134
2020-07-09,14706578.115553796
2020-07-19,13990041.528087525
2020-07-24,14303946.342836963
2020-07-29,13449203.187809648
2020-09-12,14001818.759278085
2020-09-17,13396512.92929318
2020-11-06,11978566.346593268
2020-11-21,11868749.832625085
2021-02-14,12455442.730675008
2021-02-24,12745567.815800417
2021-03-01,12523117.012781773
2021-03-31,13132150.764676327
2021-04-15,13656504.81966293
2021-06-14,13316574.151351068
2021-07-19,12928959.821692681
2021-07-29,13131105.694565013
2021-09-22,12175982.964221003
2021-10-27,12153649.0656524
2021-12-21,12191219.542019444
2022-01-15,11596389.899785187
2022-01-25,11616334.57549669
2022-02-09,11880820.91760303
2022-03-06,12153649.0656524
2022-03-26,12080665.158219378
2022-04-10,12924804.395471407
2022-04-15,13067416.12386438
2022-05-30,13695773.191352012
2022-06-14,13052815.429668855
2022-06-19,13536842.183588393
2022-06-29,13132150.764676327
2022-07-14,13619398.455605162
2022-07-19,13568572.052830199
2022-07-24,13256739.284417652
2022-08-03,13146785.05987371
2022-08-08,12985107.67047548
2022-08-13,13061157.92502858
2022-08-28,12688784.253950143
