date,value
2019-02-05,421800
2019-02-20,350800
2019-02-25,353700
2019-03-22,372100
2019-03-27,389000
2019-04-01,408900
2019-05-06,394500
2019-05-31,396800
2019-06-25,417000
2019-07-05,414800
2019-07-10,410400
2019-07-15,413800
2019-07-25,416400
2019-08-04,413200
2019-08-14,403800
2019-08-29,409700
2019-09-03,403000
2019-09-13,403500
2019-09-18,388600
2019-10-13,385900
2020-01-06,392000
2020-01-16,385200
2020-01-21,374500
2020-03-26,383200
2020-03-31,380500
2020-04-05,389700
2020-04-10,392800
2020-04-15,381600
2020-05-05,406500
2020-05-20,395200
2020-05-25,404100
2020-05-30,395500
2020-07-04,402300
2020-07-09,367000
2020-07-14,418400
2020-07-19,392100
2020-07-29,386300
2020-08-08,383400
2020-09-07,368600
2020-09-12,379200
2020-09-17,352900
2020-11-06,377400
2020-11-21,369500
2021-02-14,383400
2021-02-24,387100
2021-03-01,389100
2021-03-31,399400
2021-04-15,390400
2021-05-20,393600
2021-05-30,409300
2021-06-14,408400
2021-07-19,402200
2021-09-12,385100
2021-09-22,379100
2021-11-06,364800
2021-12-21,365100
2022-01-05,377100
2022-01-15,371400
2022-01-25,376900
2022-02-09,371300
2022-03-06,381200
2022-03-21,401300
2022-04-15,392700
2022-05-15,405200
2022-05-30,407600
2022-06-14,406900
2022-06-29,410900
2022-07-14,406900
2022-07-19,404400
2022-07-24,398200
2022-08-03,388200
2022-08-08,384800
2022-08-13,388000
2022-08-28,361300
