date,value
2019-01-11,1555516.954382673
2019-01-16,1477429.4894481893
2019-02-15,2461747.7913323743
2019-02-20,2522545.203767804
2019-02-25,2487707.5523260995
2019-03-22,2409407.877006228
2019-03-27,2555878.9458525875
2019-05-01,2306514.8573764637
2019-05-06,2381341.260240474
2019-05-16,2748853.825716182
2019-07-05,2388129.2816395145
2019-07-15,2514684.3392027556
2019-07-25,2198677.903662259
2019-08-04,2102294.5342940483
2019-08-09,2118199.435138735
2019-08-14,2033847.0968163786
2019-08-24,1879545.7839186443
2019-08-29,1815074.352042034
2019-09-13,1506545.640790293
2019-10-08,1251686.7272907759
2019-10-13,1251686.7272907759
2019-12-17,2439366.064338368
2020-01-11,2617890.805991552
2020-01-16,2600981.0889590182
2020-02-05,2565571.4888698664
2020-02-15,2378798.3926776242
2020-02-20,2429929.487348355
2020-03-21,2696061.9342567828
2020-03-26,2478172.2117474405
2020-04-05,2547963.1470272266
2020-04-10,2461747.7913323743
2020-05-05,2677081.3958033076
2020-05-20,2594765.8339657467
2020-05-25,2770857.538071831
2020-05-30,2651884.5573630454
2020-06-24,2498131.883428971
2020-07-09,2565571.4888698664
2020-07-19,2473844.3825632664
2020-07-24,2306514.8573764637
2020-08-08,2212517.525048801
2020-08-18,1955889.8603538687
2020-09-02,1659453.3755692784
2020-09-12,1565682.4430208914
2020-11-11,1565682.4430208914
2020-11-21,1497911.7892739691
2020-11-26,1507210.8728103258
2020-12-26,2554118.7545979563
2021-02-14,2863541.4024191312
2021-02-19,2698779.2430448574
2021-02-24,2912376.2751116734
2021-03-01,2656374.729662307
2021-03-31,2793876.9837813424
2021-04-05,2678886.0037368764
2021-04-15,2779132.908768614
2021-05-20,2435932.3384741745
2021-06-09,2429929.487348355
2021-06-14,2591217.7984796315
2021-06-29,2621458.148760412
2021-07-19,2611654.152091941
2021-08-28,2259257.0573266065
2021-09-12,2377951.0901852185
2021-09-17,2118199.435138735
2021-10-07,2144581.4918720834
2021-10-12,2165489.314292165
2021-10-17,2062810.1651486356
2021-10-27,2078556.2938120123
2021-12-16,2639333.4948572363
2022-01-15,2560282.236383743
2022-01-25,2553238.9000197095
2022-02-09,2569983.619636915
2022-03-01,2922762.837542019
2022-03-21,2804962.1828055703
2022-03-26,2554118.7545979563
2022-04-05,2749768.7905343655
2022-07-14,2574399.769358132
2022-08-03,1815074.352042034
2022-08-28,1718816.8842286924
