date,value
2019-01-01,37971082.175556764
2019-01-03,38284846.01681254
2019-01-06,36913927.466213144
2019-01-11,38284846.01681254
2019-01-16,37233643.297811046
2019-01-23,39138447.17402012
2019-01-26,36258223.378831625
2019-01-31,33213991.220657293
2019-02-07,32776123.44913276
2019-02-10,32776123.44913276
2019-02-15,46121314.1777948
2019-02-17,45994885.94860249
2019-02-20,48085489.96222507
2019-02-22,48403081.77241309
2019-02-25,48556368.609537736
2019-02-27,48603582.47032332
2019-03-02,48532770.26974482
2019-03-07,48438434.18133765
2019-03-09,48556368.609537736
2019-03-12,47.00337122765143
2019-03-14,47.00337122765143
2019-03-17,37254317.393206894
2019-03-19,37254317.393206894
2019-03-22,37326721.84586448
2019-03-24,36955103.77468617
2019-03-27,37544356.31060501
2019-03-29,151515.0615782739
2019-04-01,38852869.3396263
2019-04-08,37835518.17168172
2019-04-13,41635330.04914488
2019-04-28,36749451.4107788
2019-05-01,38905675.35027996
2019-05-06,38905675.35027996
2019-05-13,37752214.4831961
2019-05-16,40022872.6968687
2019-05-23,42547332.94017835
2019-05-28,42547332.94017835
2019-05-31,43335309.044145636
2019-06-02,45114739.61048753
2019-06-07,45239955.01804392
2019-06-12,46409295.406657055
2019-06-17,46466999.04259706
2019-06-22,46721320.30301562
2019-06-25,46721320.30301562
2019-06-27,46675028.52705415
2019-06-30,46802386.037180595
2019-07-02,46802386.037180595
2019-07-05,47465104.402199864
2019-07-07,47850909.709356286
2019-07-10,48097234.008679695
2019-07-12,47862625.11994641
2019-07-15,47757237.96943696
2019-07-17,47698739.665569715
2019-07-20,47804062.384989135
2019-07-22,48108979.48692197
2019-07-25,47266964.73442649
2019-08-01,47570169.39605986
2019-08-04,47511785.63688565
2019-08-06,47441772.375753246
2019-08-09,47640277.15684573
2019-08-11,47651966.79497587
2019-08-14,47839195.73056496
2019-08-16,47535134.84511627
2019-08-21,47523459.5250941
2019-08-24,47874341.962334834
2019-08-26,47874341.962334834
2019-08-29,47733834.35247714
2019-08-31,47558489.78059969
2019-09-03,47651966.79497587
2019-09-05,47651966.79497587
2019-09-08,47500113.18049146
2019-09-13,47173865.72021617
2019-09-15,47150605.28495068
2019-09-18,47150605.28495068
2019-09-20,46837149.97239508
2019-09-28,46686599.323266536
2019-09-30,46501638.40651653
2019-10-03,46201858.713874176
2019-10-05,46224884.32535171
2019-10-08,45811299.62981524
2019-10-10,46017860.01242276
2019-10-13,45857161.844155386
2019-10-15,45891573.539771155
2019-10-25,45662405.65762021
2019-10-30,45548036.50135675
2019-11-02,45548036.50135675
2019-11-04,45593766.981020525
2019-11-09,45593766.981020525
2019-11-12,48414864.476948105
2019-11-17,48414864.476948105
2019-11-19,45399570.66824473
2019-11-24,45353937.55843102
2019-11-27,46605633.81870931
2019-11-29,45788377.1140039
2019-12-02,45788377.1140039
2019-12-07,45731095.8826401
2019-12-09,45650962.29843234
2019-12-14,45126115.6697333
2019-12-17,45228564.63956039
2019-12-22,45228564.63956039
2019-12-24,43636856.49450462
2019-12-27,45308327.35926203
2019-12-29,44367085.716706686
2020-01-01,44762792.01227678
2020-01-06,45194402.09563985
2020-01-08,44344526.91079891
2020-01-11,44581680.04884734
2020-01-16,44581680.04884734
2020-01-28,41898027.81515722
2020-01-31,41898027.81515722
2020-02-02,44819464.67800462
2020-02-05,42503154.726473
2020-02-07,42990375.278933935
2020-02-10,42990375.278933935
2020-02-15,39947901.62609885
2020-02-17,39766121.193059385
2020-02-20,39840921.83272934
2020-02-22,38747364.737265036
2020-02-27,39361285.114829354
2020-03-01,38316293.29924423
2020-03-08,34854325.32355616
2020-03-11,38452713.81355599
2020-03-13,38452713.81355599
2020-03-18,30340340.14970381
2020-03-21,39883696.56374542
2020-03-28,40463398.23417027
2020-03-31,40484948.86811743
2020-04-05,40927999.30836381
2020-04-07,40097913.944807716
2020-04-10,39467620.41493193
2020-04-15,41679055.726309516
2020-04-25,43212755.66954269
2020-05-07,44423507.79082096
2020-05-17,44423507.79082096
2020-05-20,45845694.142732024
2020-05-22,47046004.201945
2020-05-25,47640277.15684573
2020-05-27,47663657.86491387
2020-05-30,47663657.86491387
2020-06-06,47839195.73056496
2020-06-21,48144224.51236938
2020-06-24,48426648.61325646
2020-06-26,47897779.94250435
2020-07-01,47897779.94250435
2020-07-04,48214753.22145903
2020-07-06,48144224.51236938
2020-07-09,48379520.65866518
2020-07-11,48414864.476948105
2020-07-14,48414864.476948105
2020-07-16,48426648.61325646
2020-07-19,48320642.930365935
2020-07-21,48426648.61325646
2020-07-24,48332415.61247276
2020-07-26,48226513.017548606
2020-07-29,48155975.71775694
2020-07-31,47956399.94936073
2020-08-03,47956399.94936073
2020-08-05,47956399.94936073
2020-08-08,48261800.99650608
2020-08-10,48097234.008679695
2020-08-13,48226513.017548606
2020-08-15,48015055.751067616
2020-08-20,47722134.691703156
2020-08-23,47628588.95052399
2020-08-25,47255322.34625535
2020-08-30,46721320.30301562
2020-09-02,46721320.30301562
2020-09-04,46466999.04259706
2020-09-07,46351627.56734943
2020-09-12,46570955.794587225
2020-09-14,46213370.803675696
2020-09-17,46213370.803675696
2020-09-19,46213370.803675696
2020-09-24,46871926.794217706
2020-09-27,46420833.27011663
2020-09-29,45880101.54267549
2020-10-04,46732896.82663415
2020-10-12,46732896.82663415
2020-10-14,46686599.323266536
2020-10-17,48320642.930365935
2020-10-24,48320642.930365935
2020-11-01,47441772.375753246
2020-11-08,46363158.271477126
2020-11-11,45971917.612321384
2020-11-16,45971917.612321384
2020-11-18,44808127.28097473
2020-11-21,45628079.87576049
2020-11-23,44978338.58998453
2020-12-03,44955625.13360895
2020-12-18,53651299.331016585
2020-12-21,53651299.331016585
2020-12-26,40711576.39084196
2020-12-28,40711576.39084196
2021-01-12,50342565.94207408
2021-01-15,50342565.94207408
2021-02-06,37991959.66070894
2021-02-11,52258862.945884265
2021-02-14,46029349.19215873
2021-02-19,48816328.33281829
2021-02-24,51526946.18815111
2021-03-01,51308376.16564174
2021-03-11,46871926.794217706
2021-03-23,48038528.09429365
2021-03-28,48073747.34755862
2021-03-31,45570898.87737879
2021-04-02,48473799.47621275
2021-04-05,49255096.080114804
2021-04-07,48686261.84962587
2021-04-12,53168658.17772859
2021-04-15,47640277.15684573
2021-04-20,42084604.48240251
2021-04-22,42084604.48240251
2021-05-27,48993970.91115468
2021-06-09,48816328.33281829
2021-06-11,48816328.33281829
2021-06-14,48958416.62397561
2021-06-16,48426648.61325646
2021-06-19,48426648.61325646
2021-06-21,48038528.09429365
2021-06-26,48828161.14910595
2021-07-09,47360155.38546845
2021-07-11,49005825.203710064
2021-07-14,49005825.203710064
2021-07-16,48544568.72375751
2021-07-19,48875506.731800005
2021-07-21,48757185.72772141
2021-07-26,48532770.26974482
2021-07-29,49290757.74792288
2021-07-31,48721717.3457554
2021-08-10,48391300.49965194
2021-08-13,48438434.18133765
2021-08-15,47886060.23652098
2021-08-18,47886060.23652098
2021-08-20,47897779.94250435
2021-08-23,46628759.660738856
2021-08-25,47546811.59695165
2021-08-28,47500113.18049146
2021-08-30,45570898.87737879
2021-09-04,47395125.50467393
2021-09-17,39947901.62609885
2021-09-19,40087189.4699769
2021-09-22,46075320.22992881
2021-09-27,46075320.22992881
2021-09-29,46121314.1777948
2021-10-02,46121314.1777948
2021-10-07,41788470.16606954
2021-10-09,42602587.92852425
2021-10-12,40226719.35288936
2021-10-14,40927999.30836381
2021-10-17,37814683.65569243
2021-10-19,37783442.62403886
