date,value
2019-01-28,917700
2019-02-17,991100
2019-02-27,999000
2019-03-29,1034400
2019-05-13,1071000
2019-05-23,1060600
2019-06-02,1058300
2019-06-17,1027900
2019-06-27,1028100
2019-07-17,981600
2019-08-01,931900
2019-08-21,855700
2019-08-26,815100
2019-08-31,796800
2019-09-10,728100
2019-09-15,682100
2019-09-20,642000
2019-12-04,611300
2019-12-14,568200
2020-01-23,928100
2020-02-07,996800
2020-02-22,1043500
2020-03-13,1056900
2020-03-23,1072600
2020-03-28,1076500
2020-04-02,1072600
2020-04-07,1076600
2020-04-22,1086300
2020-04-27,1077700
2020-05-07,1069500
2020-05-17,1082900
2020-05-27,1081700
2020-06-01,1065200
2020-07-06,1007100
2020-07-31,908400
2020-08-05,900900
2020-08-10,885300
2020-08-20,848600
2020-09-04,767700
2020-09-09,727000
2020-09-14,682600
2020-09-19,622800
2020-11-18,591300
2020-11-28,576700
2021-02-21,1061500
2021-03-08,1078000
2021-03-23,1075100
2021-03-28,1076500
2021-04-02,1098200
2021-04-27,1087100
2021-06-01,1079300
2021-06-16,1074200
2021-07-21,1033300
2021-09-24,889900
2021-10-14,839200
2021-10-19,827700
2021-10-24,832000
2021-12-18,996300
2021-12-23,997900
2022-01-12,1061700
2022-02-26,1057700
2022-03-08,1071400
2022-03-23,1077300
2022-03-28,1084100
2022-04-17,1089600
2022-04-27,1076700
2022-05-17,1084500
2022-06-11,1070300
2022-06-16,1066200
2022-06-21,1048200
2022-07-06,1027200
2022-07-11,1004500
2022-07-16,996700
2022-08-10,904000
2022-08-20,878500
