date,value
2019-01-01,673400
2019-01-03,673800
2019-01-06,674000
2019-01-11,673100
2019-01-16,668900
2019-01-18,668300
2019-01-23,676400
2019-01-26,656000
2019-01-31,661500
2019-02-02,609100
2019-02-05,598900
2019-02-07,598900
2019-02-10,569800
2019-02-12,551800
2019-02-15,552000
2019-02-17,546700
2019-02-20,540700
2019-02-22,534900
2019-02-25,529400
2019-02-27,526300
2019-03-02,524200
2019-03-04,526700
2019-03-07,523800
2019-03-12,524700
2019-03-14,538300
2019-03-17,533500
2019-03-22,523900
2019-03-24,523900
2019-03-27,531800
2019-03-29,538300
2019-04-01,524200
2019-04-13,641400
2019-04-28,671900
2019-05-01,664800
2019-05-06,643000
2019-05-13,674300
2019-05-16,684400
2019-05-23,692000
2019-05-28,721000
2019-05-31,744700
2019-06-02,751500
2019-06-12,766200
2019-06-15,760700
2019-06-17,782400
2019-06-22,782400
2019-06-25,788600
2019-06-27,796600
2019-06-30,798500
2019-07-05,804000
2019-07-07,802000
2019-07-10,802000
2019-07-12,804500
2019-07-15,805600
2019-07-20,804700
2019-07-22,802800
2019-07-25,802900
2019-08-01,789000
2019-08-04,779600
2019-08-06,778800
2019-08-09,759800
2019-08-14,751400
2019-08-16,744000
2019-08-21,727200
2019-08-24,722700
2019-08-26,722800
2019-08-29,716100
2019-08-31,717300
2019-09-03,715200
2019-09-05,713300
2019-09-08,708900
2019-09-13,702600
2019-09-15,704300
2019-09-18,704300
2019-09-20,693100
2019-09-28,674100
2019-09-30,674100
2019-10-03,672900
2019-10-05,673100
2019-10-08,665100
2019-10-10,665200
2019-10-13,670200
2019-10-15,663600
2019-10-25,719800
2019-10-30,722000
2019-11-04,733800
2019-11-09,723100
2019-11-12,731400
2019-11-17,736200
2019-11-19,744000
2019-11-24,747500
2019-11-27,767100
2019-11-29,759400
2019-12-02,759700
2019-12-07,773100
2019-12-09,773100
2019-12-14,764000
2019-12-17,770300
2019-12-19,772800
2019-12-22,772900
2019-12-24,774200
2019-12-27,780100
2019-12-29,777700
2020-01-01,781700
2020-01-06,788800
2020-01-08,785400
2020-01-11,789700
2020-01-16,789700
2020-01-18,788600
2020-01-23,786100
2020-01-26,792000
2020-01-28,736400
2020-01-31,736400
2020-02-02,735700
2020-02-05,742900
2020-02-10,746700
2020-02-12,746700
2020-02-15,763100
2020-02-17,763300
2020-02-20,761500
2020-02-22,755900
2020-02-27,763300
2020-03-01,763300
2020-03-08,750700
2020-03-11,740500
2020-03-18,740500
2020-03-21,735400
2020-03-26,759100
2020-03-28,761400
2020-04-05,757100
2020-04-10,726100
2020-04-15,732300
2020-04-25,727000
2020-05-05,794200
2020-05-07,797500
2020-05-17,793600
2020-05-20,799900
2020-05-22,797800
2020-05-25,798800
2020-05-27,792600
2020-05-30,794300
2020-06-21,799400
2020-06-24,805400
2020-06-26,801200
2020-07-01,801600
2020-07-04,801000
2020-07-06,801000
2020-07-09,802900
2020-07-11,802400
2020-07-14,804300
2020-07-16,800800
2020-07-19,804200
2020-07-21,805400
2020-07-24,805400
2020-07-26,802100
2020-07-31,801600
2020-08-03,803300
2020-08-05,795500
2020-08-08,787900
2020-08-10,787900
2020-08-13,741700
2020-08-15,736400
2020-08-20,731000
2020-08-23,726800
2020-08-25,678700
2020-08-30,668500
2020-09-02,662400
2020-09-04,645000
2020-09-07,634600
2020-09-12,614700
2020-09-14,580200
2020-09-17,580200
2020-09-19,580200
2020-09-27,581000
2020-09-29,572800
2020-10-17,673400
2020-10-19,690000
2020-10-24,684500
2020-10-27,684900
2020-10-29,684900
2020-11-01,669900
2020-11-08,679200
2020-11-11,691400
2020-11-13,691400
2020-11-16,691400
2020-11-18,700800
2020-11-21,698500
2020-11-23,699000
2020-11-26,699000
2020-12-03,701000
2020-12-11,701400
2020-12-16,701400
2020-12-18,701000
2020-12-26,669700
2021-01-12,21800
2021-01-15,21800
2021-01-17,21800
2021-02-11,607700
2021-02-14,597600
2021-02-16,607700
2021-02-19,559400
2021-02-24,552800
2021-03-01,555200
2021-03-13,547000
2021-03-16,546600
2021-03-18,546600
2021-03-21,546600
2021-03-23,573100
2021-03-26,686200
2021-03-28,550600
2021-03-31,573700
2021-04-02,573700
2021-04-05,561500
2021-04-07,513300
2021-04-12,501000
2021-04-15,609200
2021-04-20,612400
2021-04-22,612400
2021-05-20,647900
2021-05-22,647900
2021-05-25,647900
2021-05-27,648600
2021-05-30,648600
2021-06-14,734200
2021-06-16,734400
2021-06-19,734400
2021-06-21,761600
2021-06-24,761600
2021-06-26,769400
2021-06-29,772400
2021-07-01,761800
2021-07-09,745100
2021-07-11,733900
2021-07-14,743100
2021-07-16,731300
2021-07-19,741900
2021-07-21,742600
2021-07-24,744400
2021-07-29,756300
2021-08-05,749400
2021-08-10,756200
2021-08-13,742600
2021-08-15,743700
2021-08-18,736100
2021-08-20,727500
2021-08-23,728800
2021-08-25,717800
2021-08-28,706600
2021-08-30,697500
2021-09-17,642300
2021-09-19,651800
2021-09-22,656000
2021-09-27,656000
2021-10-02,702600
2021-10-04,697200
2021-10-07,697200
2021-10-09,654800
2021-10-12,660800
2021-10-14,655200
2021-10-17,655200
2021-10-19,651500
2021-10-22,647200
2021-10-24,656100
2021-10-27,628400
2021-11-06,608400
2021-11-18,621800
2021-11-26,621800
2021-12-06,537500
2021-12-08,537500
2021-12-11,526200
2021-12-16,557400
