date,value
2019-01-17,416500
2019-01-22,404500
2019-02-16,418300
2019-02-23,425800
2019-02-26,392200
2019-03-10,435900
2019-03-30,416300
2019-04-12,412500
2019-04-19,376700
2019-04-22,407800
2019-05-14,419800
2019-06-01,419300
2019-06-26,433600
2019-06-28,409600
2019-07-03,392000
2019-07-06,419700
2019-07-16,405500
2019-07-23,393700
2019-08-07,409800
2019-08-10,450500
2019-08-22,378100
2019-08-25,392800
2019-08-27,382500
2019-09-01,376500
2019-09-14,384400
2019-09-16,386400
2019-09-19,342200
2019-09-21,344300
2019-10-06,347200
2019-12-25,360700
2019-12-30,367600
2020-01-19,393900
2020-01-22,406900
2020-02-06,367600
2020-02-11,426700
2020-02-18,430100
2020-02-26,444900
2020-03-09,417900
2020-03-17,419700
2020-03-24,361100
2020-03-27,391100
2020-04-01,390500
2020-04-11,415200
2020-04-13,442000
2020-04-16,457300
2020-04-23,386400
2020-04-26,439700
2020-05-06,435200
2020-05-18,405900
2020-05-21,405300
2020-05-26,437200
2020-05-28,397300
2020-05-31,432000
2020-06-02,420200
2020-06-22,386400
2020-06-25,441600
2020-07-07,377600
2020-07-17,410100
2020-07-20,395300
2020-07-22,385300
2020-07-27,424400
2020-07-30,418400
2020-08-06,392400
2020-08-09,400600
2020-09-13,420200
2020-09-15,416500
2020-11-04,406200
2020-11-29,365400
2020-12-04,378900
2021-02-10,425800
2021-02-27,416300
2021-03-07,430600
2021-03-09,437300
2021-03-19,437800
2021-03-24,436600
2021-03-29,424900
2021-04-01,432000
2021-04-13,412500
2021-04-23,432700
2021-04-26,417400
2021-05-16,428000
2021-05-31,436000
2021-07-17,427200
2021-07-20,434100
2021-08-14,422500
2021-09-08,419700
2021-09-23,411300
2021-10-05,386600
2021-10-08,389100
2021-10-23,372300
2021-10-28,402900
2021-11-09,410800
2021-11-19,398000
2021-11-22,374900
2021-12-09,422400
2022-01-01,413000
2022-02-05,423300
2022-02-07,421900
2022-02-27,437800
2022-03-14,443900
2022-03-17,455300
2022-03-19,423000
2022-03-22,427800
2022-03-24,445000
2022-03-27,446500
2022-04-16,429600
2022-04-21,427200
2022-06-12,416500
2022-06-15,440100
2022-06-17,424400
2022-06-22,427900
2022-07-02,430100
2022-07-05,432100
2022-07-10,450400
2022-07-15,451600
2022-07-17,435100
2022-07-30,427400
2022-08-06,420900
2022-08-09,419700
2022-08-11,427800
2022-08-29,407500
