date,value
2019-01-05,239129570.48499858
2019-01-07,239129570.48499858
2019-01-10,238965763.53785288
2019-01-12,238965763.53785288
2019-01-15,213690428.2861767
2019-01-17,213690428.2861767
2019-01-20,213690428.2861767
2019-01-22,213049862.06000555
2019-01-25,202154781.10982442
2019-02-14,147946762.9423933
2019-02-16,147946762.9423933
2019-02-19,148654783.72882265
2019-02-24,135542834.70840818
2019-02-26,135542834.70840818
2019-03-01,135542834.70840818
2019-03-03,147152018.9757093
2019-03-08,122858201.81381786
2019-03-16,100390411.05885382
2019-03-18,100390411.05885382
2019-03-21,100464957.0047458
2019-03-23,100464957.0047458
2019-03-26,97563470.38567033
2019-03-28,97563470.38567033
2019-03-31,74477922.38636342
2019-04-05,66175664.02803912
2019-04-10,65319902.86239319
2019-04-15,44555589.62709881
2019-04-17,45577094.50371364
2019-04-20,45078164.85327454
2019-04-27,52889337.59343939
2019-04-30,52300578.425369695
2019-05-02,194793157.41136327
2019-05-05,194793157.41136327
2019-05-07,194078557.65935543
2019-05-10,217831049.2970432
2019-05-12,217831049.2970432
2019-05-15,239839971.57692692
2019-05-30,275353382.92615867
2019-06-04,271915070.90783066
2019-06-14,271915070.90783066
2019-06-19,258314800.58959186
2019-06-24,258314800.58959186
2019-06-26,258314800.58959186
2019-06-29,271164274.135849
2019-07-01,271164274.135849
2019-07-04,270318318.7907412
2019-07-06,281875887.95146555
2019-07-09,281875887.95146555
2019-07-14,287892431.8226704
2019-07-16,289118281.9138141
2019-07-19,289534009.02722573
2019-07-21,289633030.4345899
2019-07-24,288425987.88998437
2019-07-26,287694928.8500969
2019-07-29,289593420.0827775
2019-07-31,290029265.1273467
2019-08-03,292431569.3377063
2019-08-05,293128077.0688765
2019-08-08,295681515.24241966
2019-08-10,299128042.0021713
2019-08-15,297582946.19218314
2019-08-18,297562903.1878257
2019-08-23,293167899.5433005
2019-09-12,300978747.9500143
2019-09-14,300978747.9500143
2019-09-17,302289340.72438705
2019-09-19,302289340.72438705
2019-09-22,304189092.4358039
2019-09-27,303016286.08249396
2019-09-29,303299194.64110535
2019-10-02,303299194.64110535
2019-10-04,301462367.17259145
2019-10-07,301462367.17259145
2019-11-16,319347874.40522456
2019-11-18,319347874.40522456
2019-11-21,315286149.5355402
2019-11-23,315286149.5355402
2019-11-26,315286149.5355402
2019-11-28,315286149.5355402
2019-12-03,309613751.4988922
2019-12-06,311656318.61953175
2019-12-08,305059874.10589844
2019-12-13,305059874.10589844
2019-12-21,305059874.10589844
2019-12-26,274250280.3393772
2019-12-28,274250280.3393772
2020-01-05,293785452.4272505
2020-01-07,293785452.4272505
2020-01-10,293785452.4272505
2020-01-12,293785452.4272505
2020-01-15,293785452.4272505
2020-01-20,283521916.46810156
2020-01-22,271838024.0501959
2020-01-25,268419175.623819
2020-01-27,268419175.623819
2020-01-30,268189377.0993075
2020-02-01,268265966.97939458
2020-02-04,268265966.97939458
2020-02-09,234417293.15140298
2020-02-11,227907400.43688878
2020-02-14,228531558.3319151
2020-02-21,229478142.08014202
2020-02-24,229210066.2502994
2020-03-07,242251287.08754304
2020-03-10,242251287.08754304
2020-03-15,213673104.55400878
2020-03-17,213673104.55400878
2020-03-20,216592160.9736256
2020-03-22,216592160.9736256
2020-03-25,213898361.300888
2020-03-30,213898361.300888
2020-04-01,214678902.94876143
2020-04-04,210289598.34566173
2020-04-06,208366848.88133475
2020-04-09,196877045.219479
2020-04-11,198551180.81426892
2020-04-14,194626868.2431843
2020-04-16,194626868.2431843
2020-04-24,199474614.70348477
2020-04-29,207699145.80820838
2020-05-04,258917754.52729553
2020-05-06,258917754.52729553
2020-05-09,257919448.45357916
2020-05-14,258936606.80998304
2020-05-19,252580338.90277082
2020-05-21,279473248.3052407
2020-05-24,280917653.7442901
2020-05-26,295621557.4695292
2020-05-29,293367047.6394872
2020-05-31,293367047.6394872
2020-06-03,293367047.6394872
2020-06-05,297122107.47261107
2020-06-23,315203915.13137996
2020-06-25,315203915.13137996
2020-06-28,315203915.13137996
2020-06-30,315203915.13137996
2020-07-03,315203915.13137996
2020-07-08,324576921.17021435
2020-07-10,323682018.0355897
2020-07-13,324764364.13240623
2020-07-18,323099875.2720745
2020-07-20,323099875.2720745
2020-07-23,323162225.64258116
2020-07-25,320672343.57055587
2020-07-28,320382409.72508675
2020-07-30,320154685.56590736
2020-08-02,320196084.6560184
2020-08-04,320113288.8325272
2020-08-07,321667278.9273775
2020-08-09,318955137.278538
2020-08-12,320693057.5491118
2020-08-14,320693057.5491118
2020-08-19,320693057.5491118
2020-08-22,320693057.5491118
2020-08-27,315862054.7857227
2020-09-01,309899354.89264834
2020-09-03,309899354.89264834
2020-09-06,309899354.89264834
2020-09-08,309899354.89264834
2020-09-11,309899354.89264834
2020-11-10,315985523.25069076
2020-11-12,315985523.25069076
2020-11-15,318975802.34887743
2020-11-17,318975802.34887743
2020-11-20,319616711.8702319
2020-11-22,319223829.16815585
2020-11-25,315964943.697904
2020-11-27,317902000.39886993
2020-11-30,317138919.8818531
2020-12-02,315245031.15291697
2020-12-07,314957268.5870293
2020-12-10,313868929.97824204
2020-12-15,289850930.00235844
2020-12-17,284837844.27273977
2020-12-22,284837844.27273977
2021-01-19,245777598.4040192
2021-01-21,245777598.4040192
2021-01-24,245335582.78846276
2021-01-26,245335582.78846276
2021-02-23,244268824.87923452
2021-02-25,244268824.87923452
2021-02-28,246607321.68306366
2021-03-02,246607321.68306366
2021-03-05,246293725.97274396
2021-03-07,246921093.06051534
2021-03-20,84863185.43951412
2021-03-22,84863185.43951412
2021-03-25,84863185.43951412
2021-03-27,84863185.43951412
2021-03-30,251239296.0835134
2021-04-01,252244783.55083644
2021-04-04,251350929.59339595
2021-04-06,251350929.59339595
2021-04-09,248770361.51957333
2021-04-14,248733316.62570518
2021-04-16,248751838.76903105
2021-04-19,248640715.0175087
2021-04-24,249289245.04264253
2021-05-09,299429444.60943097
2021-05-14,299429444.60943097
2021-05-19,299429444.60943097
2021-06-13,262510532.76216096
2021-06-15,262510532.76216096
2021-06-18,262738176.6749506
2021-07-18,280331688.8754533
2021-07-20,280331688.8754533
2021-07-23,280644136.4366865
2021-07-30,260805973.29235753
2021-08-02,273805720.8803707
