date,value
2019-01-03,8736237.000496935
2019-01-11,8736237.000496935
2019-01-16,8966830.14906383
2019-01-23,8288939.258735532
2019-01-28,8295170.000625413
2019-02-12,10105694.678668551
2019-02-15,10488122.384592487
2019-02-17,9993040.532921666
2019-02-20,10312096.182862347
2019-02-22,10105694.678668551
2019-02-25,10387381.438863995
2019-02-27,10157695.1210648
2019-03-12,11287506.780062651
2019-03-22,10711663.279304119
2019-03-24,10760321.495172901
2019-03-27,10760321.495172901
2019-03-29,10771920.551038567
2019-04-01,10582365.069526095
2019-04-08,10760321.495172901
2019-04-13,10164486.120784799
2019-05-01,9914501.140223205
2019-05-06,11637686.969433935
2019-05-11,11637686.969433935
2019-05-13,10538647.2312696
2019-05-16,10753364.60263521
2019-05-23,11070656.107019953
2019-05-31,10934862.69831832
2019-06-02,11242576.447145207
2019-06-12,11254392.85898513
2019-06-17,10218883.30993839
2019-06-22,10218883.30993839
2019-06-25,10218883.30993839
2019-06-27,10378243.600099245
2019-06-30,10332605.517753512
2019-07-02,10332605.517753512
2019-07-05,11216598.852132764
2019-07-07,11216598.852132764
2019-07-10,11218959.399746992
2019-07-12,11446550.630724246
2019-07-15,11834991.408906547
2019-07-17,11769870.180829985
2019-07-22,12263207.732593818
2019-07-25,11642482.548998741
2019-08-01,11278041.454726184
2019-08-04,11275675.64897008
2019-08-09,8550231.078315172
2019-08-11,8872577.648276446
2019-08-14,8320112.796720682
2019-08-16,8439023.935135964
2019-08-21,7764578.78001512
2019-08-24,8662054.306270272
2019-08-26,8343004.887352521
2019-08-29,7665871.626137751
2019-08-31,5440976.564462244
2019-09-03,5460102.511673809
2019-09-05,5460102.511673809
2019-09-13,5357850.86040107
2019-09-15,4621322.433890071
2019-09-18,5093136.683315433
2019-09-20,4868882.142737784
2019-10-05,5465323.6122951945
2019-10-08,5416675.578548673
2019-10-13,7657837.524709034
2019-10-25,7557712.56075924
2019-10-30,4511630.05888095
2019-11-04,4511630.05888095
2019-11-09,4511630.05888095
2019-12-29,10119249.111571563
2020-01-06,9678242.648123236
2020-01-11,10378243.600099245
2020-01-16,10105694.678668551
2020-01-18,10083121.061459845
2020-02-05,9594134.559027428
2020-02-07,9594134.559027428
2020-02-15,9811677.451724747
2020-02-20,9280414.863024995
2020-02-22,9147936.723743133
2020-03-01,9618449.65437632
2020-03-08,11105890.577969715
2020-03-11,11103540.137856154
2020-03-13,11389471.357302632
2020-03-18,11439409.11215149
2020-03-21,11233127.103737589
2020-03-28,11394223.346404968
2020-03-31,11315922.934604032
2020-04-05,11028437.361931032
2020-04-07,11508522.852712622
2020-04-10,11432269.481616836
2020-04-12,11432269.481616836
2020-04-15,12383572.739690427
2020-04-25,12410661.876068644
2020-05-07,10850934.455529574
2020-05-17,11063614.904639415
2020-05-20,11893004.670322938
2020-05-22,11014379.633920804
2020-05-25,11360977.058037234
2020-05-27,11327771.930198602
2020-05-30,11384720.207889544
2020-06-19,11537173.210074434
2020-06-21,11413239.69863648
2020-06-24,10944204.963165538
2020-06-26,11141172.463783834
2020-07-01,11141172.463783834
2020-07-04,10855589.948279746
2020-07-09,11496594.110686075
2020-07-11,11296975.468775036
2020-07-14,12957698.154896103
2020-07-19,11398976.17514302
2020-07-21,11127054.02114616
2020-07-24,11094140.484865354
2020-07-26,10430832.68331712
2020-07-29,10316652.321081797
2020-07-31,10316652.321081797
2020-08-03,10316652.321081797
2020-08-05,9315296.722246164
2020-08-08,9822831.939599572
2020-08-10,9516941.871267438
2020-08-15,6930192.838143764
2020-08-20,6742639.377632755
2020-08-23,5753951.48655813
2020-08-25,5007282.044567705
2020-09-02,4473181.875393188
2020-09-04,4473181.875393188
2020-09-07,3172379.896822455
2020-09-12,3705660.5059277574
2020-09-14,3239033.286869473
2020-09-17,4980474.75439738
2020-09-19,4847354.026504219
2020-10-17,6559150.645719432
2020-10-24,6559150.645719432
2020-11-01,6899423.053279139
2020-11-08,7641780.028857515
2020-11-11,7229310.896958194
2020-11-18,7082967.7626181515
2020-11-21,7300005.439235001
2020-11-23,7131607.924623898
2020-11-26,7337433.874530429
2020-12-18,8691695.226729
2021-02-24,11883327.44943334
2021-03-01,11784328.410494806
2021-03-23,11073003.596159374
2021-03-26,11073003.596159374
2021-03-28,11456075.592124892
2021-03-31,11420374.293521952
2021-04-02,12339299.15936217
2021-04-05,12767592.397210903
2021-04-07,12581156.138783714
2021-04-15,13227361.566213366
2021-04-17,13262818.57306228
2021-04-20,13364345.752279522
2021-04-22,13349095.770865183
2021-05-27,11943864.811870558
2021-05-30,11943864.811870558
2021-06-09,11401352.904358715
2021-06-11,11847067.59500797
2021-06-14,11793971.40699542
2021-06-16,11753011.749952177
2021-06-19,11753011.749952177
2021-06-21,11755419.470522381
2021-06-26,10481240.602981258
2021-07-01,11834991.408906547
2021-07-09,11839821.25730769
2021-07-19,9512538.840709182
2021-07-21,9512538.840709182
2021-07-26,9512538.840709182
2021-07-29,11798794.158106314
2021-08-10,11406106.992450021
2021-08-13,11406106.992450021
2021-08-18,11406106.992450021
2021-08-20,11520456.834464159
2021-08-23,11726540.613627294
2021-08-25,11604141.34939881
2021-08-28,11254392.85898513
2021-08-30,11129406.568280272
2021-09-04,10334885.39818583
2021-09-07,10135072.342147585
2021-09-22,10139595.188570928
2021-09-24,10130550.350520823
2021-09-29,10144118.889732568
2021-10-12,9422467.011345867
2021-10-14,9695989.226893483
2021-10-17,9664941.752681477
2021-10-24,8902521.314366726
2021-10-27,9048569.29430077
2021-12-16,9102516.304531142
2021-12-18,9718191.813441083
2021-12-21,9618449.65437632
2021-12-23,9614026.788923014
2022-01-05,9519143.710196499
2022-01-12,9519143.710196499
2022-01-15,10162222.240597244
2022-01-17,10083121.061459845
2022-01-22,10582365.069526095
2022-01-25,10015528.559349267
2022-01-27,10501891.687387252
2022-01-30,10501891.687387252
2022-02-01,10501891.687387252
2022-02-06,11233127.103737589
2022-02-09,10628466.640179474
2022-03-23,10314374.145408457
2022-03-26,11091791.09851761
2022-04-05,12312276.155411705
2022-04-10,12376189.14540708
2022-04-15,12390958.19926836
2022-04-17,12265659.182293003
2022-04-27,12192206.007657887
2022-05-15,11429890.024367109
2022-05-17,11832576.797745211
2022-05-20,11832576.797745211
2022-05-22,11832576.797745211
2022-05-27,11791560.344645334
2022-05-30,11465603.909291059
2022-06-01,11577812.857679747
2022-06-04,11577812.857679747
2022-06-06,11384720.207889544
2022-06-11,11403729.843463277
2022-06-14,10614627.256015735
2022-06-16,12175093.830730839
2022-06-19,12285278.251448989
2022-06-29,11556290.209773656
2022-07-01,11394223.346404968
2022-07-04,11394223.346404968
2022-07-06,11360977.058037234
2022-07-11,10997988.55181582
2022-07-14,10841626.007867998
2022-07-16,11160008.849026967
2022-07-19,11040157.93668641
2022-07-21,10839299.424709462
2022-07-24,10853262.096167155
2022-07-26,10243856.446363505
2022-07-29,10103436.35475433
2022-07-31,9455378.009375563
2022-08-03,9433431.942970186
2022-08-05,9957104.239092803
2022-08-08,8729867.985872805
2022-08-10,8029041.854674463
2022-08-13,7567699.931999556
2022-08-15,8230881.337874136
2022-08-20,8237093.560008817
2022-08-23,6478497.2028156975
2022-08-28,6662927.437120741
2022-08-30,6662927.437120741
