date,value
2019-01-15,4535653.224301985
2019-01-17,4535653.224301985
2019-01-20,4535653.224301985
2019-01-22,9831537.40045293
2019-01-25,9586809.332886888
2019-01-27,10074163.999760343
2019-01-30,10074163.999760343
2019-02-04,9616024.539957434
2019-02-06,9616024.539957434
2019-02-09,9616024.539957434
2019-02-14,10557511.881533325
2019-02-16,10557511.881533325
2019-02-19,10593169.575962165
2019-02-24,7501597.222278537
2019-02-26,7501597.222278537
2019-03-01,7501597.222278537
2019-03-03,7501597.222278537
2019-03-08,7277551.193653553
2019-03-16,9543064.382914757
2019-03-18,9543064.382914757
2019-03-21,10695358.051451797
2019-03-23,10695358.051451797
2019-03-26,8902820.837387467
2019-03-28,8902820.837387467
2019-03-31,2419684.0024524895
2019-04-05,1397942.527384388
2019-04-10,742892.9695143525
2019-04-15,504865.54209106904
2019-04-17,3669353.049450697
2019-04-20,2922794.6467709867
2019-04-27,3424729.4293716233
2019-04-30,3287645.7728003534
2019-05-02,8369949.949755013
2019-05-05,8369949.949755013
2019-05-07,8420255.503475891
2019-05-10,9509105.144285083
2019-05-12,9509105.144285083
2019-05-15,8608997.713486403
2019-05-30,8650690.401848365
2019-06-04,8795018.361888805
2019-06-14,8795018.361888805
2019-06-19,9743103.404028712
2019-06-24,9743103.404028712
2019-06-26,9743103.404028712
2019-06-29,10244139.630535364
2019-07-01,10244139.630535364
2019-07-04,10059229.936407585
2019-07-06,10289355.459886484
2019-07-09,10289355.459886484
2019-07-14,10344745.538643472
2019-07-16,10354831.383399695
2019-07-19,10329625.379240327
2019-07-21,10405329.457985228
2019-07-24,10059229.936407585
2019-07-26,10059229.936407585
2019-07-29,10059229.936407585
2019-07-31,10114038.75235084
2019-08-03,10089108.41032995
2019-08-05,9954981.300066194
2019-08-08,9954981.300066194
2019-09-12,9664808.805327054
2019-09-14,9664808.805327054
2019-09-17,9910458.62272179
2019-09-19,9910458.62272179
2019-09-22,9910458.62272179
2019-09-27,9856168.622405019
2019-09-29,9743103.404028712
2019-10-02,9743103.404028712
2019-10-04,9509105.144285083
