date,value
2019-02-13,2822900
2019-02-15,2837900
2019-02-18,2802000
2019-02-20,2776300
2019-02-23,2746100
2019-02-25,2754300
2019-03-07,2711200
2019-03-20,2743100
2019-03-22,2766200
2019-03-27,2772200
2019-03-30,2869200
2019-04-01,2865700
2019-04-11,2917100
2019-04-14,2953300
2019-04-19,3023800
2019-05-01,3013100
2019-05-06,2867300
2019-05-14,2881900
2019-05-16,2881900
2019-05-31,2816900
2019-06-25,2942300
2019-06-28,2961900
2019-06-30,2961900
2019-07-03,2975100
2019-07-05,2955600
2019-07-08,2979500
2019-07-10,2967600
2019-07-13,2979500
2019-07-15,2958100
2019-07-23,2960900
2019-07-25,2937900
2019-07-28,2931800
2019-08-02,2937700
2019-08-04,2902500
2019-08-12,2909000
2019-08-14,2890700
2019-08-19,2906100
2019-08-22,2970000
2019-08-24,2970000
2019-08-29,2960900
2019-09-03,2955400
2019-09-06,2950600
2019-09-08,2936100
2019-09-11,2936100
2019-09-13,2925400
2019-09-16,2920700
2019-09-18,2893800
2019-09-21,2898800
2019-10-11,2657400
2019-10-13,2658700
2019-10-16,2605300
2019-12-05,2511300
2019-12-10,2701600
2019-12-20,2701600
2019-12-22,2700400
2019-12-30,2574600
2020-01-06,2501000
2020-01-16,2521900
2020-01-19,2521900
2020-01-21,2480100
2020-01-24,1863400
2020-02-05,1699900
2020-02-23,2774700
2020-03-19,2519700
2020-03-24,2610200
2020-03-26,2610200
2020-03-31,2508700
2020-04-03,2610200
2020-04-05,2666800
2020-04-08,2666800
2020-04-10,2713100
2020-04-13,2668100
2020-04-15,2676500
2020-04-23,2662200
2020-05-18,2933700
2020-05-20,2919100
2020-05-25,2835400
2020-05-28,2897900
2020-05-30,2831700
2020-06-02,2858100
2020-06-24,2816100
2020-07-04,2842500
2020-07-07,2864500
2020-07-09,2864700
2020-07-14,2922700
2020-07-19,2884100
2020-07-22,2909400
2020-07-24,2874000
2020-07-27,2917200
2020-07-29,2892300
2020-08-08,2869800
2020-08-18,2877900
2020-09-10,2952700
2020-09-12,2897100
2020-09-15,2881200
2020-09-17,2854800
2020-11-06,2681400
2020-11-09,2681400
2020-11-11,2681400
2020-11-14,2658900
2020-11-19,2653300
2020-11-21,2617100
2020-11-26,2666900
2020-11-29,2560900
2021-01-10,2680700
2021-01-18,2680700
2021-02-14,2697300
2021-02-17,2746300
2021-02-24,2738400
2021-02-27,2734500
2021-03-01,2722300
2021-03-04,2722300
2021-03-06,2748800
2021-03-09,2755500
2021-03-14,2776000
2021-03-24,2746600
2021-03-29,2790900
2021-03-31,2749400
2021-04-03,2788600
2021-04-05,2780500
2021-04-08,2805700
2021-04-13,2838100
2021-04-15,2835700
2021-04-18,2835700
2021-04-23,2804500
2021-04-25,2804500
2021-05-03,2855500
2021-05-08,2872000
2021-05-30,2920300
2021-06-14,2853900
2021-06-19,2842000
2021-07-19,2851700
2021-07-22,2887200
2021-07-29,2880900
2021-08-11,2841300
2021-08-13,2841300
2021-08-26,2883900
2021-08-28,2885100
2021-09-02,2885100
2021-09-05,2885100
2021-09-12,2883400
2021-09-22,2869900
2021-09-30,2856000
2021-10-07,2829600
2021-10-10,2874200
2021-10-12,2871400
2021-10-15,2884300
2021-10-17,2848400
2021-10-22,2867600
2021-10-27,2766500
2021-11-09,2833100
2021-11-19,2830400
2021-11-29,2706800
2021-12-14,2655700
2021-12-21,2713000
2022-01-13,2779400
2022-01-15,2737000
2022-01-18,2706900
2022-01-23,2730300
2022-01-25,2711400
2022-02-09,2654500
2022-02-12,2654500
2022-02-27,2720700
2022-03-06,2772700
2022-03-09,2772700
2022-03-24,2854200
2022-03-26,2854200
2022-04-10,2814700
2022-04-15,2822400
2022-04-20,2822400
2022-05-10,2877000
2022-05-15,2851200
2022-05-28,2965200
2022-05-30,2965800
2022-06-02,2947300
2022-06-04,2917000
2022-06-14,2902300
2022-06-17,2978400
2022-06-19,2978400
2022-06-24,2978400
2022-06-27,2979500
2022-06-29,2957800
2022-07-02,2955700
2022-07-04,2955700
2022-07-12,2999900
2022-07-14,3005700
2022-07-17,3005700
2022-07-19,2941300
2022-07-24,2931300
2022-08-01,2951400
2022-08-03,2909800
2022-08-06,2919300
2022-08-08,2917200
2022-08-11,2917200
2022-08-13,2906200
2022-08-18,2912600
2022-08-28,2849300
