date,value
2019-01-25,70525503.2352623
2019-02-14,67317067.91986145
2019-02-19,60697365.665057085
2019-03-01,55300689.86832307
2019-03-16,50175664.618181966
2019-03-21,49504653.93587669
2019-03-26,51465672.886070125
2019-03-31,48795562.500955336
2019-04-15,45299435.86901756
2019-04-30,64844318.15806598
2019-05-10,60091639.554327354
2019-05-15,52464760.03001262
2019-05-30,48754609.668376066
2019-06-04,47339244.59864032
2019-06-19,73912800.97245705
2019-06-29,77747254.73573963
2019-07-04,77837964.05139023
2019-07-14,77863887.18260723
2019-07-19,82812327.49585272
2019-07-24,81976472.1795275
2019-07-29,86933357.64145386
2019-08-03,80631625.43513186
2019-08-08,82292899.65957503
2019-08-18,81849131.90229899
2019-08-23,78642857.34905885
2019-09-07,79702727.03190498
2019-09-12,74772827.35453144
2019-09-17,74636374.52138907
2019-09-27,77781806.69510058
2019-10-07,77018488.04650074
2019-12-06,87376740.8751761
2020-02-09,77894134.30856551
2020-02-24,68562365.71618997
2020-03-15,69606343.27767514
2020-03-20,74308360.26539278
2020-04-04,40244789.4626468
2020-04-09,41451653.29915688
2020-04-14,44252410.19890902
2020-04-24,52735521.94767149
2020-04-29,71221587.1189818
2020-05-04,75208299.85924338
2020-06-23,91963688.63709964
2020-07-08,89898235.16879672
2020-07-23,89387596.46438886
2020-08-02,88508586.8876889
2020-08-07,86732057.32499962
2020-08-22,87811862.69136938
2020-08-27,82561287.53503169
2020-09-16,86606878.79564501
2020-10-11,89970612.80097383
2020-11-10,82350073.74655358
2021-02-08,86848346.05417857
2021-02-23,82944551.21024163
2021-02-28,84097726.09197408
2021-03-10,76369192.65468796
2021-03-25,64591746.699265026
2021-03-30,57786391.357704155
2021-04-04,58775353.74770152
2021-04-09,55459630.063956775
2021-04-14,50514129.04777873
2021-04-19,49643118.55940039
2021-06-13,81537633.94057041
2021-07-23,88562599.89109218
2021-07-28,89324395.98954855
2021-08-12,86240615.82444191
2021-09-06,84266043.53813572
2021-09-11,77665213.422342
2021-10-01,73500945.18798536
2021-10-16,90391674.69270103
2021-11-20,83588997.62956534
2021-12-20,85767886.85638872
2022-01-14,86723114.09286845
2022-01-19,87856759.72141175
2022-01-24,89369537.73381548
2022-01-29,82354472.27681269
2022-02-08,80356524.09084022
2022-02-13,79185259.1271258
2022-02-23,70898434.21849383
2022-02-28,68085729.93110351
2022-03-05,61802167.08354024
2022-03-25,49965430.45436045
2022-04-14,55855671.61874158
2022-05-14,62804317.066677004
2022-05-19,77264040.86362906
2022-05-29,86535374.05381079
2022-06-13,91367489.44480613
2022-06-18,89776139.97123604
2022-07-03,90364490.52761152
2022-07-08,87704139.63236427
2022-07-18,87443982.76911768
2022-07-28,85082567.71936758
2022-08-02,83672980.63796373
2022-08-12,83293061.39022563
2022-08-22,86955733.51211603
2022-09-01,79994546.25008428
