date,value
2019-01-01,1672740.7645882722
2019-01-03,1672740.7645882722
2019-01-06,1672740.7645882722
2019-01-11,1672740.7645882722
2019-01-16,1674273.8646547978
2019-02-05,1879832.416343287
2019-02-12,1879832.416343287
2019-02-15,1881437.3115347163
2019-02-17,1881437.3115347163
2019-02-20,1696565.6568701281
2019-02-22,1691944.076835658
2019-02-25,1649048.2284111264
2019-02-27,1649048.2284111264
2019-03-12,1672740.7645882722
2019-03-22,1666613.8744939412
2019-03-24,1666613.8744939412
2019-03-27,1770397.511474034
2019-03-29,1770397.511474034
2019-04-01,1770397.511474034
2019-05-01,1739160.1078726815
2019-05-06,1801852.6003880184
2019-05-13,1801852.6003880184
2019-05-16,1802641.7595447253
2019-05-23,2007442.982828805
2019-05-31,2008266.2986451434
2019-06-02,1869413.696748778
2019-06-30,1860615.6055053405
2019-07-02,1860615.6055053405
2019-07-05,1889469.8423291943
2019-07-07,1889469.8423291943
2019-07-10,1876624.2377180436
2019-07-15,1916880.723019755
2019-07-17,1902349.7911357586
2019-07-20,1939570.4980937003
2019-07-22,1937946.3282783523
2019-07-25,1949326.7194018096
2019-08-04,1859816.5863959575
2019-08-09,1858218.9520351982
2019-08-14,1817661.5185923267
2019-08-16,1817661.5185923267
2019-08-21,1863013.4703999427
2019-08-24,1867012.6030320772
2019-08-26,1883845.6613924117
2019-08-29,1883845.6613924117
2019-08-31,1882239.9605568876
2019-09-03,1881437.3115347163
2019-09-13,1768830.4643597433
2019-09-15,1768830.4643597433
2019-09-18,1768830.4643597433
2019-09-20,1748508.4224306138
2019-10-13,1852631.4735917158
2019-10-15,1852631.4735917158
2019-10-25,1852631.4735917158
2019-11-22,1704279.2734540878
2019-11-24,1704279.2734540878
2019-12-02,1704279.2734540878
2019-12-04,1704279.2734540878
2020-01-06,1471604.1784913607
2020-01-11,1471604.1784913607
2020-01-16,1525186.8073460595
2020-01-18,1525186.8073460595
2020-01-21,1525186.8073460595
2020-02-15,1657440.081868143
2020-02-20,1687327.4427904882
2020-02-22,1687327.4427904882
2020-03-21,1830347.619330896
2020-03-23,1830347.619330896
2020-03-26,1851036.2635398179
2020-03-28,1851036.2635398179
2020-03-31,1708914.0285962522
2020-04-02,1708914.0285962522
2020-04-05,1740716.795155053
2020-04-07,1722847.894653963
2020-04-10,1739160.1078726815
2020-04-12,1708914.0285962522
2020-04-15,1797908.837917695
2020-05-20,1955026.7114856655
2020-05-22,1955026.7114856655
2020-05-25,1965629.7206019042
2020-05-27,1965629.7206019042
2020-05-30,1915264.0338771068
2020-06-01,1915264.0338771068
2020-06-29,1958286.779913665
2020-07-01,1958286.779913665
2020-07-04,1970531.0007834036
2020-07-09,1995930.47048866
2020-07-11,1995930.47048866
2020-07-14,1984443.944037361
2020-07-19,1953397.4762686181
2020-07-21,1937134.4435040872
2020-07-24,1937134.4435040872
2020-07-29,1878228.058371433
2020-07-31,1889469.8423291943
2020-08-05,1797908.837917695
2020-08-08,1950954.6224585008
2020-08-10,1950954.6224585008
2020-08-15,1951768.7738438454
2020-08-20,1951768.7738438454
2020-09-12,1888665.9853403887
2020-09-14,1888665.9853403887
2020-09-17,1901543.7891101365
2020-11-06,1682715.7576487337
2020-11-08,1682715.7576487337
2020-11-11,1717423.8958361691
2020-11-18,1717423.8958361691
2020-11-21,1581766.8844411923
2020-11-23,1648286.1612748266
2020-11-28,1520016.2013079345
2021-01-10,1566799.0706411889
2021-02-14,1640673.0912619687
2021-02-19,1740716.795155053
2021-02-21,1740716.795155053
2021-02-24,1695024.5808172189
2021-02-26,1815286.7286786225
2021-03-01,1722847.894653963
2021-03-06,1790031.484670103
2021-03-21,1868613.1976940883
2021-03-23,1868613.1976940883
2021-03-26,1868613.1976940883
2021-03-28,1868613.1976940883
2021-03-31,1884648.7131810864
2021-04-02,1771965.1027990894
2021-04-05,1771965.1027990894
2021-04-07,1771965.1027990894
2021-04-15,1922543.347223395
2021-04-17,1922543.347223395
2021-04-22,1922543.347223395
2021-07-19,1739938.3832325505
2021-07-21,1739938.3832325505
2021-07-29,1761785.4897411733
2021-09-02,1906381.8104281302
2021-09-07,1906381.8104281302
2021-09-22,1704279.2734540878
2021-09-24,1704279.2734540878
2021-09-27,1704279.2734540878
2021-10-02,1704279.2734540878
2021-10-12,1692713.99678186
2021-10-14,1692713.99678186
2021-10-17,1692713.99678186
2021-10-19,1692713.99678186
2021-10-22,1715875.4142080557
2021-10-24,1654386.565830014
2021-10-27,1722847.894653963
2021-11-06,1646000.7889111333
2021-11-11,1618673.4482221454
2021-11-18,1618673.4482221454
2021-12-16,1640673.0912619687
2021-12-18,1640673.0912619687
2021-12-21,1679644.051720393
2021-12-23,1679644.051720393
2022-01-15,1547424.460710938
2022-01-17,1547424.460710938
2022-01-22,1547424.460710938
2022-01-25,1614136.3508544208
2022-01-27,1573527.6793762157
2022-01-30,1573527.6793762157
2022-02-09,1590022.9565999543
2022-02-11,1590022.9565999543
2022-02-19,1590022.9565999543
2022-03-26,1760221.4376452875
2022-04-10,1827966.3398304319
2022-04-15,1849441.5924982259
2022-04-17,1849441.5924982259
2022-04-22,1769613.9198840514
2022-04-30,1866212.5074496006
2022-05-02,1866212.5074496006
2022-05-07,1866212.5074496006
2022-05-10,1866212.5074496006
2022-06-04,1915264.0338771068
2022-06-06,1915264.0338771068
2022-06-11,1915264.0338771068
2022-06-14,1915264.0338771068
2022-06-19,1876624.2377180436
2022-06-21,1876624.2377180436
2022-06-29,1875822.5289166952
2022-07-01,1732161.7771273048
2022-07-04,1732161.7771273048
2022-07-06,1732161.7771273048
2022-07-14,1818453.3858114774
2022-07-16,1818453.3858114774
2022-07-19,1860615.6055053405
2022-07-21,1860615.6055053405
2022-07-24,1828759.9645633884
2022-07-26,1858218.9520351982
2022-07-31,1800274.6886988394
2022-08-03,1810540.8028425637
2022-08-08,1827172.8502148632
2022-08-10,1827172.8502148632
2022-08-13,1768047.1449140997
2022-08-28,1831935.8144163012
2022-08-30,1831935.8144163012
