date,value
2019-01-03,1951032778.8875492
2019-02-05,2159675862.859735
2019-02-15,2149753761.884486
2019-02-17,2159179293.9011316
2019-02-22,2184067516.012096
2019-02-25,2178830874.767001
2019-02-27,2170985992.8431406
2019-03-19,2152356422.3636265
2019-03-22,2183568556.721315
2019-03-24,2143191130.7579193
2019-03-27,2182196670.009977
2019-04-11,2213717797.8346663
2019-05-01,2212337842.603591
2019-05-13,2291454144.2585516
2019-05-16,2314550835.064859
2019-05-23,2251368287.5258203
2019-06-02,2305989686.966067
2019-06-17,2246315707.297288
2019-06-25,2286236059.938856
2019-06-27,2279371223.6909494
2019-07-02,2261234775.399368
2019-07-15,2284964128.076664
2019-07-17,2248588767.7652287
2019-07-25,2233075784.5039105
2019-08-04,2219115697.9014716
2019-08-14,2149010391.9167857
2019-08-21,2087939146.354683
2019-08-24,2215600147.843275
2019-08-26,2158558651.360196
2019-08-31,2050395329.6012294
2019-09-03,2123924519.366515
2019-09-10,2083902667.7650316
2019-09-13,2042388143.6952612
2019-09-15,2137749427.2903705
2019-09-18,2103872904.1559467
2019-09-20,2095164202.1206656
2019-10-13,1950200758.863371
2019-12-02,1895975649.8696551
2019-12-04,1824117482.760757
2019-12-14,1866016856.7791414
2019-12-29,1961386258.1019819
2020-01-06,2008808083.117422
2020-01-16,1968301589.8009012
2020-01-21,2001351484.7963662
2020-01-23,2006160836.3165267
2020-02-07,2097002781.8600202
2020-02-15,2118503801.0505114
2020-02-22,2168000649.2274
2020-03-13,2184816046.3387246
2020-03-28,2155704678.3217425
2020-03-31,2193557001.6496625
2020-04-02,2170488313.603676
2020-04-05,2180077206.5930724
2020-04-07,2207824198.087204
2020-04-10,2216102223.370764
2020-04-15,2226153946.0151777
2020-04-20,2232320228.3981504
2020-04-22,2243917432.141582
2020-05-07,2213466869.5188127
2020-05-12,2125403924.909446
2020-05-17,2246568221.030346
2020-05-20,2274164929.197766
2020-05-27,2284964128.076664
2020-06-01,2231690681.8200173
2020-06-24,2256172733.6728487
2020-07-06,2237863511.539028
2020-07-09,2338003350.291102
2020-07-19,2268963725.740459
2020-07-24,2258829700.7825694
2020-07-29,2291581478.144973
2020-07-31,2237233296.9854765
2020-08-05,2270105017.1279
2020-08-08,2282421172.3259797
2020-08-10,2245053320.675172
2020-08-15,2229047415.2906957
2020-08-20,2230431816.431329
2020-09-04,2227160187.8492546
2020-09-07,2246063205.700177
2020-09-09,2165389914.4999256
2020-09-12,2167876298.027973
2020-09-14,2230683565.212998
2020-09-17,2201436616.410032
2020-11-06,2030402491.3615339
2020-11-18,1907969154.9525697
2020-11-21,1981206132.5672781
2020-11-28,1827468325.4412558
2021-01-10,2114073073.9644685
2021-02-21,2148638748.155052
2021-02-24,2184940812.0550585
2021-03-01,2122938493.6989994
2021-03-06,2174222096.9442883
2021-03-23,2213968738.312199
2021-03-28,2212463277.876172
2021-03-31,2197432762.7466607
2021-04-02,2354080903.5866957
2021-04-25,2344943073.517833
2021-04-27,2306883500.678788
2021-05-30,2212337842.603591
2021-06-01,2271500262.0514407
2021-06-14,2288271780.368969
2021-06-16,2268710138.7568946
2021-07-01,2173101673.8409967
2021-07-19,2203940607.2948174
2021-07-21,2252379385.957983
2021-08-10,2209202949.079664
2021-08-25,2151736619.1752324
2021-09-02,2263260950.101364
2021-09-07,2237107263.181973
2021-09-22,2206320525.8365684
2021-09-24,2207573555.6283226
2021-09-27,2203064072.047047
2021-10-04,2112966011.9530346
2021-10-14,2141335340.0658152
2021-10-19,2102890869.9266539
2021-10-22,2095409306.2459123
2021-10-24,2049181258.605085
2021-12-18,1906674182.358322
2021-12-23,1936316609.6782076
2022-01-10,2092836324.3803213
2022-01-15,2062187768.7330685
2022-01-25,2045540890.5015867
2022-02-09,2108786015.4418066
2022-02-26,2174969182.8571577
2022-03-06,2215223623.1180453
2022-03-08,2221628264.004347
2022-03-23,2235217120.4384794
2022-03-26,2214345171.8312078
2022-03-28,2281785622.567299
2022-04-15,2194306920.648069
2022-04-17,2288780831.514935
2022-04-22,2252252988.038896
2022-04-27,2258829700.7825694
2022-05-15,2267822679.7490387
2022-06-11,2230305946.5961437
2022-06-16,2310971392.020712
2022-06-21,2194181926.5374336
2022-06-29,2221251301.593405
2022-07-06,2247957263.4834065
2022-07-11,2282802538.5052156
2022-07-14,2281658521.696789
2022-07-16,2303691988.9265246
2022-07-19,2279625319.475269
2022-07-24,2276196048.25592
2022-07-31,2220120578.4651327
2022-08-03,2259082814.998352
2022-08-08,2242781789.398979
2022-08-10,2250231033.814735
2022-08-13,2209955150.1849465
