date,value
2019-01-01,724900
2019-02-15,736100
2019-02-20,728100
2019-02-25,768700
2019-03-22,715600
2019-03-27,755000
2019-05-01,764600
2019-05-06,744100
2019-05-16,800800
2019-05-31,761700
2019-06-25,740100
2019-06-30,783600
2019-07-05,793300
2019-07-10,805200
2019-07-25,788800
2019-08-04,766200
2019-08-14,786600
2019-08-24,783600
2019-08-29,750000
2019-09-03,747300
2019-09-13,733900
2019-10-13,747400
2020-01-06,712100
2020-01-16,705200
2020-02-15,667700
2020-02-20,729900
2020-03-26,715000
2020-03-31,719600
2020-04-05,742700
2020-04-10,751800
2020-04-15,759200
2020-05-20,801300
2020-05-25,771400
2020-05-30,777400
2020-07-04,815700
2020-07-09,887900
2020-07-19,791300
2020-07-24,813500
2020-07-29,775900
2020-08-08,816300
2020-09-12,781900
2020-09-17,746900
2020-11-06,736100
2020-11-11,729000
2020-11-21,697900
2021-01-10,699500
2021-02-14,729500
2021-02-24,733800
2021-03-01,679500
2021-03-26,675800
2021-03-31,638500
2021-04-15,671400
2021-06-14,783200
2021-07-19,748500
2021-09-22,701700
2021-10-27,684600
2021-11-06,715500
2021-12-16,677200
2021-12-21,661500
2022-01-15,609900
2022-01-25,609300
2022-02-09,637900
2022-03-06,568300
2022-03-26,635300
2022-04-15,728800
2022-06-14,713900
2022-06-19,780800
2022-06-29,759200
2022-07-14,792300
2022-07-19,795500
2022-07-24,769600
2022-08-03,758800
2022-08-08,749400
2022-08-13,747300
