date,value
2019-01-05,5419988.078692028
2019-01-07,5419988.078692028
2019-01-10,5389692.352215805
2019-01-12,5389692.352215805
2019-01-15,2139342.31307301
2019-01-17,2139342.31307301
2019-01-20,2139342.31307301
2019-01-22,2519685.6402443754
2019-01-23,2519685.6402443754
2019-01-25,1683868.4964201155
2019-01-27,2115766.570985974
2019-01-28,2115766.570985974
2019-01-30,4153094.7716762125
2019-02-04,2693974.7551947813
2019-02-06,2693974.7551947813
2019-02-09,2693974.7551947813
2019-02-11,5271977.155326178
2019-02-12,5271977.155326178
2019-02-14,2022171.8173954186
2019-02-16,1944670.9649650462
2019-02-17,1944670.9649650462
2019-02-19,1944670.9649650462
2019-02-21,1743925.692908748
2019-02-22,1743925.692908748
2019-02-27,1743925.692908748
2019-03-01,1738341.1106610126
2019-03-03,249938.11196244438
2019-03-08,249938.11196244438
2019-03-11,310016.2431944259
2019-03-13,310016.2431944259
2019-03-16,237434.40831882128
2019-03-18,305811.1031558998
2019-03-19,305811.1031558998
2019-03-21,243993.7938017737
2019-03-23,243993.7938017737
2019-03-24,243993.7938017737
2019-03-26,243993.7938017737
2019-03-28,254587.95431630875
2019-03-29,254587.95431630875
2019-03-31,218049.10624475213
2019-04-02,265975.6284523449
2019-04-05,218688.08478757166
2019-04-07,225749.8729132567
2019-04-08,225749.8729132567
2019-04-13,225749.8729132567
2019-04-15,199116.92321274802
2019-04-17,262612.41832216876
2019-04-18,262612.41832216876
2019-04-20,262612.41832216876
2019-04-22,261270.36343236623
2019-04-27,261270.36343236623
2019-04-30,490752.0339850191
2019-05-02,493137.0312629907
2019-05-05,493137.0312629907
2019-05-07,493137.0312629907
2019-05-10,722402.8004378598
2019-05-12,722402.8004378598
2019-05-13,722402.8004378598
2019-05-15,722402.8004378598
2019-05-23,722402.8004378598
2019-06-04,1132311.86889114
2019-06-06,1132311.86889114
2019-06-07,1132311.86889114
2019-06-11,1132311.86889114
2019-06-12,1132311.86889114
2019-06-19,1315104.171877192
2019-06-22,1315104.171877192
2019-06-24,1372397.8959498568
2019-06-26,1372397.8959498568
2019-06-27,1372397.8959498568
2019-06-29,1362977.688145089
2019-07-01,1362977.688145089
2019-07-02,1362977.688145089
2019-07-04,1368208.9823394497
2019-07-06,1495354.4778429517
2019-07-07,1495354.4778429517
2019-07-11,1606867.491033951
2019-07-12,1606867.491033951
2019-07-14,5389692.352215805
2019-07-19,5350376.304865215
2019-07-21,5385151.935301786
2019-07-22,5385151.935301786
2019-07-24,5320185.955454416
2019-07-26,5320185.955454416
2019-07-29,1688297.7182897718
2019-07-31,1688297.7182897718
2019-08-03,1611241.3490193873
2019-08-05,1623285.9265362243
2019-08-06,1623285.9265362243
2019-08-08,1611241.3490193873
2019-08-10,1605774.526404703
2019-08-11,1605774.526404703
2019-08-15,2166541.048934874
2019-08-16,2166541.048934874
2019-08-18,2155887.060049154
2019-08-20,2487665.3331195773
2019-08-21,2487665.3331195773
2019-08-23,2154704.1559817335
2019-08-25,2428841.6787524796
2019-08-26,2428841.6787524796
2019-08-30,2428841.6787524796
2019-08-31,2428841.6787524796
2019-09-02,1482503.9377532296
2019-09-04,1579603.5424689674
2019-09-05,1579603.5424689674
2019-09-07,1515762.012701425
2019-09-09,1870269.1212246341
2019-09-12,1533004.8579816436
2019-09-14,1533004.8579816436
2019-09-15,1533004.8579816436
2019-09-17,1733876.9162298907
2019-09-19,1733876.9162298907
2019-09-25,1839594.514530722
2019-09-27,1810185.4521323303
2019-09-29,2192643.4757061256
2019-09-30,2192643.4757061256
2019-10-02,2068826.8146395646
2019-10-05,2357059.695579734
2019-10-07,2251081.4031318226
2019-10-10,2251081.4031318226
2019-10-19,2781016.2349730874
2019-10-27,2948293.8697305033
2019-10-29,2948293.8697305033
2019-10-30,2948293.8697305033
2019-11-06,3162669.2584485714
2019-11-08,3162669.2584485714
2019-11-09,3162669.2584485714
2019-11-13,3062123.9709184947
2019-11-16,4157328.8287414517
2019-11-26,4171450.7289237706
2019-11-28,4171450.7289237706
2019-11-29,4171450.7289237706
2019-12-06,5357931.067772938
2019-12-08,5357931.067772938
2019-12-09,5357931.067772938
2019-12-13,5357931.067772938
2019-12-21,5397262.000470795
2019-12-23,5211882.561959679
2019-12-26,5211882.561959679
2019-12-28,5211882.561959679
2019-12-29,5211882.561959679
2020-01-05,5868990.177310272
2020-01-08,5868990.177310272
2020-01-12,5868990.177310272
2020-01-13,5868990.177310272
2020-01-25,6210775.646044768
2020-01-27,6210775.646044768
2020-01-30,6243821.594754146
2020-02-04,6176206.73891189
2020-02-07,6176206.73891189
2020-02-09,6144825.552449989
2020-02-11,6240672.329897101
2020-02-12,6240672.329897101
2020-02-14,5968333.579042406
2020-02-19,5895334.4939337745
2020-02-22,6272184.196505311
2020-02-24,5859699.765205298
2020-02-26,5859699.765205298
2020-03-03,5858151.748157038
2020-03-07,5858151.748157038
2020-03-08,5858151.748157038
2020-03-10,5858151.748157038
2020-04-04,6409755.752971276
2020-04-06,6411341.694586711
2020-04-07,6411341.694586711
2020-04-09,6424033.025732885
2020-04-11,6424033.025732885
2020-04-14,6416100.152590659
2020-04-24,6613609.983235982
2020-04-26,6642414.245958503
2020-04-29,6803048.626485269
2020-05-04,6844982.216236365
2020-05-06,6844982.216236365
2020-05-09,6844982.216236365
2020-05-14,6882135.018544362
2020-05-19,6945256.658903631
2020-05-21,6940395.647709908
2020-05-22,6940395.647709908
2020-05-24,6953360.378186184
2020-05-26,6953360.378186184
2020-05-31,6953360.378186184
2020-06-01,6953360.378186184
2020-06-03,6953360.378186184
2020-06-05,6854669.035172429
2020-06-06,6854669.035172429
2020-06-08,6874053.72164305
2020-06-10,6793381.494535866
2020-06-15,6793381.494535866
2020-06-23,6963088.195671832
2020-06-25,6963088.195671832
2020-06-26,6963088.195671832
2020-06-28,6967953.475958074
2020-06-30,6967953.475958074
2020-07-01,6967953.475958074
2020-07-03,6882135.018544362
2020-07-05,6882135.018544362
2020-07-06,6882135.018544362
2020-07-08,6895070.404041609
2020-07-10,6798214.59828946
2020-07-11,6798214.59828946
2020-07-15,6898305.27110361
2020-07-16,6898305.27110361
2020-07-18,6898305.27110361
2020-07-20,6778887.732967699
2020-07-21,6778887.732967699
2020-07-23,6938775.514107093
2020-07-25,6935535.552159946
2020-07-26,6935535.552159946
2020-07-30,6935535.552159946
2020-07-31,6935535.552159946
2020-08-02,6935535.552159946
2020-08-04,6935535.552159946
2020-08-05,6935535.552159946
2020-08-07,6786938.794744093
2020-08-09,6788549.31552829
2020-08-10,6788549.31552829
2020-08-12,6788549.31552829
2020-08-14,6788549.31552829
2020-08-15,6788549.31552829
2020-08-17,6788549.31552829
2020-08-19,6597622.1750159925
2020-08-20,6597622.1750159925
2020-08-22,6759575.678194798
2020-08-24,6693704.838708205
2020-08-25,6693704.838708205
2020-08-27,6692100.402195217
2020-09-01,6613609.983235982
2020-09-03,6613609.983235982
2020-09-04,6613609.983235982
2020-09-06,6612010.734084213
2020-09-08,6143257.6223463975
2020-09-09,6143257.6223463975
2020-09-13,6628007.905586646
2020-09-14,6628007.905586646
