date,value
2019-04-30,675900
2019-05-10,792600
2019-05-15,809100
2019-05-30,874900
2019-06-19,1033300
2019-06-29,1078300
2019-07-14,995100
2019-07-19,907200
2019-07-24,863300
2019-07-29,828800
2019-08-03,858900
2019-08-08,865400
2019-09-12,904800
2019-09-17,927100
2019-09-27,958800
2019-11-16,956900
2019-12-06,959100
2020-01-15,1046100
2020-01-25,1040500
2020-02-14,985300
2020-02-24,1025100
2020-04-04,589900
2020-04-09,717500
2020-04-14,870700
2020-05-04,895900
2020-05-09,783800
2020-05-24,936800
2020-05-29,908100
2020-07-08,821500
2020-07-18,784900
2020-07-23,771200
2020-08-07,740200
2020-08-27,838500
2020-09-01,942800
2020-09-06,957500
2020-11-10,1026500
2020-11-25,1007200
2020-11-30,914900
2021-03-05,1039900
2021-03-30,965500
2021-04-09,126300
2021-04-24,985600
2021-06-13,929000
2021-07-23,774200
2021-08-12,828300
2021-08-17,843000
2021-08-27,761000
2021-09-21,717700
2021-10-01,807100
2021-10-16,979700
2021-10-21,981200
2021-10-26,937300
2021-11-05,987900
2021-11-20,934100
2021-11-30,948900
2022-01-24,1072400
2022-01-29,1029500
2022-02-18,1034700
2022-04-14,719300
2022-04-19,769700
2022-04-29,979100
2022-05-14,670300
2022-05-19,789100
2022-05-29,816900
2022-07-03,819300
2022-07-08,726000
2022-07-13,765700
2022-07-18,775500
2022-08-02,666100
2022-08-12,753400
2022-09-01,866300
