date,value
2018-01-02,2685100
2018-01-04,0
2018-01-12,2886600
2018-01-17,2942600
2018-01-19,1920500
2018-01-22,2819000
2018-01-24,2837300
2018-01-27,2856000
2018-01-29,0
2018-02-08,2601000
2018-02-11,2698500
2018-02-13,2869000
2018-02-16,432600
2018-02-18,186300
2018-02-21,1403400
2018-02-26,0
2018-03-28,4356800
2018-04-02,585400
2018-04-04,0
2018-04-14,1004500
2018-04-17,560000
2018-04-19,4707300
2018-04-22,3872500
2018-04-24,3796400
2018-04-27,3709300
2018-04-29,0
2018-05-02,90800
2018-05-04,0
2018-05-07,1863500
2018-06-01,20100
2018-06-03,313500
2018-06-08,0
2018-06-13,4075500
2018-06-16,1200
2018-06-21,60200
2018-06-23,4685400
2018-06-26,279300
2018-06-28,4906900
2018-07-01,5400
2018-07-03,4819100
2018-07-06,0
2018-07-08,4947300
2018-07-11,205200
2018-07-13,4819900
2018-07-16,76100
2018-07-18,4694900
2018-07-21,3419500
2018-07-23,4755300
2018-07-26,2815800
2018-07-28,4801600
2018-07-31,3560200
2018-08-02,4784000
2018-08-05,1317600
2018-08-07,4975300
2018-08-10,2368000
2018-08-12,5013600
2018-08-15,0
2018-08-17,4855800
2018-08-20,11000
2018-08-22,4755600
2018-08-25,4856800
2018-08-27,4794500
2018-08-30,4808500
2018-09-01,5010600
2018-09-04,4968900
2018-09-06,4604500
2018-09-09,2460200
2018-09-11,2740800
2018-09-16,1426900
2018-09-19,4869500
2018-09-21,4803700
2018-09-24,4936400
2018-09-26,207100
2018-09-29,4807800
2018-10-01,4887300
2018-10-04,5015000
2018-10-06,4813600
2018-10-09,4732000
2018-10-16,134200
2018-10-19,0
2018-10-24,5658000
2018-10-29,5317600
2018-11-03,4286400
2018-11-05,0
2018-11-13,0
2018-11-15,705000
2018-11-28,5740700
2018-11-30,739900
2018-12-03,15300
2018-12-05,5746800
2018-12-08,324400
2018-12-10,5016100
2018-12-13,0
2018-12-15,5860400
2018-12-20,5245400
2018-12-23,5608700
2018-12-28,4890400
2018-12-30,5216800
2019-01-02,5613000
2019-01-04,2158700
2019-01-07,5657600
2019-01-09,5672800
2019-01-12,5319200
2019-01-14,5251900
2019-01-17,0
2019-01-22,6027100
2019-01-27,5990900
2019-01-29,139600
2019-02-01,1050700
2019-02-03,6102100
2019-02-06,5959900
2019-02-08,5761200
2019-02-13,6158700
2019-02-21,4133900
2019-02-26,6189100
2019-02-28,5764200
2019-03-03,6125900
2019-03-08,610200
2019-03-10,5958800
2019-03-13,6063900
2019-03-15,6098800
2019-03-18,520900
2019-03-20,2156400
2019-03-23,2345100
2019-03-25,6055600
2019-03-28,6187500
2019-03-30,5314300
2019-04-04,0
2019-04-09,4125400
2019-04-12,6034600
2019-04-14,5933200
2019-04-19,904700
2019-04-22,622100
2019-04-27,5533500
2019-04-29,4521200
2019-05-02,0
2019-05-04,54300
2019-05-07,5417700
2019-05-12,4430100
2019-05-14,5881400
2019-05-19,5917300
2019-05-22,796300
2019-05-24,4974700
2019-05-27,3615100
2019-05-29,5944200
2019-06-01,400
2019-06-03,0
2019-06-06,3434900
2019-06-08,5918900
2019-06-11,199000
2019-06-13,147900
2019-06-18,5929600
2019-06-21,15200
2019-06-23,5802700
2019-06-26,4700
2019-06-28,5726600
2019-07-01,129400
2019-07-03,5885600
2019-07-08,5685300
2019-07-11,19000
2019-07-13,5318200
2019-07-16,7500
2019-07-18,5775100
2019-07-21,262500
2019-07-23,5769200
2019-07-26,857300
2019-07-28,5619600
2019-07-31,865900
2019-08-02,5647600
2019-08-05,5283400
2019-08-07,0
2019-08-10,21300
2019-08-12,34200
2019-08-15,5129600
2019-08-17,5641600
2019-08-20,5708700
2019-08-22,5310600
2019-08-25,429000
2019-08-27,5693200
2019-08-30,5764300
2019-09-01,5646800
2019-09-04,0
2019-09-06,5727600
2019-09-09,5749900
2019-09-11,5680500
2019-09-16,5375800
2019-09-19,5609100
2019-09-24,5505600
