date,value
2018-01-02,77141851.86476536
2018-01-04,80166284.24357682
2018-01-07,78141673.16599247
2018-01-12,79175889.0483824
2018-01-17,81210903.36538409
2018-01-19,80632092.84956487
2018-01-22,82237659.36000794
2018-01-24,81250426.92674199
2018-01-27,81145047.55211914
2018-02-01,80964052.3032737
2018-02-06,66648800.03186539
2018-02-08,79126985.28697996
2018-02-11,79518547.61868045
2018-02-13,79394470.7328895
2018-02-16,80356416.01306951
2018-02-18,80484362.70454767
2018-02-21,80126968.72940548
2018-02-26,80290833.34766574
2018-03-20,41286069.36031044
2018-03-25,41286069.36031044
2018-03-28,129890406.99534282
2018-04-02,132059939.95782502
2018-04-04,131677461.10857664
2018-04-07,130901893.30603126
2018-04-14,137002951.25044763
2018-04-17,141832498.43345508
2018-04-19,139996382.6984145
2018-04-22,139996382.6984145
2018-04-24,140396336.44994104
2018-04-27,141865298.3700786
2018-04-29,139429870.3925339
2018-05-02,141160756.55150965
2018-05-04,140555626.3760881
2018-05-07,141877599.1144344
2018-05-09,134319805.76394153
2018-05-12,134705278.88097316
2018-05-14,138799212.71242982
2018-05-19,140126930.5558815
2018-05-22,127255347.83411312
2018-05-29,28733.31147196229
2018-06-01,51.4026548108812
2018-06-03,140862152.54959497
2018-06-06,140862152.54959497
2018-06-08,140862152.54959497
2018-06-11,140862152.54959497
2018-06-13,142218085.82315266
2018-06-16,141193495.37884966
2018-06-21,4296898.3401163565
2018-06-23,143011058.91241118
2018-06-26,25390469.655531965
2018-06-28,12926569.324145
2018-07-01,13014682.442644898
2018-07-03,131554045.41418046
2018-07-06,947067.6782656645
2018-07-08,128621510.65276393
2018-07-11,119489624.17868714
2018-07-13,132490749.40345328
2018-07-16,4250288.637955733
2018-07-18,131510263.67688382
2018-07-21,6880454.453248165
2018-07-23,131327238.4461673
2018-07-26,30735872.99420107
2018-07-28,134002919.0844338
2018-07-31,34382394.996136844
2018-08-02,133014044.77926213
2018-08-05,70447596.11607064
2018-08-07,129494587.48405807
2018-08-10,129186177.79766063
2018-08-12,130258944.90311511
2018-08-15,130655679.74034134
2018-08-17,131088660.39477427
2018-08-20,131808889.05640149
2018-08-22,131192023.2934216
2018-08-25,134039005.25705594
2018-08-27,135658772.56466982
2018-08-30,138096644.40004644
2018-09-01,136001386.28762978
2018-09-04,135896550.75725326
2018-09-06,130957515.1167401
2018-09-09,130957515.1167401
2018-09-11,130433449.83842556
2018-09-16,133173991.08103499
2018-09-19,132474783.66987504
2018-09-21,130544546.21267664
2018-09-24,131458529.00484914
2018-09-26,130270840.05135801
2018-09-29,127892439.7265394
2018-10-01,128175992.72782896
2018-10-04,130207404.19166441
2018-10-06,127797976.88711256
2018-10-09,128404589.78996867
2018-10-14,129526235.57950887
2018-10-16,81877222.8169866
2018-10-19,82393268.80347627
2018-10-24,130647740.39923841
2018-10-29,133562174.36148511
2018-11-03,127593401.47698641
2018-11-05,127023631.12011091
2018-11-10,8357150.334309146
2018-11-13,72738650.83718999
2018-11-15,95580860.38741046
2018-11-20,94554317.82033479
2018-11-23,94554317.82033479
2018-11-28,102877047.99946772
2018-11-30,103408833.83038026
2018-12-03,114585592.79903007
2018-12-05,125332053.14616643
2018-12-08,129308716.28561532
2018-12-10,131936383.52268001
2018-12-13,131788972.42027849
2018-12-15,134500442.25554618
2018-12-18,133954810.12535822
2018-12-20,131207928.11832419
2018-12-23,130334288.04823698
2018-12-28,129122949.98433745
2018-12-30,131896536.30048053
2019-01-02,134508472.75736877
2019-01-04,136190977.25226647
2019-01-07,132710354.87781943
2019-01-09,133606223.16289034
2019-01-12,132914116.68909357
2019-01-14,131996163.22125179
2019-01-17,133714367.13768163
2019-01-22,134215481.48558624
2019-01-24,134616902.96543863
2019-01-27,136901856.2267895
2019-01-29,134323818.8720818
2019-02-03,136231329.14043593
2019-02-06,136247471.21055683
2019-02-08,137492665.36328614
2019-02-11,139022865.9064283
2019-02-13,135932836.38535726
2019-02-16,136715917.98914328
2019-02-21,137197135.86355236
2019-02-26,137792498.11479914
2019-02-28,133902699.74473408
2019-03-03,138169678.70302236
2019-03-10,135364798.884932
2019-03-13,138852063.4280139
2019-03-15,138405114.63189873
2019-03-18,138746369.9011242
2019-03-20,138709791.04703036
2019-03-23,139189681.21252748
2019-03-25,138933387.65412486
2019-03-28,139181542.05739254
2019-03-30,138234610.81757864
2019-04-02,138555388.77111188
2019-04-04,139201890.29579964
2019-04-12,143126245.47410664
2019-04-14,137906015.2446701
2019-04-19,140041253.1327991
2019-04-22,141316292.54202205
2019-04-27,147026797.08903003
2019-04-29,140008619.52940822
2019-05-02,140008619.52940822
2019-05-07,125574278.18617103
2019-05-09,121956368.81862506
2019-05-12,87094756.87395366
2019-05-14,23571035.15252183
2019-05-19,104450183.79210708
2019-05-22,96742242.12349734
2019-05-24,57194956.75071477
2019-05-27,50193876.97497767
2019-05-29,133902699.74473408
2019-06-01,23755662.01167315
2019-06-06,12042873.738640336
2019-06-08,125015874.72773813
2019-06-11,4766320.637060826
2019-06-16,16553520.052997988
2019-06-18,126043622.59425075
2019-06-21,1442.099538915823
2019-06-23,127652400.40126371
2019-06-26,2291032.942034846
2019-06-28,126380409.06397454
2019-07-01,2291843.772169343
2019-07-03,126302055.1265774
2019-07-06,21337591.824357536
2019-07-08,127841268.9516146
2019-07-11,24974657.373443563
2019-07-13,127125723.1245819
2019-07-16,24536846.6127314
2019-07-18,124357204.46112284
2019-07-21,10511957.022659607
2019-07-23,123898115.26139206
2019-07-26,124988565.39644377
2019-07-28,125050990.16894233
2019-07-31,122114821.32143854
2019-08-02,124166484.74525967
2019-08-05,120487788.59930015
2019-08-07,120349386.70051992
2019-08-10,120837916.39478053
2019-08-12,123668820.85989727
2019-08-15,119777221.4203904
2019-08-17,121234696.2503717
2019-08-20,119942232.98062469
2019-08-22,118685797.63328707
2019-08-25,116552696.49300554
2019-08-27,116586858.24190417
2019-08-30,116507153.61246556
2019-09-01,115790775.98239061
2019-09-04,116055898.63624288
2019-09-06,117206245.83174962
2019-09-09,117575450.08743027
2019-09-11,115420004.56146397
2019-09-14,114521505.8177045
2019-09-16,114611985.6496818
2019-09-19,112953904.31780991
2019-09-24,108974167.25352356
2019-09-26,107400215.30187657
2019-09-29,104657490.05758789
2019-10-01,105349676.49747835
2019-10-04,105284024.0913141
2019-10-06,106688092.5394108
2019-10-09,106798092.9517318
2019-10-16,108014717.79695779
2019-10-21,108501406.36608747
2019-10-24,106383990.15180923
2019-10-26,105090807.60611244
2019-10-29,104515631.48376782
2019-11-03,105025218.63309129
2019-11-05,104661128.45077944
2019-11-08,33778297.55515944
2019-11-15,33878688.213943034
2019-11-18,92039917.74475761
2019-11-23,92732799.42740434
2019-11-28,100954331.40601252
2019-11-30,107775376.48021114
2019-12-03,107606122.52457856
2019-12-05,108257954.64176357
2019-12-08,107664981.61303717
2019-12-10,106343713.02021247
2019-12-15,105007002.32876572
2019-12-18,104952360.86391737
2019-12-23,116510948.58544296
2019-12-25,114506428.57493323
2019-12-28,107462706.47389989
2019-12-30,112335976.04542568
2020-01-02,4492719.057581315
2020-01-04,78355882.33351989
2020-01-07,108121568.12046506
2020-01-09,111316512.37007585
2020-01-12,110011144.38542362
2020-01-14,109070295.45146298
2020-01-19,109684821.6141972
2020-01-27,65035380.418799266
2020-01-29,110453027.20315994
2020-02-01,110453027.20315994
2020-02-03,110627743.991288
2020-02-06,110936551.28212003
2020-02-11,112283607.06776518
2020-02-16,114562972.25618154
2020-02-21,114596903.72834916
2020-02-23,116681772.62271924
2020-02-26,116932492.35070994
2020-02-28,118987939.41645233
2020-03-04,118120572.45665406
2020-03-07,117781184.08588287
2020-03-09,116143062.34836268
2020-03-12,116143062.34836268
2020-03-14,115919520.09250657
2020-03-22,115072358.6868761
2020-03-27,4209025.621778114
2020-03-29,4714537.028771851
2020-04-01,7034736.527443981
2020-04-03,82227730.76609246
2020-04-08,95918148.4685199
2020-04-11,96534196.74946779
2020-04-26,nan
2020-05-01,119535621.48478492
2020-05-03,120022852.45250233
2020-05-06,117727832.0747822
2020-05-08,117853605.57435735
2020-05-11,117853605.57435735
2020-05-13,115605331.87941739
2020-05-16,117693539.36796667
2020-05-18,111838858.18105808
2020-05-21,42392601.91605967
2020-05-23,30733624.65360975
2020-05-26,35267925.78018187
2020-05-28,108494025.88501497
2020-06-05,110070516.70658676
2020-06-07,110070516.70658676
2020-06-10,2068466.6333716572
2020-06-12,2068466.6333716572
