date,value
2018-01-03,6787100
2018-01-04,7214200
2018-01-05,7214200
2018-01-09,6928000
2018-01-10,7371600
2018-01-10,7313200
2018-01-11,7313200
2018-01-15,7641000
2018-01-16,7441300
2018-01-17,7441300
2018-01-21,7282500
2018-01-22,7474700
2018-01-22,7365000
2018-01-22,7474700
2018-01-22,7365000
2018-01-23,7365000
2018-01-27,7521800
2018-01-28,7366200
2018-01-29,7366200
2018-02-02,7276800
2018-02-03,7512400
2018-02-03,7387100
2018-02-03,7512400
2018-02-03,7387100
2018-02-04,7387100
2018-02-08,7531500
2018-02-09,7363200
2018-02-10,7363200
2018-02-14,7131400
2018-02-15,7245500
2018-02-15,7183500
2018-02-15,7245500
2018-02-15,7183500
2018-02-16,7183500
2018-02-20,7210700
2018-02-21,7138300
2018-02-22,7138300
2018-02-26,7015500
2018-02-27,7241500
2018-02-27,7110100
2018-02-27,7241500
2018-02-27,7110100
2018-02-28,7110100
2018-03-04,7543300
2018-03-05,7530800
2018-03-06,7530800
2018-03-10,11426000
2018-03-11,13514400
2018-03-12,13484500
2018-03-16,14797400
2018-03-17,14673800
2018-03-18,14673800
2018-03-22,15178300
2018-03-23,15951500
2018-03-23,15890000
2018-03-23,15951500
2018-03-23,15890000
2018-03-24,15890000
2018-03-28,16345400
2018-03-29,16282700
2018-03-30,16282700
2018-04-03,16071500
2018-04-04,16338300
2018-04-04,16260600
2018-04-04,16338300
2018-04-04,16260600
2018-04-05,16260600
2018-04-09,16260100
2018-04-10,16048400
2018-04-11,16048400
2018-04-15,15901000
2018-04-16,16398500
2018-04-16,16313800
2018-04-16,16398500
2018-04-16,16313800
2018-04-17,16313800
2018-04-21,16569100
2018-04-22,16449800
2018-04-23,16449800
2018-04-27,16191600
2018-04-28,16408100
2018-04-28,16346500
2018-04-28,16408100
2018-04-28,16346500
2018-04-29,16346500
2018-05-03,16464900
2018-05-04,16398600
2018-05-05,16398600
2018-05-09,16325300
2018-05-10,16558600
2018-05-10,16453200
2018-05-10,16558600
2018-05-10,16453200
2018-05-11,16453200
2018-05-15,16554700
2018-05-16,16467800
2018-05-17,16467800
2018-05-21,16323400
2018-05-22,16592100
2018-05-23,16592100
2018-05-27,16288600
2018-05-28,16522800
2018-05-29,16522800
2018-06-02,16174500
2018-06-03,16350100
2018-06-03,16183100
2018-06-03,16350100
2018-06-03,16183100
2018-06-04,16183100
2018-06-08,16164300
2018-06-09,16076300
2018-06-10,16076300
2018-06-14,15810900
2018-06-15,16031300
2018-06-15,15947600
2018-06-15,16031300
2018-06-15,15947600
2018-06-16,15947600
2018-06-20,15928200
2018-06-21,15687100
2018-06-21,15958100
2018-06-21,15687100
2018-06-21,15958100
2018-06-22,15687100
2018-06-26,15787500
2018-06-27,15324600
2018-06-27,15521000
2018-06-27,15324600
2018-06-27,15521000
2018-06-28,15521000
2018-07-02,15206200
2018-07-03,15003500
2018-07-04,15003500
2018-07-08,14524800
2018-07-09,14670900
2018-07-10,14500200
2018-07-14,14406300
2018-07-15,14309400
2018-07-16,14309400
2018-07-20,14002000
2018-07-21,14411700
2018-07-21,14248600
2018-07-21,14411700
2018-07-21,14248600
2018-07-22,14248600
2018-07-26,14313200
2018-07-27,14097200
2018-07-28,14097200
2018-08-01,13815200
2018-08-02,14174900
2018-08-02,13957900
2018-08-02,14174900
2018-08-02,13957900
2018-08-03,13957900
2018-08-07,14040100
2018-08-08,13730500
2018-08-09,13730500
2018-08-13,13394800
2018-08-14,13582700
2018-08-14,13503800
2018-08-14,13582700
2018-08-14,13503800
2018-08-15,13503800
2018-08-19,13627500
2018-08-20,13533700
2018-08-21,13533700
2018-08-25,13187700
2018-08-26,13536200
2018-08-26,13235900
2018-08-26,13536200
2018-08-26,13235900
2018-08-27,13235900
2018-08-31,13203700
2018-09-01,13095500
2018-09-02,13095500
2018-09-06,12797100
2018-09-07,13105000
2018-09-07,12842700
2018-09-07,13105000
2018-09-07,12842700
2018-09-08,12842700
2018-09-12,12733000
2018-09-13,12587400
2018-09-14,12587400
2018-09-18,12358100
2018-09-19,12638500
2018-09-19,12529700
2018-09-19,12638500
2018-09-19,12529700
2018-09-20,12529700
2018-09-24,12695300
2018-09-25,12633400
2018-09-26,12633400
2018-09-30,12436500
2018-10-01,12692400
2018-10-01,12579300
2018-10-01,12692400
2018-10-01,12579300
2018-10-02,12579300
2018-10-06,12581400
2018-10-07,12460700
2018-10-08,12460700
2018-10-12,12312800
2018-10-13,12486700
2018-10-13,12420000
2018-10-13,12486700
2018-10-13,12420000
2018-10-14,12420000
2018-10-18,12598400
2018-10-19,12505500
2018-10-20,12505500
2018-10-24,12639700
2018-10-25,12826800
2018-10-25,12751700
2018-10-25,12826800
2018-10-25,12751700
2018-10-26,12751700
2018-10-30,13001600
2018-10-31,12961200
2018-11-01,12961200
2018-11-05,13227100
2018-11-06,13440200
