date,value
2018-01-02,41520144.92703182
2018-01-04,nan
2018-01-07,5896176.170358845
2018-01-12,33500988.865455005
2018-01-17,46169607.88803465
2018-01-19,nan
2018-01-22,47885573.89542083
2018-01-24,nan
2018-01-27,47495672.64110331
2018-02-01,nan
2018-02-06,17460318.97749316
2018-02-08,nan
2018-02-11,45986433.10021245
2018-02-13,nan
2018-02-16,41528911.74851558
2018-02-18,nan
2018-02-21,46491327.30340151
2018-02-26,43664567.61354145
2018-03-20,nan
2018-03-25,nan
2018-03-28,157490303.16313612
2018-04-02,163555865.6805802
2018-04-04,nan
2018-04-07,91681899.25952943
2018-04-14,nan
2018-04-17,163740504.18667445
2018-04-19,nan
2018-04-22,912497.6284821227
2018-04-24,nan
2018-04-27,158743839.3764447
2018-04-29,nan
2018-05-02,58594644.40635023
2018-05-04,nan
2018-05-07,4496344.603373719
2018-05-09,nan
2018-05-12,18869742.652139094
2018-05-14,nan
2018-05-19,nan
2018-05-22,8976098.362102032
2018-05-29,nan
2018-06-01,nan
2018-06-03,nan
2018-06-06,157172.25735246885
2018-06-08,nan
2018-06-11,nan
2018-06-13,nan
2018-06-16,67299250.60089277
2018-06-21,141674558.26569858
2018-06-23,nan
2018-06-26,113932670.76634301
2018-06-28,nan
2018-07-01,40784696.29096529
2018-07-03,nan
2018-07-06,121569000.398708
2018-07-08,nan
2018-07-11,78752768.80563645
2018-07-13,nan
2018-07-16,113526960.66250001
2018-07-18,nan
2018-07-21,106064876.39062543
2018-07-23,nan
2018-07-26,127617723.62623431
2018-07-28,nan
2018-07-31,121863115.96086322
2018-08-02,nan
2018-08-05,112306466.50130862
2018-08-07,nan
2018-08-10,122489800.45607588
2018-08-12,nan
2018-08-15,119666178.57885312
2018-08-17,nan
2018-08-20,117596177.12642725
2018-08-22,nan
2018-08-25,115950906.29954095
2018-08-27,nan
2018-08-30,112772251.93460332
2018-09-01,nan
2018-09-04,103209367.43921912
2018-09-06,nan
2018-09-09,nan
2018-09-11,nan
2018-09-16,nan
2018-09-19,64700516.75585276
2018-09-21,nan
2018-09-24,108099726.69753344
2018-09-26,nan
2018-09-29,103097673.05000423
2018-10-01,nan
2018-10-04,104341733.813319
2018-10-06,nan
2018-10-09,19444190.475212373
2018-10-14,7700221.943060062
2018-10-16,nan
2018-10-19,101719499.8241786
2018-10-24,107487576.0656994
2018-10-29,107025676.76354828
2018-11-03,49318750.06368694
2018-11-05,nan
2018-11-10,nan
2018-11-13,nan
2018-11-15,nan
2018-11-20,nan
2018-11-23,nan
2018-11-28,113756427.37859617
2018-11-30,nan
2018-12-03,nan
2018-12-05,nan
2018-12-08,119589768.85005173
2018-12-10,nan
2018-12-13,114353873.61728524
2018-12-15,nan
2018-12-18,nan
2018-12-20,nan
2018-12-23,117599687.0359429
2018-12-28,118465178.49292673
2018-12-30,nan
2019-01-02,120062550.43661144
2019-01-04,nan
2019-01-07,121099297.43112946
2019-01-09,nan
2019-01-12,119578014.7081235
2019-01-14,nan
2019-01-17,nan
2019-01-22,117984783.26002148
2019-01-24,nan
2019-01-27,27246.408445947978
2019-01-29,nan
2019-02-03,nan
2019-02-06,119741425.9908992
2019-02-08,nan
2019-02-11,75128989.29082786
2019-02-13,nan
2019-02-16,3388974.354515374
2019-02-21,23188829.96465334
2019-02-26,116555020.89414833
2019-02-28,nan
2019-03-03,117037302.7664228
2019-03-10,nan
2019-03-13,118058564.89311133
2019-03-15,nan
2019-03-18,116428994.70564485
2019-03-20,nan
2019-03-23,116082617.68090221
2019-03-25,nan
2019-03-28,114956836.91782466
2019-03-30,nan
2019-04-02,nan
2019-04-04,nan
2019-04-12,53951301.24397369
2019-04-14,nan
2019-04-19,nan
2019-04-22,116012677.27234674
2019-04-27,116156067.68485527
2019-04-29,nan
2019-05-02,926215.7251846425
2019-05-07,108028868.95377299
2019-05-09,nan
2019-05-12,92773455.99323715
2019-05-14,nan
2019-05-19,nan
2019-05-22,101698147.180912
2019-05-24,nan
2019-05-27,86571629.80295442
2019-05-29,nan
2019-06-01,42533445.929393254
2019-06-06,64808601.33737959
2019-06-08,nan
2019-06-11,88921116.38815556
2019-06-16,nan
2019-06-18,nan
2019-06-21,66987749.71395278
2019-06-23,nan
2019-06-26,82007018.98762889
2019-06-28,nan
2019-07-01,80435871.54685526
2019-07-03,nan
2019-07-06,nan
2019-07-08,nan
2019-07-11,67871206.99659981
2019-07-13,nan
2019-07-16,75633710.94073738
2019-07-18,nan
2019-07-21,72766954.26712915
2019-07-23,nan
2019-07-26,40652.24843539751
2019-07-28,nan
2019-07-31,61405186.70119287
2019-08-02,nan
2019-08-05,61762118.32389496
2019-08-07,nan
2019-08-10,63107916.37954526
2019-08-12,nan
2019-08-15,59564246.3260016
2019-08-17,nan
2019-08-20,59317319.3972711
2019-08-22,nan
2019-08-25,52039663.01143871
2019-08-27,nan
2019-08-30,53925850.68327938
2019-09-01,nan
2019-09-04,35484454.20846337
2019-09-06,nan
2019-09-09,53638585.01183513
2019-09-11,nan
2019-09-14,5146737.801827605
2019-09-16,nan
2019-09-19,51501925.87563781
2019-09-24,50313651.77571706
2019-09-26,nan
2019-09-29,49505506.97186533
2019-10-01,nan
2019-10-04,51085480.69927064
2019-10-06,nan
2019-10-09,47468376.279087655
2019-10-16,nan
2019-10-21,nan
2019-10-24,37540063.68579995
2019-10-26,nan
2019-10-29,39232433.75174981
2019-11-03,nan
2019-11-05,nan
2019-11-08,10489564.034558518
2019-11-15,nan
2019-11-18,15341854.855753865
2019-11-23,8888493.440825803
2019-11-28,6936933.346876573
2019-11-30,nan
2019-12-03,48233401.11725269
2019-12-05,nan
2019-12-08,43272128.79763001
2019-12-10,nan
2019-12-15,nan
2019-12-18,3669126.71547619
2019-12-23,15830253.634658031
2019-12-25,nan
2019-12-28,57316723.55569137
2019-12-30,nan
2020-01-02,nan
2020-01-04,nan
2020-01-07,57849442.3035949
2020-01-09,nan
2020-01-12,58941183.26186021
2020-01-14,nan
2020-01-19,nan
2020-01-27,66797641.00377426
2020-01-29,nan
2020-02-01,36227.849675082
2020-02-03,nan
2020-02-06,nan
2020-02-11,nan
