date,value
2018-01-01,621200
2018-01-04,639200
2018-01-09,625300
2018-01-11,912500
2018-01-14,840100
2018-01-16,857100
2018-01-21,863400
2018-01-24,877300
2018-01-29,571100
2018-01-31,607500
2018-02-05,106500
2018-02-08,116000
2018-02-13,15600
2018-02-15,791700
2018-02-20,865600
2018-02-28,870600
2018-03-07,44600
2018-03-10,44600
2018-03-12,812700
2018-03-17,812700
2018-03-20,826400
2018-03-22,858400
2018-03-27,905900
2018-03-30,905900
2018-04-01,908700
2018-04-04,925200
2018-04-09,920200
2018-04-11,920200
2018-04-14,71300
2018-04-16,972200
2018-04-19,972200
2018-04-21,972000
2018-04-24,974200
2018-04-29,48600
2018-05-04,18400
2018-05-06,824100
2018-05-09,817200
2018-05-11,813600
2018-05-14,814400
2018-05-16,964500
2018-05-19,948900
2018-05-21,962300
2018-05-24,962300
2018-05-26,943800
2018-05-29,962300
2018-05-31,941200
2018-06-03,963200
2018-06-05,963200
2018-06-08,934500
2018-06-10,936300
2018-06-13,237400
2018-06-15,933600
2018-06-18,846800
2018-06-20,906500
2018-06-23,3200
2018-06-25,914600
2018-06-28,914600
2018-06-30,915700
2018-07-03,867500
2018-07-05,906900
2018-07-08,870400
2018-07-10,895000
2018-07-13,895100
2018-07-15,871400
2018-07-18,884000
2018-07-20,839700
2018-07-23,854100
2018-07-25,855800
2018-07-28,865100
2018-07-30,865600
2018-08-02,906100
2018-08-04,865700
2018-08-07,897800
2018-08-09,871300
2018-08-12,878300
2018-08-14,852200
2018-08-17,891900
2018-08-19,892100
2018-08-22,891700
2018-08-24,889200
2018-08-27,867800
2018-08-29,906200
2018-09-01,906000
2018-09-03,897300
2018-09-06,928100
2018-09-13,904600
2018-09-16,869400
2018-09-18,936800
2018-09-21,947500
2018-09-23,923700
2018-09-26,951500
2018-09-28,951500
2018-10-01,925600
2018-10-03,943100
2018-10-06,930600
2018-10-08,933400
2018-10-13,968200
2018-10-26,0
2018-10-31,0
2018-11-02,892600
2018-11-07,930900
2018-11-10,919900
2018-11-25,300
2018-11-27,732700
2018-11-30,834300
2018-12-02,834300
2018-12-05,835300
2018-12-07,930000
2018-12-10,919200
2018-12-12,946300
2018-12-15,930700
2018-12-17,928900
2018-12-20,932300
2018-12-22,929700
2018-12-27,964900
2018-12-30,948700
2019-01-01,910300
2019-01-04,915600
2019-01-06,964800
2019-01-09,975700
2019-01-11,932000
2019-01-14,985600
2019-01-16,997500
2019-01-19,1049300
2019-01-21,1047300
2019-01-26,1057500
2019-01-29,547900
2019-02-03,130700
2019-02-05,985000
2019-02-08,996900
2019-02-10,1038300
2019-02-13,1028100
2019-02-15,1034400
2019-02-18,1010500
2019-02-23,142000
2019-02-25,1016600
2019-02-28,1007900
2019-03-02,1016000
2019-03-07,1012700
2019-03-10,910000
2019-03-12,980300
2019-03-15,968800
2019-03-17,1000700
2019-03-20,1000700
2019-03-22,985100
2019-03-25,954700
2019-03-27,996100
2019-03-30,1010500
2019-04-04,1038900
2019-04-06,1053100
2019-04-09,1034600
2019-04-11,1066900
2019-04-14,1066900
2019-04-16,1023800
2019-04-24,994100
2019-04-26,995000
2019-04-29,1000
2019-05-01,1092100
2019-05-04,1092100
2019-05-06,1121900
2019-05-09,1123100
2019-05-11,1089100
2019-05-14,1125400
2019-05-16,1083700
2019-05-19,1083100
2019-05-26,1109100
2019-05-29,1114700
2019-05-31,1140600
2019-06-03,1140100
2019-06-05,1140100
2019-06-08,1106500
2019-06-10,1081000
2019-06-13,1013700
2019-06-15,1040000
2019-06-18,1040000
2019-06-20,1070700
2019-06-23,3300
2019-06-25,1080500
2019-06-28,1063200
2019-06-30,1080700
2019-07-03,1080700
2019-07-05,1055400
2019-07-08,1047600
2019-07-10,1042500
2019-07-13,1051400
2019-07-15,1046300
2019-07-18,1092300
2019-07-20,1045600
2019-07-23,1090900
2019-07-25,1059600
2019-07-28,1069100
2019-07-30,1043700
2019-08-02,1087900
2019-08-04,1025200
2019-08-07,1068100
2019-08-09,1032600
2019-08-12,1037200
2019-08-14,1002100
2019-08-17,1030700
2019-08-19,1021400
2019-08-22,1043900
2019-08-24,995800
2019-08-27,1047900
2019-08-29,1047900
2019-09-01,997900
2019-09-03,1006300
2019-09-06,1000000
2019-09-16,111800
2019-09-18,442300
2019-09-26,390900
2019-09-28,1233100
2019-10-01,1223700
2019-10-03,1228300
2019-10-06,1224300
2019-10-08,1228500
2019-10-11,1159000
2019-10-13,1193500
2019-10-16,1180900
2019-10-18,1175400
2019-10-21,1175400
