date,value
2018-01-01,7973977.463290837
2018-01-04,157496.1055860713
2018-01-09,5975.474418083674
2018-01-11,12582335.71282177
2018-01-14,nan
2018-01-16,13119384.608107617
2018-01-21,7007091.638851992
2018-01-24,65.2778546865023
2018-01-29,nan
2018-01-31,533105.5012817867
2018-02-05,nan
2018-02-08,13082.420737775316
2018-02-13,6967.046586557606
2018-02-15,11610389.35301841
2018-02-20,13014152.671629094
2018-02-28,140261.6631315185
2018-03-07,nan
2018-03-10,nan
2018-03-12,12041784.343832692
2018-03-17,10634.717661331584
2018-03-20,619055.6286283887
2018-03-22,13635706.622273548
2018-03-27,13396723.649819752
2018-03-30,nan
2018-04-01,14448518.805309922
2018-04-04,2119.235582028134
2018-04-09,270293.2201460268
2018-04-11,nan
2018-04-14,nan
2018-04-16,15791675.097636305
2018-04-19,nan
2018-04-21,100548.20131133606
2018-04-24,9858.711412766985
2018-04-29,15253.321890089901
2018-05-04,8010.410461739736
2018-05-06,11905677.818073131
2018-05-09,nan
2018-05-11,50786.718204275414
2018-05-14,6630.652914198584
2018-05-16,15188767.743441246
2018-05-19,nan
2018-05-21,15109982.808703575
2018-05-24,nan
2018-05-26,13072578.438628184
2018-05-29,1291.6512588618339
2018-05-31,14896508.508702619
2018-06-03,nan
2018-06-05,nan
2018-06-08,3208.105245708295
2018-06-10,1778671.7131358306
2018-06-13,nan
2018-06-15,14945489.426805243
2018-06-18,3604.715280537158
2018-06-20,13354287.249169642
2018-06-23,2464.6810433402197
2018-06-25,14385600.647524739
2018-06-28,nan
2018-06-30,755691.1362721213
2018-07-03,1585.27587293887
2018-07-05,13611979.378762348
2018-07-08,79487.03535777473
2018-07-10,13297778.33142035
2018-07-13,nan
2018-07-15,12930179.758871531
2018-07-18,413.86743248397926
2018-07-20,11153505.224490777
2018-07-23,15701.26905942389
2018-07-25,13375499.59091394
2018-07-28,1387.1941288421588
2018-07-30,14146904.237463962
2018-08-02,18007.652737351167
2018-08-04,5975.474418083674
2018-08-07,nan
2018-08-09,13375499.59091394
2018-08-12,19443.498481864513
2018-08-14,13914381.818158368
2018-08-17,190761.81369488582
2018-08-19,nan
2018-08-22,7137.405705943422
2018-08-24,13446291.988994276
2018-08-27,2162077.9150238647
2018-08-29,14762099.902571227
2018-09-01,7137.405705943422
2018-09-03,11284343.776604379
2018-09-06,838706.3149088586
2018-09-13,10832026.892924877
2018-09-16,nan
2018-09-18,14664614.8559583
2018-09-21,20421.839617945643
2018-09-23,14569783.632511748
2018-09-26,35.04629313023014
2018-09-28,nan
2018-10-01,nan
2018-10-03,14889166.1996232
2018-10-06,106187.22548011156
2018-10-08,nan
2018-10-13,15949314.021182697
2018-10-26,nan
2018-10-31,nan
2018-11-02,13904822.090318812
2018-11-07,13678451.896139814
2018-11-10,43849.44504950222
2018-11-25,65.2778546865023
2018-11-27,10265540.64249733
2018-11-30,1073691.475022852
2018-12-02,1899.2089977833411
2018-12-05,11633.129424563333
2018-12-07,14732830.783171907
2018-12-10,nan
2018-12-12,14122870.876937788
2018-12-15,657477.0902142514
2018-12-17,14492133.494212717
2018-12-20,nan
2018-12-22,15210951.694050929
2018-12-27,32231.152458486795
2018-12-30,820792.0873791327
2019-01-01,14330022.003973957
2019-01-04,399215.84647074353
2019-01-06,16027082.274562841
2019-01-09,430170.07077914686
2019-01-11,15043619.039998503
2019-01-14,459730.2980736276
2019-01-16,18210059.355729576
2019-01-19,1269528.7135214757
2019-01-21,6687776.2838742435
2019-01-26,90009.12479744136
2019-01-29,nan
2019-02-03,722994.8471130657
2019-02-05,16623424.459518204
2019-02-08,464845.20062036737
2019-02-10,17173269.73625937
2019-02-13,628788.6933645208
2019-02-15,nan
2019-02-18,nan
2019-02-23,819899.9145834446
2019-02-25,16804312.08653205
2019-02-28,1014506.1490041665
2019-03-02,13070239.659126217
2019-03-07,74012.3729969643
2019-03-10,2845203.918973826
2019-03-12,16661583.357883723
2019-03-15,63112.988867568776
2019-03-17,16251082.921071773
2019-03-20,nan
2019-03-22,14264873.135527851
2019-03-25,1216944.2585230498
2019-03-27,17498389.025867585
2019-03-30,nan
2019-04-04,nan
2019-04-06,17415618.060056604
2019-04-09,174892.6372775372
2019-04-11,17948228.66389928
2019-04-14,1687.72140149125
2019-04-16,16400173.30590742
2019-04-24,413.86743248397926
2019-04-26,nan
2019-04-29,nan
2019-05-01,18920904.97677307
2019-05-04,nan
2019-05-06,19447469.236524846
2019-05-09,nan
2019-05-11,18076360.762716714
2019-05-14,4300.619168381485
2019-05-16,18341468.98948532
2019-05-19,227324.56382561233
2019-05-26,19600761.85645791
2019-05-29,nan
2019-05-31,19393781.71498171
2019-06-03,6630.652914198584
2019-06-05,nan
2019-06-08,8917.881300246587
2019-06-10,16865611.174446616
2019-06-13,nan
2019-06-15,17201568.53610621
2019-06-18,293.9012322489016
2019-06-20,18607917.900466476
2019-06-23,2583.81268535412
2019-06-25,18552407.522892885
2019-06-28,35.04629313023014
2019-06-30,17700714.797644496
2019-07-03,9290.268510749722
2019-07-05,8056828.956569845
2019-07-08,nan
2019-07-10,17526873.08506643
2019-07-13,7657.006707720545
2019-07-15,16185532.659107083
2019-07-18,5499.869921986797
2019-07-20,17343305.607044127
2019-07-23,6464.6401432667035
2019-07-25,17674730.36668323
2019-07-28,5815.416245500982
2019-07-30,17271097.958637364
2019-08-02,5190.504106044735
2019-08-04,16763489.212230274
2019-08-07,nan
2019-08-09,16880948.08342926
2019-08-12,nan
2019-08-14,16407766.829171948
2019-08-17,6798.125401894946
2019-08-19,17317505.123152412
2019-08-22,26903.446860819015
2019-08-24,16155309.810513614
2019-08-27,nan
2019-08-29,nan
2019-09-01,397134.75739134883
2019-09-03,16395111.636900483
2019-09-06,nan
2019-09-16,574339.3438084603
2019-09-18,3177631.179115257
2019-09-26,269687.2733710783
2019-09-28,23085931.83348046
2019-10-01,3665873.191508026
2019-10-03,21098493.518741187
2019-10-06,25825.060426904067
2019-10-08,nan
2019-10-11,34277.09941825806
2019-10-13,21403177.68253021
2019-10-16,8917.881300246587
2019-10-18,nan
2019-10-21,nan
2019-10-23,12818510.582479674
2019-10-26,26903.446860819015
2019-10-31,nan
2019-11-02,22250270.91532842
2019-11-05,43528.01442055145
2019-11-07,22233385.924731147
2019-11-10,2104838.3593726386
2019-11-12,21849061.638166156
2019-11-15,84691.18289829596
2019-11-20,nan
2019-11-27,17101309.654130198
2019-11-30,5740382.546371874
2019-12-07,nan
2019-12-10,1570570.3989059024
2019-12-15,3853808.998300675
2019-12-17,16326832.363119595
2019-12-22,22022700.415288523
2019-12-25,5959587.635734736
2019-12-27,22188381.103522103
2019-12-30,nan
2020-01-01,20063146.615729336
2020-01-04,nan
2020-01-06,22244642.089338627
2020-01-09,1126055.8352868715
2020-01-11,nan
2020-01-14,4678376.131657846
2020-01-16,22379870.660297085
2020-01-24,nan
2020-01-26,19822021.867671665
2020-01-29,nan
2020-01-31,20910905.150500912
2020-02-03,6197862.468797536
2020-02-10,22036724.381851047
2020-02-13,nan
2020-02-15,20908150.851303093
2020-02-20,2504699.5873905807
2020-02-23,6756427.812124393
2020-02-25,22284054.28047185
2020-02-28,4846229.9495253805
2020-03-04,5686029.358617885
2020-03-06,25872670.03308922
2020-03-09,nan
2020-03-11,8618757.792613514
2020-03-14,3103602.2630348853
2020-03-26,26315955.598815337
2020-03-29,4300.619168381485
2020-04-03,nan
2020-04-05,nan
