date,value
2018-01-01,nan
2018-01-04,13943713.167477176
2018-01-11,13943713.167477176
2018-01-16,nan
2018-01-21,nan
2018-01-24,19491259.684339687
2018-01-26,19491259.684339687
2018-01-29,19494433.871502668
2018-01-31,19494433.871502668
2018-02-08,258132.9089928238
2018-02-13,14305682.908751247
2018-02-15,14305682.908751247
2018-02-18,18906580.327884097
2018-02-20,18906580.327884097
2018-02-25,18768270.826978516
2018-02-28,18768270.826978516
2018-03-07,nan
2018-03-10,nan
2018-03-12,nan
2018-03-17,nan
2018-03-20,24819803.431788657
2018-03-22,24819803.431788657
2018-03-27,24819803.431788657
2018-04-01,nan
2018-04-04,17975542.761035554
2018-04-09,26761999.237712156
2018-04-11,26761999.237712156
2018-04-14,26508724.59176605
2018-04-16,28979521.190250523
2018-04-19,27701189.69285825
2018-04-21,29674890.392823234
2018-04-24,28794885.026136525
2018-05-04,28207727.610518944
2018-05-06,nan
2018-05-09,501448.3664912639
2018-05-11,501448.3664912639
2018-05-14,31788862.04328132
2018-05-16,31788862.04328132
2018-05-19,31788862.04328132
2018-05-21,31519172.058609243
2018-05-24,33546556.811415784
2018-05-26,31163025.073899485
2018-05-29,30087174.39738354
2018-05-31,31163025.073899485
2018-06-03,31163025.073899485
2018-06-05,466024.39820325625
2018-06-08,466024.39820325625
2018-06-10,nan
2018-06-13,866393.5216840769
2018-06-15,866393.5216840769
2018-06-18,18022085.818511903
2018-06-20,18022085.818511903
2018-06-23,34648403.00113753
2018-06-25,34648403.00113753
2018-06-28,35575568.035388015
2018-06-30,35575568.035388015
2018-07-03,34599798.51759142
2018-07-05,35383558.15850193
2018-07-08,35225654.9514968
2018-07-10,35552963.273180984
2018-07-13,34843015.192781724
2018-07-15,35741461.30677719
2018-07-18,35176820.95779891
2018-07-20,35421183.80962005
2018-07-23,34981678.21188288
2018-07-25,35417420.731743656
2018-07-28,34884222.938210785
2018-07-30,35297062.42517658
2018-08-02,34891716.74660167
2018-08-04,35270749.61442403
2018-08-07,34775614.28642683
2018-08-09,35451292.53362346
2018-08-12,35154288.70407171
2018-08-14,35500234.75451834
2018-08-17,35184332.623243585
2018-08-19,35854696.3543628
2018-08-22,34992928.03549176
2018-08-24,35594408.46445658
2018-08-27,35210627.05114513
2018-08-29,35270749.61442403
2018-09-01,33025275.20615964
2018-09-03,34981678.21188288
2018-09-06,34085044.622082025
2018-09-08,34304851.453643814
2018-09-16,34379453.551276855
2018-09-18,33472474.681506757
2018-09-21,34603536.63366382
2018-09-23,34603536.63366382
2018-09-26,34603536.63366382
2018-09-28,33428047.813870788
2018-10-01,34196760.49238529
2018-10-03,15016849.88032708
2018-10-06,33376237.72690908
2018-10-08,33376237.72690908
2018-10-13,31683094.713475566
2018-10-16,31683094.713475566
2018-10-21,33602149.025133386
2018-10-23,33602149.025133386
2018-10-31,33602149.025133386
2018-11-02,nan
2018-11-07,nan
2018-11-10,nan
2018-11-15,nan
2018-11-17,nan
2018-11-20,nan
2018-11-27,nan
2018-11-30,34929192.667843394
2018-12-02,34929192.667843394
2018-12-05,35319620.712960474
2018-12-07,35319620.712960474
2018-12-10,35037937.6358564
2018-12-12,35764100.14957587
2018-12-15,35022932.60387917
2018-12-17,35839592.45161519
2018-12-20,35673569.29633211
2018-12-22,35135514.96916153
2018-12-25,35135514.96916153
2018-12-27,8879765.95733786
2018-12-30,35530362.60585854
2019-01-01,nan
2019-01-04,nan
2019-01-06,nan
2019-01-09,35417420.731743656
2019-01-11,35417420.731743656
2019-01-14,35609482.854159154
2019-01-16,35609482.854159154
2019-01-19,35609482.854159154
2019-01-21,32026291.162166398
2019-01-24,32026291.162166398
2019-01-26,nan
2019-01-29,nan
2019-01-31,nan
2019-02-03,35598176.89136044
2019-02-05,35598176.89136044
2019-02-08,36160940.08528218
2019-02-10,36160940.08528218
2019-02-13,35598176.89136044
2019-02-15,36259397.74432874
2019-02-18,36259397.74432874
2019-02-20,33887934.77408778
2019-02-23,34207937.8072673
2019-02-25,21830570.14120715
2019-02-28,29524721.928592693
2019-03-02,29524721.928592693
2019-03-07,26474082.928562887
2019-03-10,33958559.33148571
2019-03-12,33943687.5219477
2019-03-15,34170684.13953433
2019-03-17,34170684.13953433
2019-03-20,34170684.13953433
2019-03-22,31351857.40954323
2019-03-25,34839269.722427145
2019-03-27,34828033.999843314
2019-03-30,35184332.623243585
2019-04-01,35184332.623243585
2019-04-04,35184332.623243585
2019-04-06,34450368.30062954
2019-04-09,34450368.30062954
2019-04-11,nan
2019-04-14,34607274.86481486
2019-04-16,34607274.86481486
2019-04-19,34607274.86481486
2019-04-24,34607274.86481486
2019-04-26,nan
2019-04-29,nan
2019-05-01,nan
2019-05-04,nan
2019-05-06,nan
2019-05-09,35270749.61442403
2019-05-11,35270749.61442403
2019-05-14,36002054.38666306
2019-05-16,36002054.38666306
2019-05-19,35402369.55962812
2019-05-24,35952915.90786361
2019-05-26,35692424.49801761
2019-05-29,35477643.64628356
2019-05-31,35801840.63029233
2019-06-03,35850920.20866187
2019-06-05,35881132.54733758
2019-06-08,35526596.22616388
2019-06-10,35741461.30677719
2019-06-13,35462585.1844028
2019-06-15,35666028.01069051
2019-06-18,35180576.73338973
2019-06-20,35485173.56034823
2019-06-23,35297062.42517658
2019-06-25,35297062.42517658
2019-06-28,35391082.377046846
2019-06-30,35391082.377046846
2019-07-03,34921696.56649791
2019-07-05,34768127.59293296
2019-07-08,34577372.23810774
2019-07-10,34667102.20956512
2019-07-13,33902799.61969463
