date,value
2018-01-02,3674800
2018-01-04,3674800
2018-01-12,3913700
2018-01-17,4044500
2018-01-19,4032300
2018-01-22,3958700
2018-01-24,3961300
2018-01-27,3965200
2018-01-29,3935100
2018-02-08,3722200
2018-02-11,3819700
2018-02-13,3814000
2018-02-16,3827400
2018-02-18,3826000
2018-02-21,3819200
2018-02-26,3748300
2018-03-28,5263600
2018-04-02,5263600
2018-04-04,5263600
2018-04-14,4335200
2018-04-17,4385400
2018-04-19,5326500
2018-04-22,5487500
2018-04-24,5479800
2018-04-27,5532800
2018-04-29,5614200
2018-05-02,5535200
2018-05-04,5615600
2018-05-07,5570700
2018-06-01,34100
2018-06-03,2524500
2018-06-08,2524500
2018-06-13,5614100
2018-06-16,5535500
2018-06-21,557100
2018-06-23,5551700
2018-06-26,3976400
2018-06-28,5495100
2018-07-01,4741700
2018-07-03,5532200
2018-07-06,4755100
2018-07-08,5563700
2018-07-11,4764400
2018-07-13,5491200
2018-07-16,2628300
2018-07-18,5413800
2018-07-21,4293600
2018-07-23,5376200
2018-07-26,4636200
2018-07-28,5350100
2018-07-31,5011100
2018-08-02,5344400
2018-08-05,5020600
2018-08-07,5352300
2018-08-10,5271300
2018-08-12,5428200
2018-08-15,4752000
2018-08-17,5395800
2018-08-20,4674800
2018-08-22,5230900
2018-08-25,5214400
2018-08-27,5290600
2018-08-30,5282400
2018-09-01,5356100
2018-09-04,5377700
2018-09-06,5371400
2018-09-09,5431600
2018-09-11,5384400
2018-09-16,5353000
2018-09-19,5227700
2018-09-21,5201800
2018-09-24,5191600
2018-09-26,5166600
2018-09-29,5189700
2018-10-01,5188900
2018-10-04,5254400
2018-10-06,5185700
2018-10-09,5159700
2018-10-16,5204600
2018-10-19,5161800
2018-10-24,5865100
2018-10-29,5610500
2018-11-03,5760300
2018-11-05,5745000
2018-11-13,5356600
2018-11-15,1485000
2018-11-28,5690700
2018-11-30,5712700
2018-12-03,5398500
2018-12-05,5658400
2018-12-08,5703400
2018-12-10,5204500
2018-12-13,5028400
2018-12-15,5683800
2018-12-20,5641900
2018-12-23,5626500
2018-12-28,5614000
2018-12-30,5731200
2019-01-02,5846400
2019-01-04,5852500
2019-01-07,5968100
2019-01-09,5914400
2019-01-12,5915400
2019-01-14,5871000
2019-01-17,5823800
2019-01-22,5808500
2019-01-27,5747600
2019-01-29,5995000
2019-02-01,5993000
2019-02-03,6014100
2019-02-06,5997700
2019-02-08,5974800
2019-02-13,6037000
2019-02-21,6084400
2019-02-26,6105100
2019-02-28,5942500
2019-03-03,6037100
2019-03-08,6039400
2019-03-10,5947300
2019-03-13,5994400
2019-03-15,5973500
2019-03-18,5974000
2019-03-20,5969800
2019-03-23,6031300
2019-03-25,6015800
2019-03-28,6056500
2019-03-30,6039500
2019-04-04,6055000
2019-04-09,4217900
2019-04-12,5954200
2019-04-14,5946700
2019-04-19,5946700
2019-04-22,5952700
2019-04-27,4974900
2019-04-29,5879700
2019-05-02,5913400
2019-05-04,5917200
2019-05-07,5929200
2019-05-12,5839800
2019-05-14,5784200
2019-05-19,5829200
2019-05-22,5826000
2019-05-24,5790100
2019-05-27,4453800
2019-05-29,5832300
2019-06-01,3129200
2019-06-03,4108000
2019-06-06,4452300
2019-06-08,5746300
2019-06-11,3723000
2019-06-13,4238400
2019-06-18,5741700
2019-06-21,45100
2019-06-23,5654700
2019-06-26,3375200
2019-06-28,5587200
2019-07-01,3710300
2019-07-03,5586000
2019-07-08,5513100
2019-07-11,3826600
2019-07-13,5026000
2019-07-16,2482700
2019-07-18,4233000
2019-07-21,451400
2019-07-23,5117000
2019-07-26,1205300
2019-07-28,5341500
2019-07-31,2615600
2019-08-02,5296600
2019-08-05,5167800
2019-08-07,5302600
2019-08-10,5169500
2019-08-12,5284500
2019-08-15,5135700
2019-08-17,5144600
2019-08-20,5230000
2019-08-22,5261900
2019-08-25,5251900
2019-08-27,5250700
2019-08-30,5253000
2019-09-01,5206600
2019-09-04,5226500
2019-09-06,5222900
2019-09-09,5193600
2019-09-11,5176900
2019-09-16,5223200
2019-09-19,5239900
2019-09-24,5182400
2019-09-26,5202200
2019-09-29,5190100
2019-10-01,5178300
2019-10-04,5104100
2019-10-06,5205700
2019-10-09,5229400
2019-10-11,5257600
2019-10-16,5233100
2019-10-21,5188900
2019-10-24,5156200
2019-10-26,5089700
2019-10-29,5105000
2019-11-08,1432100
2019-11-18,767000
2019-11-23,2451400
2019-11-30,5070900
2019-12-03,5070900
2019-12-05,5075600
2019-12-08,5061000
2019-12-10,5060800
2019-12-15,5096100
2019-12-23,5193400
2019-12-25,5099600
2019-12-28,4953800
2019-12-30,4986900
2020-01-02,5075400
2020-01-04,5075400
2020-01-07,5233800
2020-01-09,5086000
2020-01-12,5094000
2020-01-14,5049900
2020-01-24,0
2020-01-27,1005300
2020-01-29,5178500
2020-02-03,5284900
2020-02-06,5250000
2020-02-11,5366900
2020-02-16,5280100
2020-02-18,5277700
2020-02-21,5312000
2020-02-23,5279300
2020-02-26,5279300
2020-02-28,5343200
2020-03-02,5343100
2020-03-04,5433600
2020-03-07,5413600
2020-03-12,5198800
2020-03-14,5227400
2020-03-17,5228700
2020-03-24,5176600
2020-03-27,4101000
2020-03-29,5485700
2020-04-01,5485700
2020-04-03,5471800
2020-04-08,5434000
2020-04-11,1813700
2020-04-16,1653900
2020-04-23,0
2020-05-01,5128100
2020-05-03,5589400
2020-05-06,5322900
2020-05-08,5585700
2020-05-18,5598800
2020-05-21,5594400
2020-05-23,5584600
2020-05-26,5264600
2020-05-28,5513100
2020-05-31,5218500
2020-06-07,5465200
2020-06-10,2617300
2020-06-12,2625000
2020-06-15,2634200
2020-06-17,3369100
2020-06-20,1266500
2020-06-22,5268600
2020-06-25,5275300
2020-06-27,5160400
2020-06-30,5149700
2020-07-02,5166300
2020-07-05,601400
2020-07-07,5140000
2020-07-10,1977400
