date,value
2018-01-04,2500300
2018-01-04,2500300
2018-01-04,2838400
2018-01-04,2838400
2018-01-05,2852900
2018-01-05,2852900
2018-01-11,0
2018-01-11,0
2018-01-11,2939300
2018-01-11,2938900
2018-01-16,2878500
2018-01-16,2878500
2018-01-16,2896300
2018-01-16,2891600
2018-01-16,2878500
2018-01-16,2878500
2018-01-16,2896300
2018-01-16,2891600
2018-01-16,2878500
2018-01-16,2878500
2018-01-16,2896300
2018-01-16,2891600
2018-01-16,2878500
2018-01-16,2878500
2018-01-16,2896300
2018-01-16,2891600
2018-01-17,2945400
2018-01-17,2943000
2018-01-17,2945400
2018-01-17,2943000
2018-01-23,2965300
2018-01-23,2964400
2018-01-23,0
2018-01-23,0
2018-01-23,2965300
2018-01-23,2964400
2018-01-23,0
2018-01-23,0
2018-01-23,2965300
2018-01-23,2964400
2018-01-23,0
2018-01-23,0
2018-01-23,2965300
2018-01-23,2964400
2018-01-23,0
2018-01-23,0
2018-01-28,2858200
2018-01-28,2858200
2018-01-28,2817600
2018-01-28,2817100
2018-01-28,2858200
2018-01-28,2858200
2018-01-28,2817600
2018-01-28,2817100
2018-01-28,2858200
2018-01-28,2858200
2018-01-28,2817600
2018-01-28,2817100
2018-01-28,2858200
2018-01-28,2858200
2018-01-28,2817600
2018-01-28,2817100
2018-01-29,2910900
2018-01-29,2910900
2018-01-29,2910900
2018-01-29,2910900
2018-02-04,2986400
2018-02-04,2986400
2018-02-04,0
2018-02-04,0
2018-02-04,2986400
2018-02-04,2986400
2018-02-04,0
2018-02-04,0
2018-02-04,2986400
2018-02-04,2986400
2018-02-04,0
2018-02-04,0
2018-02-04,2986400
2018-02-04,2986400
2018-02-04,0
2018-02-04,0
2018-02-09,2823000
2018-02-09,2823000
2018-02-09,2706200
2018-02-09,2705100
2018-02-09,2823000
2018-02-09,2823000
2018-02-09,2706200
2018-02-09,2705100
2018-02-09,2823000
2018-02-09,2823000
2018-02-09,2706200
2018-02-09,2705100
2018-02-09,2823000
2018-02-09,2823000
2018-02-09,2706200
2018-02-09,2705100
2018-02-10,2916500
2018-02-10,2916500
2018-02-10,2916500
2018-02-10,2916500
2018-02-16,0
2018-02-16,0
2018-02-16,2957200
2018-02-16,2957200
2018-02-16,0
2018-02-16,0
2018-02-16,2957200
2018-02-16,2957200
2018-02-16,0
2018-02-16,0
2018-02-16,2957200
2018-02-16,2957200
2018-02-16,0
2018-02-16,0
2018-02-16,2957200
2018-02-16,2957200
2018-02-21,2733600
2018-02-21,2733600
2018-02-21,2647400
2018-02-21,2647400
2018-02-21,2733600
2018-02-21,2733600
2018-02-21,2647400
2018-02-21,2647400
