date,value
2018-01-02,207500
2018-01-04,0
2018-01-12,2297000
2018-01-17,2385900
2018-01-19,323700
2018-01-22,2352700
2018-01-24,2447800
2018-01-27,2472900
2018-02-01,0
2018-02-06,0
2018-02-08,0
2018-02-11,42800
2018-02-13,740400
2018-02-16,2298400
2018-02-18,200000
2018-02-21,596100
2018-02-26,0
2018-02-28,0
2018-03-10,0
2018-03-20,854300
2018-03-25,0
2018-03-28,3794200
2018-04-02,3306300
2018-04-04,1079100
2018-04-07,0
2018-04-14,2072200
2018-04-17,3865900
2018-04-19,3984000
2018-04-22,3637800
2018-04-24,3948200
2018-04-27,3449600
2018-04-29,1702800
2018-05-02,0
2018-05-04,379100
2018-05-07,1050300
2018-05-09,2461400
2018-05-12,174200
2018-05-14,934200
2018-05-19,3994400
2018-05-22,2940200
2018-05-24,2144900
2018-05-29,0
2018-06-01,1100
2018-06-03,62300
2018-06-06,0
2018-06-08,0
2018-06-11,0
2018-06-13,3764200
2018-06-16,22900
2018-06-21,121100
2018-06-23,2854500
2018-06-26,160300
2018-06-28,3651600
2018-07-01,125000
2018-07-03,524300
2018-07-06,58700
2018-07-08,3497200
2018-07-11,156000
2018-07-13,2943600
2018-07-16,103300
2018-07-18,1259600
2018-07-21,789600
2018-07-23,3284500
2018-07-26,1861700
2018-07-28,3226300
2018-07-31,1308600
2018-08-02,3057900
2018-08-05,1053200
2018-08-07,859700
2018-08-10,1594800
2018-08-12,0
2018-08-15,2264600
2018-08-17,2825100
2018-08-22,2312800
2018-08-25,2731600
2018-08-27,206000
2018-08-30,2283200
2018-09-01,2575800
2018-09-04,2556600
2018-09-06,1301200
2018-09-16,1687100
2018-09-19,433000
2018-09-21,51000
2018-09-24,2009300
2018-09-26,997700
2018-09-29,2008300
2018-10-01,2027500
2018-10-04,1950100
2018-10-06,1984200
2018-10-09,1729300
2018-10-11,0
2018-10-14,0
2018-10-16,9400
2018-10-19,1332700
2018-10-24,637200
2018-10-29,3345700
2018-10-31,0
2018-11-03,2818100
2018-11-05,227500
2018-11-08,0
2018-11-13,0
2018-11-15,0
2018-11-20,0
2018-11-28,3674200
2018-11-30,2800
2018-12-03,2874800
2018-12-05,2093800
2018-12-08,132700
2018-12-10,1433600
2018-12-13,0
2018-12-15,3773900
2018-12-20,3969600
2018-12-23,3244400
2018-12-28,3726300
2018-12-30,2602000
2019-01-02,3718800
2019-01-04,116900
2019-01-07,3541900
2019-01-09,3479000
2019-01-12,3953800
2019-01-14,3389500
2019-01-17,2400
2019-01-22,3596200
2019-01-24,0
2019-01-27,3894300
2019-01-29,0
2019-02-01,1906900
2019-02-03,3936700
2019-02-06,3218200
2019-02-08,3581200
2019-02-11,2869900
2019-02-13,4021800
2019-02-21,2647100
2019-02-26,4037800
2019-02-28,3870000
2019-03-03,3516700
2019-03-08,2736300
2019-03-10,3821100
2019-03-13,4021100
2019-03-15,3938800
2019-03-18,2283800
2019-03-20,779200
2019-03-23,1303900
2019-03-25,4000000
2019-03-28,2446200
2019-03-30,1030300
2019-04-02,0
2019-04-04,3998600
2019-04-09,2966500
2019-04-12,3512900
2019-04-14,3026200
2019-04-19,748100
2019-04-22,717300
2019-04-24,0
2019-04-27,2936200
2019-04-29,277700
2019-05-02,0
2019-05-07,3649100
2019-05-09,0
2019-05-12,2430800
2019-05-14,4101600
2019-05-19,4041300
2019-05-22,216800
2019-05-24,3464200
2019-05-27,800
2019-05-29,4048500
2019-06-01,0
2019-06-06,2636800
2019-06-08,4034000
2019-06-11,155500
2019-06-13,127400
2019-06-18,4055700
2019-06-21,15200
2019-06-23,4052700
2019-06-26,36700
2019-06-28,4024900
2019-07-01,68100
2019-07-03,251400
2019-07-08,4012500
2019-07-11,21200
2019-07-13,4027200
2019-07-16,125900
2019-07-18,4017700
2019-07-21,309400
2019-07-23,3984100
2019-07-26,319000
2019-07-28,3962500
2019-07-31,757200
2019-08-02,3705200
2019-08-05,2865900
2019-08-07,0
2019-08-10,3092300
2019-08-12,780000
2019-08-15,3334700
2019-08-17,3783500
2019-08-20,3854100
2019-08-22,3721000
2019-08-25,3631200
2019-08-27,3557400
2019-08-30,0
2019-09-01,1877400
2019-09-04,0
2019-09-06,3433000
2019-09-09,3181600
2019-09-11,3530200
2019-09-16,2535300
2019-09-19,3502700
2019-09-24,3420400
2019-09-26,3585600
2019-09-29,3489600
2019-10-01,1335600
2019-10-04,3262400
2019-10-06,2175100
2019-10-09,3496100
2019-10-11,0
2019-10-14,217700
2019-10-16,3390500
2019-10-19,308800
2019-10-24,2320300
2019-10-26,264900
2019-10-29,135400
2019-10-31,0
2019-11-03,472000
2019-11-05,40500
2019-11-08,15900
2019-11-10,0
2019-11-13,0
2019-11-15,1012200
2019-11-18,411600
2019-11-23,9100
2019-11-28,998600
2019-11-30,3489600
2019-12-03,985800
2019-12-05,3624700
2019-12-08,3523400
2019-12-10,2458300
