date,value
2018-01-04,36022145.44037345
2018-01-04,35900428.3347301
2018-01-05,38036413.03563557
2018-01-05,37922343.681049265
2018-01-05,nan
2018-01-05,nan
2018-01-10,31996950.355759893
2018-01-10,31911511.076201532
2018-01-10,36851901.305225074
2018-01-10,36724655.72942631
2018-01-11,37937400.36075827
2018-01-11,37810580.62609946
2018-01-11,37937400.36075827
2018-01-11,37810580.62609946
2018-01-16,30734273.893858332
2018-01-16,30679654.338440012
2018-01-16,30734273.893858332
2018-01-16,30679654.338440012
2018-01-17,28703612.925972857
2018-01-17,28675258.044785883
2018-01-17,nan
2018-01-17,nan
2018-01-17,28703612.925972857
2018-01-17,28675258.044785883
2018-01-17,nan
2018-01-17,nan
2018-01-17,28703612.925972857
2018-01-17,28675258.044785883
2018-01-17,nan
2018-01-17,nan
2018-01-17,28703612.925972857
2018-01-17,28675258.044785883
2018-01-17,nan
2018-01-17,nan
2018-01-22,35448814.10020427
2018-01-22,35342569.00015041
2018-01-22,35448814.10020427
2018-01-22,35342569.00015041
2018-01-23,36293544.22741594
2018-01-23,36194553.37696002
2018-01-23,36293544.22741594
2018-01-23,36194553.37696002
2018-01-28,34087334.34525609
2018-01-28,33978909.727023
2018-01-28,34087334.34525609
2018-01-28,33978909.727023
2018-01-29,nan
2018-01-29,nan
2018-01-29,47526733.54247654
2018-01-29,47364510.89016215
2018-01-29,nan
2018-01-29,nan
2018-01-29,47526733.54247654
2018-01-29,47364510.89016215
2018-01-29,nan
2018-01-29,nan
2018-01-29,47526733.54247654
2018-01-29,47364510.89016215
2018-01-29,nan
2018-01-29,nan
2018-01-29,47526733.54247654
2018-01-29,47364510.89016215
2018-02-03,36344140.98301613
2018-02-03,36219815.74642602
2018-02-03,35898331.43526062
2018-02-03,35774714.662844546
2018-02-03,36344140.98301613
2018-02-03,36219815.74642602
2018-02-03,35898331.43526062
2018-02-03,35774714.662844546
2018-02-03,36344140.98301613
2018-02-03,36219815.74642602
2018-02-03,35898331.43526062
2018-02-03,35774714.662844546
2018-02-03,36344140.98301613
2018-02-03,36219815.74642602
2018-02-03,35898331.43526062
2018-02-03,35774714.662844546
2018-02-04,44622850.89898479
2018-02-04,44486133.59240391
2018-02-04,44622850.89898479
2018-02-04,44486133.59240391
2018-02-09,41053274.0044196
2018-02-09,40928417.476656534
2018-02-09,41053274.0044196
2018-02-09,40928417.476656534
2018-02-10,nan
2018-02-10,nan
2018-02-10,nan
2018-02-10,nan
2018-02-15,34939769.34819962
2018-02-15,34823894.62503543
2018-02-15,26283526.08577811
2018-02-15,26274450.48579198
2018-02-15,34939769.34819962
2018-02-15,34823894.62503543
2018-02-15,26283526.08577811
2018-02-15,26274450.48579198
2018-02-15,34939769.34819962
2018-02-15,34823894.62503543
2018-02-15,26283526.08577811
2018-02-15,26274450.48579198
2018-02-15,34939769.34819962
2018-02-15,34823894.62503543
2018-02-15,26283526.08577811
2018-02-15,26274450.48579198
2018-02-16,27993025.320898376
2018-02-16,27993025.320898376
2018-02-16,27993025.320898376
2018-02-16,27993025.320898376
2018-02-21,35344650.819366045
2018-02-21,35211528.759486064
2018-02-21,35344650.819366045
2018-02-21,35211528.759486064
2018-02-22,37491181.76872888
2018-02-22,37392828.66822055
