date,value
2018-01-04,0
2018-01-04,0
2018-01-05,491200
2018-01-05,491200
2018-01-05,0
2018-01-05,0
2018-01-10,0
2018-01-10,0
2018-01-10,483000
2018-01-10,483000
2018-01-11,507000
2018-01-11,507000
2018-01-11,507000
2018-01-11,507000
2018-01-16,0
2018-01-16,0
2018-01-16,0
2018-01-16,0
2018-01-17,475000
2018-01-17,475000
2018-01-17,0
2018-01-17,0
2018-01-17,475000
2018-01-17,475000
2018-01-17,0
2018-01-17,0
2018-01-17,475000
2018-01-17,475000
2018-01-17,0
2018-01-17,0
2018-01-17,475000
2018-01-17,475000
2018-01-17,0
2018-01-17,0
2018-01-22,481500
2018-01-22,481500
2018-01-22,481500
2018-01-22,481500
2018-01-23,483900
2018-01-23,483900
2018-01-23,483900
2018-01-23,483900
2018-01-28,0
2018-01-28,0
2018-01-28,0
2018-01-28,0
2018-01-29,0
2018-01-29,0
2018-01-29,537800
2018-01-29,537800
2018-01-29,0
2018-01-29,0
2018-01-29,537800
2018-01-29,537800
2018-01-29,0
2018-01-29,0
2018-01-29,537800
2018-01-29,537800
2018-01-29,0
2018-01-29,0
2018-01-29,537800
2018-01-29,537800
2018-02-03,445800
2018-02-03,445800
2018-02-03,0
2018-02-03,0
2018-02-03,445800
2018-02-03,445800
2018-02-03,0
2018-02-03,0
2018-02-03,445800
2018-02-03,445800
2018-02-03,0
2018-02-03,0
2018-02-03,445800
2018-02-03,445800
2018-02-03,0
2018-02-03,0
2018-02-04,503200
2018-02-04,503200
2018-02-04,503200
2018-02-04,503200
2018-02-09,0
2018-02-09,0
2018-02-09,0
2018-02-09,0
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-10,0
2018-02-15,0
2018-02-15,0
2018-02-15,421300
2018-02-15,421300
2018-02-15,0
2018-02-15,0
2018-02-15,421300
2018-02-15,421300
2018-02-15,0
2018-02-15,0
2018-02-15,421300
2018-02-15,421300
2018-02-15,0
2018-02-15,0
2018-02-15,421300
2018-02-15,421300
2018-02-16,446200
2018-02-16,446200
2018-02-16,446200
2018-02-16,446200
2018-02-21,0
2018-02-21,0
2018-02-21,0
2018-02-21,0
2018-02-22,472700
2018-02-22,472700
2018-02-22,0
2018-02-22,0
2018-02-22,472700
2018-02-22,472700
2018-02-22,0
2018-02-22,0
2018-02-22,472700
2018-02-22,472700
2018-02-22,0
2018-02-22,0
2018-02-22,472700
2018-02-22,472700
2018-02-22,0
2018-02-22,0
2018-02-27,0
2018-02-27,0
2018-02-27,424400
2018-02-27,424400
2018-02-27,0
2018-02-27,0
2018-02-27,424400
2018-02-27,424400
2018-02-27,0
2018-02-27,0
2018-02-27,424400
2018-02-27,424400
2018-02-27,0
2018-02-27,0
2018-02-27,424400
2018-02-27,424400
2018-02-28,483300
2018-02-28,483300
2018-02-28,483300
2018-02-28,483300
2018-03-05,0
2018-03-05,0
2018-03-05,0
2018-03-05,0
2018-03-06,520300
2018-03-06,520300
2018-03-06,0
2018-03-06,0
2018-03-06,520300
2018-03-06,520300
2018-03-06,0
2018-03-06,0
2018-03-06,520300
2018-03-06,520300
2018-03-06,0
2018-03-06,0
2018-03-06,520300
2018-03-06,520300
2018-03-06,0
2018-03-06,0
2018-03-11,549800
2018-03-11,549800
2018-03-11,0
2018-03-11,0
2018-03-11,549800
2018-03-11,549800
2018-03-11,0
2018-03-11,0
2018-03-11,549800
2018-03-11,549800
2018-03-11,0
2018-03-11,0
2018-03-11,549800
2018-03-11,549800
2018-03-11,0
2018-03-11,0
2018-03-12,537900
2018-03-12,537900
2018-03-12,537900
2018-03-12,537900
2018-03-17,0
2018-03-17,0
2018-03-17,0
2018-03-17,0
2018-03-18,554500
2018-03-18,554500
2018-03-18,0
2018-03-18,0
2018-03-18,554500
2018-03-18,554500
2018-03-18,0
2018-03-18,0
2018-03-18,554500
2018-03-18,554500
2018-03-18,0
2018-03-18,0
2018-03-18,554500
