date,value
2018-01-02,30235540.962547176
2018-01-04,31104737.62110235
2018-01-07,4986439.7748607835
2018-01-12,nan
2018-01-17,31894026.02908883
2018-01-19,nan
2018-01-22,34331163.22406523
2018-01-24,nan
2018-01-27,32670088.795351204
2018-02-01,5066734.513049704
2018-02-06,936811.4843215641
2018-02-08,nan
2018-02-11,30320636.617740095
2018-02-13,34307134.37819572
2018-02-16,31822084.40669331
2018-02-18,nan
2018-02-21,30889408.07308121
2018-02-26,22777076.182875976
2018-03-20,64853571.14794758
2018-03-25,4986439.7748607835
2018-03-28,62441516.125142366
2018-04-02,56792098.85477021
2018-04-04,3598610.753175606
2018-04-07,nan
2018-04-14,65258306.01809519
2018-04-17,65847291.865835555
2018-04-19,64775743.90483718
2018-04-22,nan
2018-04-24,59848725.656402096
2018-04-27,65258306.01809519
2018-04-29,64365171.978176884
2018-05-02,63786751.927999474
2018-05-04,27427496.879733197
2018-05-07,nan
2018-05-09,nan
2018-05-12,52219.543553753734
2018-05-14,64738700.253552884
2018-05-19,1282735.1590228162
2018-05-22,25781767.01216092
2018-05-29,nan
2018-06-01,10.971123952235729
2018-06-03,64018533.28344898
2018-06-06,nan
2018-06-08,nan
2018-06-11,nan
2018-06-13,63269574.20885183
2018-06-16,51750.541038354684
2018-06-21,277638.1771589994
2018-06-23,30710.277698080263
2018-06-26,118403.8259100504
2018-06-28,nan
2018-07-01,0.4393383777370611
2018-07-03,50371640.591196455
2018-07-06,2817.961166082375
2018-07-08,58217123.38016081
2018-07-11,nan
2018-07-13,54588585.733873464
2018-07-16,443.8386061797866
2018-07-18,56719422.877895996
2018-07-21,563.7818208450974
2018-07-23,9646346.202039057
2018-07-26,32136157.21288809
2018-07-28,56875215.88861993
2018-07-31,8804574.01662397
2018-08-02,28181964.027404632
2018-08-05,9246.160062461277
2018-08-07,52799439.76883591
2018-08-10,54222887.76600697
2018-08-12,nan
2018-08-15,936394.7665131233
2018-08-17,15671099.067231804
2018-08-20,37970.799168287645
2018-08-22,53180239.77947676
2018-08-25,57065928.898448884
2018-08-27,nan
2018-08-30,1659592.4689796362
2018-09-01,nan
2018-09-04,nan
2018-09-06,50775993.56897647
2018-09-09,nan
2018-09-11,nan
2018-09-16,nan
2018-09-19,52287266.55764104
2018-09-21,48101193.811402276
2018-09-24,54476710.177045874
2018-09-26,nan
2018-09-29,1932228.5038068101
2018-10-01,nan
2018-10-04,52035454.60102093
2018-10-06,nan
2018-10-09,nan
2018-10-14,4194489.834283302
2018-10-16,8988210.1524183
2018-10-19,nan
2018-10-24,12467191.471079053
2018-10-29,49790877.867900275
2018-11-03,1100286.765951312
2018-11-05,6051394.26104061
2018-11-10,10356.515539030304
2018-11-13,nan
2018-11-15,4783279.80060405
2018-11-20,nan
2018-11-23,nan
2018-11-28,45491719.86420592
2018-11-30,57138833.45997564
2018-12-03,nan
2018-12-05,55385281.443902545
2018-12-08,53391287.46030292
2018-12-10,55330616.8847248
2018-12-13,3223776.9520876287
2018-12-15,55700142.98323809
2018-12-18,nan
2018-12-20,54229648.42938935
2018-12-23,54097893.90628275
2018-12-28,nan
2018-12-30,nan
2019-01-02,56377454.01886245
2019-01-04,51.040730908843564
2019-01-07,56101894.68205425
2019-01-09,54683603.28324934
2019-01-12,8419.216955216993
2019-01-14,53361111.39581316
2019-01-17,23474027.308287553
2019-01-22,nan
2019-01-24,51100020.96185381
2019-01-27,2715705.48494222
2019-01-29,22385516.79363128
2019-02-03,55950633.85905479
2019-02-06,55916285.773323335
2019-02-08,58761929.76571111
2019-02-11,55422879.478480384
2019-02-13,nan
2019-02-16,nan
2019-02-21,nan
2019-02-26,nan
2019-02-28,49994884.26463362
2019-03-03,55197488.65665712
2019-03-10,55037271.84434898
2019-03-13,55474170.73346824
2019-03-15,54490264.54591685
2019-03-18,29005716.38252782
2019-03-20,nan
2019-03-23,nan
2019-03-25,618980.3067988068
2019-03-28,3479.619904809378
2019-03-30,nan
2019-04-02,14123099.731309084
2019-04-04,54070887.76873745
2019-04-12,13345729.013280243
2019-04-14,48716505.02576131
2019-04-19,nan
2019-04-22,48943878.09339864
2019-04-27,48793302.43301818
2019-04-29,192611.91836580564
2019-05-02,nan
2019-05-07,8869554.304910406
2019-05-09,236.2314238149977
2019-05-12,484.97932841902144
2019-05-14,26508.284496774606
2019-05-19,46238965.65349649
2019-05-22,369655.71697956504
2019-05-24,0.10498729756860258
2019-05-27,8629440.892998047
2019-05-29,45322066.50316444
2019-06-01,4.247278220745588
2019-06-06,224.76325597760317
2019-06-08,25291212.439734343
2019-06-11,4801656.838417687
2019-06-16,nan
2019-06-18,41025711.17172015
2019-06-21,17.773505619391806
2019-06-23,24512839.253412712
2019-06-26,230692.0517834193
2019-06-28,9313598.825386714
2019-07-01,333467.426126767
2019-07-03,35078.41471731182
2019-07-06,nan
2019-07-08,21183929.280421745
2019-07-11,241956.76703050098
2019-07-13,37649191.97316408
2019-07-16,426994.56155854993
2019-07-18,38219905.614491366
2019-07-21,1041352.1545752235
2019-07-23,38775142.55686545
2019-07-26,nan
2019-07-28,36899746.46901241
2019-07-31,nan
2019-08-02,37817414.79656829
2019-08-05,nan
2019-08-07,34870068.73350915
2019-08-10,35315690.06874605
2019-08-12,nan
2019-08-15,299892.9059218281
2019-08-17,35704256.454767995
2019-08-20,37969146.08236453
2019-08-22,328107.83722785884
2019-08-25,278.69264666493353
2019-08-27,32081982.141533904
2019-08-30,36496237.3664596
2019-09-01,34526384.51284805
2019-09-04,36874806.43366179
2019-09-06,771317.9703827573
2019-09-09,35204687.402543776
2019-09-11,34837773.74877754
2019-09-14,nan
2019-09-16,34743668.194931574
2019-09-19,26845634.409686945
2019-09-24,32558262.29307948
2019-09-26,30358218.033442404
2019-09-29,32143900.357309222
2019-10-01,30851488.824502774
2019-10-04,35977284.367598616
2019-10-06,33693362.97577211
2019-10-09,27235197.398978423
2019-10-16,32490742.20286572
2019-10-21,nan
2019-10-24,29988464.85332978
2019-10-26,29933701.04106537
2019-10-29,30571632.947249334
2019-11-03,12758746.488385297
2019-11-05,25816333.982139956
2019-11-08,1765388.4421219584
2019-11-15,29881474.652607355
2019-11-18,28944549.571862277
