date,value
2018-01-02,24397136.70921839
2018-01-04,25087195.791242454
2018-01-07,5005440.524377117
2018-01-12,8252372.623909865
2018-01-17,24246360.114462256
2018-01-19,nan
2018-01-22,25676638.019168317
2018-01-24,nan
2018-01-27,23592712.16895686
2018-02-01,nan
2018-02-06,21109842.20396145
2018-02-08,nan
2018-02-11,19573366.04799614
2018-02-13,22190051.37392514
2018-02-16,17704856.206365157
2018-02-18,nan
2018-02-21,19776924.04914119
2018-02-26,21164797.192542214
2018-03-20,51710940.61210535
2018-03-25,nan
2018-03-28,52226546.43109832
2018-04-02,15123575.1023597
2018-04-04,nan
2018-04-07,nan
2018-04-14,47061747.4043227
2018-04-17,61431689.07985261
2018-04-19,43147365.86504325
2018-04-22,nan
2018-04-24,58268535.82946472
2018-04-27,33541229.93946988
2018-04-29,10704243.975385578
2018-05-02,7780497.118537709
2018-05-04,nan
2018-05-07,nan
2018-05-09,nan
2018-05-12,27159.54834442216
2018-05-14,60838801.45828942
2018-05-19,409583.9500507824
2018-05-22,648301.6468178852
2018-05-29,nan
2018-06-01,nan
2018-06-03,4642871.542241267
2018-06-06,nan
2018-06-08,nan
2018-06-11,53747.758856997905
2018-06-13,56704713.01055368
2018-06-16,22769.306272206068
2018-06-21,489177.17324126064
2018-06-23,32303780.706169676
2018-06-26,221206.52653234664
2018-06-28,nan
2018-07-01,235.61055503034837
2018-07-03,55934879.68095977
2018-07-06,22442.450466735056
2018-07-08,56089460.74636837
2018-07-11,nan
2018-07-13,39545731.84309022
2018-07-16,18036.751716170744
2018-07-18,54816782.83646922
2018-07-21,nan
2018-07-23,486433.2934630416
2018-07-26,36027613.23026118
2018-07-28,56812725.68897346
2018-07-31,31718695.5688754
2018-08-02,48397331.79582152
2018-08-05,49014.785502725674
2018-08-07,53611316.29530403
2018-08-10,50791081.96782054
2018-08-12,nan
2018-08-15,33694169.494446434
2018-08-17,48231031.60090696
2018-08-20,399704.22635838715
2018-08-22,46534397.67494014
2018-08-25,57371886.83120042
2018-08-27,22040720.349009518
2018-08-30,1114716.7372742535
2018-09-01,nan
2018-09-04,4613718.790037959
2018-09-06,14930381.224661823
2018-09-09,nan
2018-09-11,nan
2018-09-16,nan
2018-09-19,51294905.949705005
2018-09-21,47449027.41366772
2018-09-24,53858766.01744965
2018-09-26,316497.77908264677
2018-09-29,13917931.528489303
2018-10-01,3646585.971169514
2018-10-04,50103207.87523534
2018-10-06,nan
2018-10-09,7777028.018784809
2018-10-14,7176861.395456038
2018-10-16,1245644.1623284116
2018-10-19,nan
2018-10-24,3040416.7950532804
2018-10-29,48610817.49271703
2018-11-03,14425446.004234415
2018-11-05,35156.50739579728
2018-11-10,867394.781056427
2018-11-13,nan
2018-11-15,26633075.31350072
2018-11-20,nan
2018-11-23,nan
2018-11-28,45694789.6050456
2018-11-30,3927313.0776670384
2018-12-03,4617602.268635356
2018-12-05,56244184.65699574
2018-12-08,54512354.85944446
2018-12-10,21970274.93911566
2018-12-13,nan
2018-12-15,55505493.917630434
2018-12-18,nan
2018-12-20,53503177.13333758
2018-12-23,38980877.67742794
2018-12-28,nan
2018-12-30,2784993.8758506794
2019-01-02,55197558.27362799
2019-01-04,nan
2019-01-07,54479057.837360464
2019-01-09,52972374.86359089
2019-01-12,37216749.29653867
2019-01-14,51023242.06639501
2019-01-17,26739679.028470226
2019-01-22,nan
2019-01-24,271.9183553356832
2019-01-27,5021410.609854466
2019-01-29,22338073.26898731
2019-02-03,53684185.9177233
2019-02-06,53527446.90434744
2019-02-08,56046880.68871622
2019-02-11,45047624.69676053
2019-02-13,nan
2019-02-16,nan
2019-02-21,nan
2019-02-26,4478488.896843625
2019-02-28,50066523.282111526
2019-03-03,55115093.425128445
2019-03-10,54743401.553391896
2019-03-13,55702158.1265783
2019-03-15,53925111.98549926
2019-03-18,14753780.425473161
2019-03-20,nan
2019-03-23,nan
2019-03-25,996293.8332618574
2019-03-28,6001687.582103795
2019-03-30,nan
2019-04-02,8350464.545179827
2019-04-04,52191535.97753292
2019-04-12,47794875.912169665
2019-04-14,51979453.55369689
2019-04-19,154278.20850880037
2019-04-22,36133950.24657635
2019-04-27,53578204.70219614
2019-04-29,51005872.03709471
2019-05-02,nan
2019-05-07,3569703.3002242353
2019-05-09,nan
2019-05-12,1537784.2526012931
2019-05-14,7416809.848423008
2019-05-19,50992845.815377615
