date,value
2018-01-02,1175900
2018-01-04,1259600
2018-01-12,0
2018-01-17,1172700
2018-01-19,0
2018-01-22,1252900
2018-01-24,1287600
2018-01-27,1291600
2018-02-01,0
2018-02-06,123000
2018-02-08,0
2018-02-11,1208300
2018-02-13,1178500
2018-02-16,1098900
2018-02-18,400
2018-02-21,1222000
2018-02-26,0
2018-02-28,0
2018-03-10,0
2018-03-20,1636800
2018-03-25,0
2018-03-28,1620100
2018-04-02,0
2018-04-04,1590900
2018-04-07,0
2018-04-14,1615500
2018-04-17,1121300
2018-04-19,1634300
2018-04-22,563400
2018-04-24,1597800
2018-04-27,1533300
2018-04-29,17400
2018-05-02,38400
2018-05-04,0
2018-05-07,0
2018-05-09,1614200
2018-05-12,311400
2018-05-14,1573400
2018-05-19,9600
2018-05-22,12700
2018-05-24,0
2018-05-29,0
2018-06-01,0
2018-06-03,1603300
2018-06-06,2800
2018-06-08,228900
2018-06-11,31700
2018-06-13,44500
2018-06-16,17500
2018-06-21,9700
2018-06-23,1551300
2018-06-26,31200
2018-06-28,900
2018-07-01,17600
2018-07-03,1505500
2018-07-06,8900
2018-07-08,1603800
2018-07-11,23400
2018-07-13,1590500
2018-07-16,38500
2018-07-18,1564900
2018-07-21,400
2018-07-23,1554700
2018-07-26,500
2018-07-28,1587000
2018-07-31,700
2018-08-02,1540800
2018-08-05,713000
2018-08-07,1497600
2018-08-10,1209000
2018-08-12,823100
2018-08-15,1526600
2018-08-17,1520200
2018-08-22,1475500
2018-08-25,1564700
2018-08-27,1486300
2018-08-30,0
2018-09-01,86000
2018-09-04,1526000
2018-09-06,1431500
2018-09-16,0
2018-09-19,32400
2018-09-21,1380800
2018-09-24,1351300
2018-09-26,0
2018-09-29,0
2018-10-01,746700
2018-10-04,1432700
2018-10-06,1302100
2018-10-09,1900
2018-10-11,0
2018-10-14,705700
2018-10-16,309200
2018-10-19,600
2018-10-24,526300
2018-10-29,1477100
2018-10-31,0
2018-11-03,741300
2018-11-05,184400
2018-11-08,0
2018-11-13,0
2018-11-15,0
2018-11-20,0
2018-11-28,1575500
2018-11-30,1577100
2018-12-03,0
2018-12-05,1577700
2018-12-08,1557500
2018-12-10,1574500
2018-12-13,1631900
2018-12-15,1600200
2018-12-20,1608600
2018-12-23,1595200
2018-12-28,524700
2018-12-30,3500
2019-01-02,1593900
2019-01-04,0
2019-01-07,1584000
2019-01-09,1579600
2019-01-12,622900
2019-01-14,1577000
2019-01-17,0
2019-01-22,0
2019-01-24,1557500
2019-01-27,1602000
2019-01-29,0
2019-02-01,592400
2019-02-03,1606600
2019-02-06,1571300
2019-02-08,1589000
2019-02-11,1549900
2019-02-13,0
2019-02-21,0
2019-02-26,1597300
2019-02-28,1497100
2019-03-03,1515200
2019-03-08,0
2019-03-10,1505300
2019-03-13,1580200
2019-03-15,1527800
2019-03-18,0
2019-03-20,0
2019-03-23,0
2019-03-25,407000
2019-03-28,0
2019-03-30,0
2019-04-02,0
2019-04-04,1518700
2019-04-09,0
2019-04-12,11400
2019-04-14,1487500
2019-04-19,0
2019-04-22,100
2019-04-24,0
2019-04-27,264200
2019-04-29,1384300
2019-05-02,0
2019-05-07,0
2019-05-09,289200
2019-05-12,261500
2019-05-14,1535100
2019-05-19,1474300
2019-05-22,67100
2019-05-24,1472300
2019-05-27,0
